Link Id,0:15:00,3:00:00,3:15:00,3:30:00,3:45:00,4:00:00,4:15:00,4:30:00,4:45:00,5:00:00,5:15:00,5:30:00,5:45:00,6:00:00,6:15:00,6:30:00,6:45:00,7:00:00,7:15:00,7:30:00,7:45:00,8:00:00,8:15:00,8:30:00,8:45:00,9:00:00,9:15:00,9:30:00,9:45:00,10:00:00,10:15:00,10:30:00,10:45:00,11:00:00,11:15:00,11:30:00,11:45:00,12:00:00,12:15:00,12:30:00,12:45:00,13:00:00,13:15:00,13:30:00,13:45:00,14:00:00,14:15:00,14:30:00,14:45:00,15:00:00,15:15:00,15:30:00,15:45:00,16:00:00,16:15:00,16:30:00,16:45:00,17:00:00,17:15:00,17:30:00,17:45:00,18:00:00,18:15:00,18:30:00,18:45:00,19:00:00,19:15:00,19:30:00,19:45:00,20:00:00,20:15:00,20:30:00,20:45:00,21:00:00,21:15:00,21:30:00,21:45:00,22:00:00,22:15:00,22:30:00,22:45:00,23:00:00,23:15:00,23:30:00,23:45:00,24:00:00,24:15:00,24:30:00,24:45:00,25:00:00,25:15:00,25:30:00,25:45:00,26:00:00,26:15:00,26:30:00,26:45:00,27:00:00,27:15:00,27:30:00,27:45:00,28:00:00,28:30:00,29:00:00,Total Delay [hours],Type,Incident Link,Feeder 1_x,Feeder 2_x,Seed,Duration [HH:MM:SS],Duration [mins],Incident Start,Incident End,Delay During Incident [hours],Post-Incident Delay (0-30 mins) [hours],Post-Incident Delay (30-60 mins) [hours]
12984,-0.0,-0.0,-0.0,-0.0,-0.0,1.773175244,0.886587622,-0.0,1.773175244,5.319525732,13.29881433,66.49407165,183.523637754,485.850016856,870.6290448039999,1230.583619336,1403.468205626,1330.768020622,1295.304515742,1265.160536594,1141.924857136,1026.668466276,876.835158158,783.7434578479999,715.476210954,681.785881318,645.435788816,664.054128878,577.168541922,550.570913262,453.046274842,412.26324423,397.191254656,390.09855368,325.377657274,328.517069652,344.882584958,377.686326972,355.521636422,334.243533494,317.398368676,324.491069652,319.17154392,295.233678126,316.511781054,356.408224044,325.377657274,320.944719164,322.717894408,359.06798691,410.490068986,413.149831852,438.86087289,506.241532162,510.674470272,540.81844942,562.98313997,572.735603812,567.41607808,604.652758204,585.3486552759999,605.0886552759999,519.519171248,477.870728258,409.603481364,425.568461178,320.058131542,352.777317212,211.894441658,222.784493122,174.657761534,127.315442324,121.462504214,117.029566104,94.864875554,76.24653549199999,76.24653549199999,69.26907165,33.690329636,28.370803904,18.618340062,14.185401952,9.752463842,8.86587622,3.546350488,2.659762866,0.886587622,0.886587622,-0.0,1.773175244,1.773175244,-0.0,-0.0,-0.0,-0.0,-0.0,0.886587622,0.886587622,-0.0,-0.0,-0.0,-0.0,0.886587622,-0.0,9.177206850790558,Incident Link,12984,13464,13468,398,3:16:18,196.3,14:45:00,18:00:00,1.9445127770883333,0.2770527498627778,0.23199220626166667
12987,-0.0,-0.0,0.502713508,-0.0,0.502713508,2.010854032,2.5135675400000004,3.016281048,6.535275604000001,12.5678377,26.141102416000003,30.16281048,56.303912896,78.926020756,131.710939096,217.674948964,297.606396736,375.024276968,374.52156346,373.013422936,404.181660432,423.787487244,398.149098336,348.380461044,331.79091528000004,286.54669956000004,270.962580812,236.27534876,219.183089488,195.555554612,178.46329534,177.960581832,173.43616026,183.993143928,177.457868324,180.97686288,222.702084044,205.609824772,218.68037598,252.362181016,228.73464614,217.674948964,217.172235456,229.740073156,267.946299764,292.07654814800003,327.76920721600004,365.4727203160001,357.429304188,420.268492688,461.491000344,546.449583196,609.288771696,636.435301128,658.051981972,595.212793472,551.979431784,473.053411028,378.543271524,359.44015822,323.24478564400005,317.714937056,306.152526372,290.330472952,2379.348191904,2632.209056824,220.188516504,241.763230012,221.696657028,220.691230012,224.712938076,198.069122152,184.998570944,188.5175655,208.62610582,175.9497278,180.474149372,179.468722356,176.452441308,162.87917659200002,145.28420381200002,143.77606328800002,123.16480946,101.548128616,88.477577408,52.78491834,44.238788704,33.179091528,11.562410684,7.037989112,4.021708064,1.005427016,1.508140524,-0.0,0.502713508,-0.0,0.502713508,0.502713508,-0.0,1.005427016,-0.0,1.005427016,-0.0,-0.0,6.962226796481111,Feeder 2,12989,13455,12987,398,0:56:31,56.52,11:30:00,12:30:00,0.30009203574777776,0.12400266530666666,0.12414230794777778
12989,-0.0,0.574972274,-0.0,0.574972274,0.574972274,1.149944548,2.299889096,4.599778192,9.774528658,17.249168219999998,35.648280988,57.49722739999999,86.820813374,137.99334575999998,215.61460275,357.63275442799994,501.950795202,623.269945016,616.3702777279999,624.9948618379999,635.9193350439999,646.268835976,641.0940855099999,588.196636302,556.573161232,536.449131642,477.801959694,481.826765612,432.954122322,382.35656221,395.580924512,392.706063142,377.181811744,392.706063142,395.580924512,426.054455034,458.82787465199993,458.252902378,466.302514214,498.500961558,499.075933832,469.752347858,480.10184879,509.42543476399993,572.0974126299999,592.7964144939999,637.0692795919999,683.0670615119999,671.5676160319999,762.413235324,806.1111281479999,888.33216333,986.07744991,1001.601701308,1057.94898416,3030.434085744,883.157412864,814.7357122579999,724.46506524,698.016340636,638.2192241399999,633.044473674,610.0455827139999,539.8989652859999,510.575379312,518.6249911479999,513.450240682,518.050018874,506.550573394,549.6734939439999,513.450240682,480.676821064,472.627209228,473.202181502,492.17626654399993,431.804177774,388.681257224,401.330647252,355.332865332,304.160332946,283.461331082,258.162551026,224.23918686,205.265101818,180.541294036,129.943733924,77.62125698999999,50.597560112,23.573863234,14.374306849999998,5.749722739999999,4.024805917999999,2.299889096,1.149944548,0.574972274,-0.0,-0.0,1.149944548,1.149944548,1.149944548,1.149944548,1.149944548,-0.0,-0.0,11.39524362078944,Incident Link,12989,13455,12987,398,0:56:31,56.52,11:30:00,12:30:00,0.6410940855099999,0.2691189671361111,0.27486868987611107
13125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Feeder 2,13187,13190,13125,398,0:51:14,51.23,07:15:00,08:00:00,0.0,0.0,0.0
13136,-0.0,-0.0,0.300011454,0.300011454,1.200045816,1.200045816,4.50017181,7.50028635,15.0005727,26.701019406,42.00160356,54.302073174,92.103516378,119.104547238,181.50692967,267.310205514,381.314558034,477.01821186,416.715909606,411.615714888,392.114970378,351.613424088,346.213217916,319.212187056,327.612507768,336.612851388,271.21035441600003,253.50967863,226.808659224,200.107639818,201.307685634,182.406964032,174.00664332,171.606551688,159.30608207400002,177.606780768,177.00675786,174.906677682,164.106265338,182.106952578,181.806941124,174.00664332,186.307112934,168.00641424,183.61698694,178.206803676,158.10603625800002,166.206345516,170.706517326,171.306540234,180.306883854,177.606780768,182.406964032,201.00767418,204.00778872,208.207949076,216.908281242,216.00824688,198.307571094,214.208178156,224.108556138,222.608498868,200.707662726,189.907250382,166.206345516,169.50647151,157.50601335000002,160.206116436,140.705371926,137.705257386,128.40490231200002,127.804879404,126.904845042,106.804077624,100.203825636,94.203596556,93.603573648,80.403069672,69.00263442,59.702279346000005,54.902096082,42.301615014,27.301042314,23.400893412,21.600824688,15.0005727,9.00034362,5.700217626000001,3.900148902,1.200045816,2.100080178,0.900034362,0.300011454,-0.0,0.300011454,-0.0,-0.0,0.300011454,-0.0,-0.0,-0.0,-0.0,0.300011454,-0.0,3.8864011484394414,Feeder 1,13486,13136,13139,398,0:49:16,49.27,10:00:00,10:45:00,0.21050803688999997,0.09192017604500001,0.09850376073
13139,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Feeder 2,13486,13136,13139,398,0:49:16,49.27,10:00:00,10:45:00,0.0,0.0,0.0
13169,-0.0,0.567208984,1.134417968,1.134417968,0.567208984,4.537671872,10.776970696,16.449060535999998,32.330912088,46.511136688,82.24530268,127.6220214,180.939665896,254.109624832,332.384464624,411.793722384,570.6122379039999,795.226995568,766.866546368,764.030501448,768.0009643359999,748.7158588799999,699.935886256,733.968425296,764.597710432,695.965423368,608.0480308479999,577.4187457119999,513.891339504,518.429011376,475.321128592,494.039025064,492.904607096,494.606234048,469.649038752,479.858800464,507.65204068,512.7569215359999,536.579698864,519.5634293439999,529.205982072,545.0878336239999,529.205982072,575.149909776,566.641775016,575.71711876,557.5664312719999,551.8943414319999,549.058296512,609.1824488159999,615.988956624,695.398214384,674.97869096,739.073306152,689.726124544,674.97869096,691.9949604799999,635.841271064,583.0908355519999,606.91361288,547.35666956,512.7569215359999,524.101101216,466.812993832,452.632769232,455.468814152,434.482081744,433.347663776,429.377200888,460.006486024,401.016751688,416.331394256,356.207241952,368.6858396,361.879331792,321.040284944,360.17770484,289.843790824,276.230775208,230.854056488,211.001742048,161.65456043999998,126.487603432,110.038542896,82.812511664,65.22903316,45.37671872,35.734165992,15.314642568,11.34417968,2.83604492,3.970462888,1.7016269519999998,0.567208984,-0.0,0.567208984,-0.0,-0.0,0.567208984,0.567208984,-0.0,-0.000791,-0.0,1.134417968,10.32887537891778,Feeder 2,13504,13507,13169,398,0:31:19,31.32,18:15:00,18:45:00,0.4009852400777778,0.24720858219333333,0.23964579574
13187,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Incident Link,13187,13190,13125,398,0:51:14,51.23,07:15:00,08:00:00,0.0,0.0,0.0
13190,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Feeder 1,13187,13190,13125,398,0:51:14,51.23,07:15:00,08:00:00,0.0,0.0,0.0
13438,-0.0,-0.0,0.821845944,-0.0,0.410922972,1.643691888,5.752921608,12.738612132,20.135225628,34.517529648,58.761984996,86.29382412,131.49535104,175.464109044,244.910091312,348.051757284,388.733131512,508.722639336,492.696643428,470.50680294,505.024332588,498.449565036,512.831869056,489.820182624,496.394950176,416.675893608,393.664207176,373.528981548,340.655143788,285.59146554,301.206538476,283.53685068,297.097308756,273.674699352,297.508231728,299.562846588,276.551160156,323.807301936,323.396378964,335.724068124,322.57453302,333.669453264,329.149300572,351.33914106,362.844984276,373.118058576,395.718822036,451.193423256,458.590036752,492.696643428,547.349398704,621.726456636,670.829061948,3580.78597128,4688.284423900001,1546.4915145680002,872.9666011439999,523.9267893,435.57835032,394.075130148,373.528981548,359.5576005,366.132368052,318.4653033,306.548537112,290.111618232,278.194852044,241.211784564,260.525164248,247.375629144,242.855476452,222.720250824,208.337946804,196.421180616,200.941333308,195.599334672,192.311950896,192.722873868,189.02456712,167.245649604,152.04149964,136.015503732,145.87765506,111.360125412,96.56689842,73.144289016,60.405676884,40.681374228,23.011686432,13.560458076,5.752921608,4.10922972,2.465537832,0.410922972,1.232768916,0.410922972,1.232768916,-0.0,0.821845944,-0.0,0.821845944,0.410922972,-0.0,0.410922972,9.43884592652667,Feeder 2,14513,13441,13438,398,0:42:46,42.77,07:45:00,08:30:00,0.55725720814,0.25363078994000005,0.21310921909000002
