Seed,Incident Link,Feeder 1,Feeder 2,Start Time [HH:MM:SS],End Time [HH:MM:SS],Duration [HH:MM:SS],Duration [mins]
472,16603,16802,16602,16:28:57,16:57:03,0:28:06,28.1
472,16652,16931,16651,8:44:13,9:14:42,0:30:29,30.48
472,17632,24753,17875,7:28:57,8:29:16,1:00:19,60.32
472,18234,17269,25185,15:42:48,16:51:40,1:08:52,68.87
472,18259,20799,18247,15:47:55,16:24:14,0:36:19,36.32
472,18310,17115,25228,9:24:37,10:17:50,0:53:13,53.22
499,12919,12921,13431,16:45:28,16:58:08,0:12:40,12.67
499,12973,12959,12977,5:37:50,7:09:00,1:31:10,91.17
499,12982,13449,12980,18:04:36,18:50:37,0:46:01,46.02
499,13016,13046,13012,15:29:22,16:44:00,1:14:38,74.63
499,13073,13076,13567,16:24:36,17:29:33,1:04:57,64.95
499,13143,13490,13137,7:17:11,8:52:23,1:35:12,95.2
499,13425,12913,12844,15:07:43,16:37:56,1:30:13,90.22
499,13461,12981,13451,15:29:29,15:58:20,0:28:51,28.85
499,13467,13463,12982,8:36:28,9:52:27,1:15:59,75.98
499,14512,14516,13429,12:50:36,15:07:07,2:16:31,136.52
499,16583,16582,16580,8:48:41,9:22:55,0:34:14,34.23
499,16613,16665,16214,9:48:18,10:24:31,0:36:13,36.22
499,17130,19364,17127,7:43:29,8:23:36,0:40:07,40.12
499,17894,20792,17889,6:51:36,8:02:20,1:10:44,70.73
499,18310,17115,25228,7:59:26,8:54:00,0:54:34,54.57
499,19060,19062,19067,6:50:18,7:40:15,0:49:57,49.95
499,19698,17138,22259,7:59:18,9:07:51,1:08:33,68.55
499,19733,19732,19727,8:33:44,9:42:08,1:08:24,68.4
518,12956,13445,12954,8:10:02,9:47:40,1:37:38,97.63
518,12959,12977,13459,7:54:36,8:37:29,0:42:53,42.88
518,12989,13455,12987,11:42:54,12:39:25,0:56:31,56.52
518,13187,13190,13125,7:21:49,8:13:03,0:51:14,51.23
518,13461,12981,13451,7:58:34,8:21:07,0:22:33,22.55
518,14512,14516,13429,8:04:01,9:19:25,1:15:24,75.4
518,18234,17269,25185,14:18:57,15:26:00,1:07:03,67.05
518,18249,20801,18260,15:25:22,16:56:49,1:31:27,91.45
518,18259,20799,18247,17:40:52,19:07:22,1:26:30,86.5
518,19698,17138,22259,17:01:02,17:56:00,0:54:58,54.97
584,12816,13386,12824,17:28:22,17:58:07,0:29:45,29.75
584,12931,13640,12934,17:24:00,17:49:54,0:25:54,25.9
584,12942,13242,12989,18:58:03,20:21:27,1:23:24,83.4
584,13007,13492,13494,15:31:24,16:45:00,1:13:36,73.6
584,13018,13056,13576,17:27:04,18:37:49,1:10:45,70.75
584,13072,13570,13069,15:26:16,16:47:26,1:21:10,81.17
584,13119,13483,13187,16:41:15,18:52:11,2:10:56,130.93
584,13208,13535,13205,8:49:59,9:28:48,0:38:49,38.82
584,13244,12942,13242,10:50:59,11:49:42,0:58:43,58.72
584,13388,12829,14248,8:56:27,10:04:13,1:07:46,67.77
584,13390,12832,13388,9:35:04,10:26:00,0:50:56,50.93
584,13413,13401,13400,11:41:15,12:24:00,0:42:45,42.75
584,13467,13463,12982,7:24:41,8:59:15,1:34:34,94.57
584,16560,16559,16557,12:58:48,14:07:10,1:08:22,68.37
584,16613,16665,16214,15:23:21,16:12:37,0:49:16,49.27
584,17496,17318,17491,13:28:48,14:25:19,0:56:31,56.52
584,18310,17115,25228,7:52:47,8:34:28,0:41:41,41.68
584,18523,20811,18454,16:07:57,17:19:32,1:11:35,71.58
584,24911,18696,17458,15:54:31,16:28:02,0:33:31,33.52
584,25173,16896,17114,16:18:55,16:54:32,0:35:37,35.62
637,12840,13394,13396,17:08:31,18:09:37,1:01:06,61.1
637,12919,12921,13431,13:52:20,15:11:00,1:18:40,78.67
637,12920,13427,12918,17:24:03,17:49:00,0:24:57,24.95
637,12956,13445,12954,12:27:21,13:34:00,1:06:39,66.65
637,12982,13449,12980,15:24:37,16:44:41,1:20:04,80.07
637,13070,13073,13076,8:43:36,9:16:53,0:33:17,33.28
637,13187,13190,13125,16:16:18,16:49:00,0:32:42,32.7
637,13194,13521,13519,11:43:13,12:08:00,0:24:47,24.78
637,13208,13535,13205,15:18:06,17:17:25,1:59:19,119.32
637,16572,16539,16571,11:13:41,12:49:45,1:36:04,96.07
637,16583,16582,16580,15:38:58,16:00:55,0:21:57,21.95
637,16603,16802,16602,16:28:57,16:57:03,0:28:06,28.1
637,16613,16665,16214,13:37:04,15:03:51,1:26:47,86.78
637,17130,19364,17127,7:43:29,8:23:36,0:40:07,40.12
637,17894,20792,17889,17:45:29,19:08:46,1:23:17,83.28
637,18234,17269,25185,14:18:57,15:26:00,1:07:03,67.05
637,18259,20799,18247,17:46:01,18:48:03,1:02:02,62.03
637,18779,19063,19059,13:13:08,14:32:15,1:19:07,79.12
637,19328,19367,17124,17:36:01,18:28:35,0:52:34,52.57
723,12899,12900,12910,17:24:18,18:15:41,0:51:23,51.38
723,12931,13640,12934,17:24:00,17:49:54,0:25:54,25.9
723,13194,13521,13519,19:31:16,20:31:08,0:59:52,59.87
723,13394,13396,12841,16:35:25,17:36:13,1:00:48,60.8
790,12920,13427,12918,16:54:20,18:28:06,1:33:46,93.77
790,12978,12961,12975,15:33:35,16:42:38,1:09:03,69.05
790,13065,13068,13569,7:51:07,8:51:01,0:59:54,59.9
790,13104,13107,13473,15:33:49,17:18:58,1:45:09,105.15
790,13208,13535,13205,6:39:40,7:45:57,1:06:17,66.28
790,13243,12951,13246,15:12:48,16:31:54,1:19:06,79.1
790,13416,13414,13410,9:00:05,9:36:23,0:36:18,36.3
790,13464,13468,13466,17:08:22,18:14:28,1:06:06,66.1
790,18523,20811,18454,19:51:31,20:28:30,0:36:59,36.98
790,18779,19063,19059,13:13:08,14:32:15,1:19:07,79.12
790,20044,16910,16908,1:24:31,4:41:20,3:16:49,196.82
847,8944,16560,16559,13:59:07,15:15:19,1:16:12,76.2
847,12796,12823,13384,11:01:25,12:07:54,1:06:29,66.48
847,12926,13634,12924,15:13:32,16:28:13,1:14:41,74.68
847,12956,13445,12954,15:01:06,16:05:41,1:04:35,64.58
847,13187,13190,13125,16:16:18,16:49:00,0:32:42,32.7
847,13244,12942,13242,9:24:48,10:08:16,0:43:28,43.47
847,14513,13441,13438,12:59:15,14:29:05,1:29:50,89.83
847,16752,16586,16585,8:25:44,10:01:37,1:35:53,95.88
847,18234,17269,25185,14:57:42,15:56:07,0:58:25,58.42
847,18249,20801,18260,9:23:54,10:08:11,0:44:17,44.28
847,20770,17989,20795,14:19:30,15:30:15,1:10:45,70.75
879,12941,12936,12932,16:47:18,18:04:38,1:17:20,77.33
