Link Id,0:15:00,3:30:00,3:45:00,4:00:00,4:15:00,4:30:00,4:45:00,5:00:00,5:15:00,5:30:00,5:45:00,6:00:00,6:15:00,6:30:00,6:45:00,7:00:00,7:15:00,7:30:00,7:45:00,8:00:00,8:15:00,8:30:00,8:45:00,9:00:00,9:15:00,9:30:00,9:45:00,10:00:00,10:15:00,10:30:00,10:45:00,11:00:00,11:15:00,11:30:00,11:45:00,12:00:00,12:15:00,12:30:00,12:45:00,13:00:00,13:15:00,13:30:00,13:45:00,14:00:00,14:15:00,14:30:00,14:45:00,15:00:00,15:15:00,15:30:00,15:45:00,16:00:00,16:15:00,16:30:00,16:45:00,17:00:00,17:15:00,17:30:00,17:45:00,18:00:00,18:15:00,18:30:00,18:45:00,19:00:00,19:15:00,19:30:00,19:45:00,20:00:00,20:15:00,20:30:00,20:45:00,21:00:00,21:15:00,21:30:00,21:45:00,22:00:00,22:15:00,22:30:00,22:45:00,23:00:00,23:15:00,23:30:00,23:45:00,24:00:00,24:15:00,24:30:00,24:45:00,25:00:00,25:15:00,25:30:00,25:45:00,26:00:00,26:15:00,26:30:00,26:45:00,27:00:00,27:15:00,27:30:00,27:45:00,28:00:00,28:15:00,30:00:00,Total Delay [hours],Type,Incident Link,Feeder 1_x,Feeder 2_x,Seed,Duration [HH:MM:SS],Duration [mins],Incident Start,Incident End,Delay During Incident [hours],Post-Incident Delay (0-30 mins) [hours],Post-Incident Delay (30-60 mins) [hours]
12918,-0.0,-0.0,-0.0,0.540429443,1.080858886,3.242576658,2.161717772,5.404294429999999,9.727729974,15.672453846999998,22.157607163,30.804478251,53.502514857,129.16263687699998,238.869813806,353.981285165,398.836928934,364.789874025,379.381468986,376.679321771,379.921898429,373.977174556,348.036561292,303.18091752299995,258.325273754,230.763372161,199.95889391,175.63956897499995,155.103250141,145.375520167,132.405213535,143.213802395,149.698955711,148.61809682499998,166.992697887,159.967115128,188.069446164,178.34171618999997,169.694845102,209.686623884,223.737789402,209.686623884,239.950672692,232.38466049,230.763372161,229.142083832,289.670181448,276.699874816,313.989506383,341.55140797599995,395.053922833,450.177726019,508.544105863,655.7563140880001,618.251282792,640.949319398,612.8469883619999,561.506191277,480.98220427,389.649628403,353.981285165,323.717236357,273.99772760099995,223.737789402,194.014170037,159.426685685,132.945642978,123.217913004,101.060305841,90.251716981,116.192330245,104.302882499,96.196440854,92.413434753,84.847422551,87.54956976599999,92.413434753,81.06441645,81.60484589299999,59.987668173,59.44723873,47.55779098399999,43.23435544,22.698036606,27.02147215,14.051165518,7.025582759,4.323435544,1.621288329,1.621288329,1.080858886,0.540429443,-0.0,0.540429443,1.080858886,-0.0,1.080858886,0.540429443,-0.0,0.540429443,0.540429443,-0.0,4.892147246725839,Feeder 2,12920,13427,12918,886,0:24:57,24.95,17:15:00,17:45:00,0.4598153844191666,0.20656414265777778,0.16603193443277778
12920,-0.0,0.909519445,1.81903889,1.81903889,8.185675005,4.5475972250000005,20.00942779,29.10462224,46.385491695,62.756841705,102.775697285,121.87560563,199.184758455,338.34123354,542.983108665,832.2102921750001,906.790886665,865.86251164,872.229147755,856.7673171900001,895.876653325,854.0387588550001,825.8436560600001,785.82480048,643.93976706,559.354458675,494.7785780800001,448.393086385,431.1122169300001,409.28375025,416.55990581,421.107503035,427.47413915,446.574047495,472.040591955,501.145214195,491.1405003,521.154641985,486.592903075,570.268692015,598.4637948100001,552.98782256,683.95862264,683.95862264,622.11130038,627.56841705,726.7060365550001,751.26306157,774.001047695,874.95770609,1008.657064505,1125.98507291,1254.227314655,1290.608092455,1408.845620305,1483.426214795,1405.207542525,1300.61280635,1149.63257848,944.990703355,949.53830058,905.88136722,764.905853245,696.69189487,611.19706704,538.43551144,475.678669735,457.488280835,439.297891935,425.65510026,392.91240024,387.45528357,358.35066133000004,343.79835021,326.517480755,314.69372797,271.946314055,258.30352238,231.01793903,203.73235568,178.26581122000002,135.518397305,131.880319525,77.309152825,60.02828337,37.290297245000005,23.64750557,9.09519445,3.63807778,3.63807778,2.728558335,0.909519445,-0.0,1.81903889,2.728558335,-0.0,1.81903889,1.81903889,-0.0,-0.0,-0.0,-0.0,12.83635110043333,Incident Link,12920,13427,12918,886,0:24:57,24.95,17:15:00,17:45:00,1.0709591464875,0.5262580566486111,0.4641075612402778
13427,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Feeder 1,12920,13427,12918,886,0:24:57,24.95,17:15:00,17:45:00,0.0,0.0,0.0
16557,-0.0,1.234052979,4.11350993,2.879456951,13.163231776,22.212953622,37.02158937,74.04317874,105.717205201,143.97284755,146.440953508,164.951748193,176.469575997,172.76741706,179.760383941,178.937681955,174.412821032,173.590119046,179.349032948,178.937681955,179.760383941,179.349032948,176.88092699,178.526330962,181.405787913,165.774450179,130.809615774,154.667973368,125.462052865,128.752860809,133.689072725,132.043668753,120.525840949,144.795549536,144.384198543,139.85933762,144.384198543,136.979880669,143.561496557,174.824172025,151.377165424,160.015536277,157.958781312,162.072291242,153.022569396,167.831205144,148.08635748,170.710662095,154.667973368,154.667973368,149.731761452,162.894993228,164.129046207,158.370132305,154.256622375,7642.42607818,13226.04632323,27694.84940937,40497.189936,39899.75338,40356.973062,40117.075976,39578.27417075,39368.10611778,12595.04895244,151.788516417,125.462052865,153.433920389,133.277721732,136.157178683,143.561496557,133.277721732,130.809615774,136.568529676,134.923125704,122.993946907,114.766927047,101.603695271,97.901536334,81.447496614,67.872913845,67.050211859,48.539417174,38.255642349,29.205920503,23.858357594,16.45403972,7.404317874,3.290807944,0.822701986,1.645403972,0.822701986,1.645403972,0.411350993,0.822701986,0.411350993,0.822701986,0.411350993,1.234052979,0.411350993,0.822701986,0.411350993,86.30660639977967,Feeder 2,16560,16559,16557,886,0:37:19,37.32,07:45:00,08:15:00,0.14945752745666666,0.09895276664944444,0.09998114413194445
16559,-0.0,0.2787381359999999,0.92912712,0.92912712,2.880294072,8.365286448,7.990493231999999,20.071510192,147.18121783200002,737.351100048,1018.175179712,1709.370950056,7641.310552590001,11733.87879912,33963.24141782,24055.36941782,7683.94978232,4778.30211614,3924.205608528,8796.44639335,2479.186426328,935.233274624,1733.492306832,725.76683056,1637.247997512,1753.855878016,273.55837716,413.975020384,257.730781392,277.389694104,275.39442461600004,571.85032208,576.577583944,1233.30313988,578.317663608,1631.9409178479998,1945.606568696,980.748925472,1863.48683056,1784.5972593760002,1099.680306832,4502.0624653,1321.304655984,1889.51595768,1424.885783104,2861.500251752,844.0355288640001,3370.04333904,4530.45729839,2074.738997512,2633.5650848,3186.485164464,5577.4015924000005,16913.19193389,24633.41933053,39733.08875931,44135.95115595,42872.60124324,44123.93741782,43646.97933053,43404.65833053,43159.60576698,41971.02615595,38105.08042549,2818.152306832,3939.067688192,1333.467267,915.00683056,928.364361912,749.348925472,1083.287616152,499.067583944,766.090838184,528.410187336,468.906845808,266.83186868,155.416606816,249.714352576,141.0553602,72.563327992,49.575073752,24.48777968,23.885874592,11.486064416,7.248588144,4.831461023999999,3.25194492,1.39369068,4.8322144080000005,-0.0,0.5574762719999999,0.185825424,0.371650848,0.092912712,0.092912712,0.092912712,0.185825424,0.092912712,0.185825424,0.092912712,0.2787381359999999,0.092912712,167.0064027294995,Feeder 1,16560,16559,16557,886,0:37:19,37.32,07:45:00,08:15:00,4.222177341168333,0.7413126615155555,0.6563930077977778
16560,-0.0,0.357944052,1.19314684,1.19314684,3.698755204,6.3236782520000006,10.022433456,19.925552228,31.02181784,41.7601394,45.220265236,48.680391072,51.185999436,51.782572856,52.737090328,52.737090328,50.828055384,7350.178683040001,54078.3893065,83252.8941036,96095.712174,35213.8387744,128.659468024,45.33957992,46.771356128,44.7430065,36.748922672,39.254531036,31.857020628,32.21496468,34.481943676,40.924936612,39.731789772,43.54985966,42.595342188,44.981635868000005,45.93615334,43.072600924,44.504377132,47.606558916,45.697523972,50.470111332,46.413412076,46.53272676,46.890670812,49.754223228,44.7430065,49.038335124,50.350796648,46.174782708,49.038335124,50.11216728,51.90188754,52.617775644000005,52.737090328,52.737090328,52.737090328,52.617775644000005,52.737090328,52.737090328,52.737090328,52.617775644000005,52.737090328,52.737090328,49.992852596,50.350796648,45.33957992,44.14643308,42.833971556,41.998768768000005,44.981635868000005,40.209048508,42.476027504,41.7601394,39.851104456,31.618391260000003,31.976335312,30.186615052,26.965118584,23.027734012,20.164181596,16.942685128,13.72118866,8.471342564,7.158881040000001,6.442992936,4.056699256,1.909034944,1.073832156,-0.0,0.715888104,0.238629368,0.477258736,0.119314684,0.119314684,0.119314684,0.238629368,0.119314684,0.238629368,0.119314684,0.357944052,0.119314684,77.55847761071789,Incident Link,16560,16559,16557,886,0:37:19,37.32,07:45:00,08:15:00,64.84083210669445,9.817360622895556,0.025586371124444444
16585,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Feeder 2,16752,16586,16585,886,1:35:53,95.88,08:15:00,10:00:00,0.0,0.0,0.0
16586,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Feeder 1,16752,16586,16585,886,1:35:53,95.88,08:15:00,10:00:00,0.0,0.0,0.0
16752,-0.0,0.950360402,3.801441608,2.851081206,8.553243618,17.106487236,21.858289246,51.319461708000006,82.681354974,153.95838512400002,195.774242812,290.810283012,324.072897082,371.590917182,366.839115172,390.598125222,361.13695276,370.64055678,379.193800398,381.094521202,400.101729242,403.90317085,377.293079594,411.5060540660001,398.201008438,386.796683614,405.803891654,364.938394368,352.58370914200003,306.96640984600003,318.37073467,286.058481002,303.16496823800003,269.902354168,292.711003816,323.12253668,326.923978288,306.96640984600003,287.959201806,293.661364218,309.81749105200004,316.470013866,308.86713065000004,322.172176278,327.87433869,352.58370914200003,335.477221906,335.477221906,344.980825926,382.044881604,353.53406954400003,385.846323212,370.64055678,397.250648036,373.491637986,377.293079594,401.052089644,377.293079594,386.796683614,382.995242006,395.349927232,415.307495674,370.64055678,353.53406954400003,366.839115172,337.37794271,318.37073467,323.12253668,304.11532864000003,293.661364218,272.753435374,252.795866932,259.44838974600003,234.739019294,236.639740098,238.540460902,207.178567636,164.412349546,174.866313968,134.000816682,95.0360402,88.38351738600001,77.92955296400001,52.26982211,33.262614070000005,20.907928844,15.205766432,12.354685226,5.702162412,5.702162412,-0.0,-0.0,-0.0,0.950360402,0.950360402,-0.0,1.900720804,1.900720804,-0.0,-0.0,0.950360402,0.950360402,6.611604518913886,Incident Link,16752,16586,16585,886,1:35:53,95.88,08:15:00,10:00:00,0.8745955588405555,0.1832083663855556,0.16789700435333335
17269,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Feeder 1,18234,17269,25185,886,0:58:25,58.42,14:45:00,15:45:00,0.0,0.0,0.0
