Link Id,0:15:00,2:45:00,3:00:00,3:15:00,3:30:00,3:45:00,4:00:00,4:15:00,4:30:00,4:45:00,5:00:00,5:15:00,5:30:00,5:45:00,6:00:00,6:15:00,6:30:00,6:45:00,7:00:00,7:15:00,7:30:00,7:45:00,8:00:00,8:15:00,8:30:00,8:45:00,9:00:00,9:15:00,9:30:00,9:45:00,10:00:00,10:15:00,10:30:00,10:45:00,11:00:00,11:15:00,11:30:00,11:45:00,12:00:00,12:15:00,12:30:00,12:45:00,13:00:00,13:15:00,13:30:00,13:45:00,14:00:00,14:15:00,14:30:00,14:45:00,15:00:00,15:15:00,15:30:00,15:45:00,16:00:00,16:15:00,16:30:00,16:45:00,17:00:00,17:15:00,17:30:00,17:45:00,18:00:00,18:15:00,18:30:00,18:45:00,19:00:00,19:15:00,19:30:00,19:45:00,20:00:00,20:15:00,20:30:00,20:45:00,21:00:00,21:15:00,21:30:00,21:45:00,22:00:00,22:15:00,22:30:00,22:45:00,23:00:00,23:15:00,23:30:00,23:45:00,24:00:00,24:15:00,24:30:00,24:45:00,25:00:00,25:15:00,25:30:00,25:45:00,26:00:00,26:15:00,26:30:00,26:45:00,27:00:00,27:15:00,27:30:00,27:45:00,28:00:00,28:15:00,28:30:00,28:45:00,29:00:00,29:15:00,Total Delay [hours],Type,Incident Link,Feeder 1_x,Feeder 2_x,Seed,Duration [HH:MM:SS],Duration [mins],Incident Start,Incident End,Delay During Incident [hours],Post-Incident Delay (0-30 mins) [hours],Post-Incident Delay (30-60 mins) [hours]
12816,-0.0,-0.0,0.592495926,-0.0,-0.0,-0.0,-0.0,1.184991852,2.96247963,2.369983704,2.96247963,9.479934816,17.182381854,16.589885928,21.922349262,29.032300374,60.434584452,66.359543712,104.279282976,91.244372604,98.354323716,78.209462232,85.91190927,84.134421492,87.096901122,82.94942964,98.354323716,68.729527416,64.582055934,53.917129266,69.322023342,71.692007046,54.509625192,60.434584452,72.284502972,77.616966306,75.246982602,72.284502972,84.726917418,82.35693371400001,97.169331864,87.689397048,94.79934816,107.241762606,94.79934816,92.429364456,103.68678705,102.501795198,127.979120016,128.571615942,140.421534462,190.783688172,215.076021138,242.92332966,294.470475222,345.425124858,379.513425232,410.007180792,440.816968944,437.854489314,456.22186302,1205.599554498,381.915408936,424.819578942,331.79771856,343.055141154,287.36052411000003,271.363134108,251.81076855,241.738337808,209.743557804,203.818598544,193.153671876,181.303753356,183.081241134,172.416314466,153.456444834,126.794128164,108.426754458,83.541925566,71.09951112,50.954649636,57.472104822,48.584665932,39.104731116,24.884828892,18.959869632,8.88743889,6.517455186,5.332463334,1.777487778,0.592495926,2.369983704,-0.0,0.592495926,-0.0,0.592495926,-0.0,-0.0,-0.0,0.592495926,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,3.3981125829077765,Incident Link,12816,13386,12824,584,0:29:45,29.75,17:15:00,17:45:00,0.5832433074533333,0.22409305218833336,0.18745912769833334
12824,-0.0,-0.0,0.337934073,-0.0,-0.0,-0.0,-0.0,1.013802219,1.013802219,0.337934073,2.703472584,4.731077022,7.772483679,5.406945168,9.462154044,7.772483679,25.682989548,27.03472584,39.538286541,36.496879884,38.862418395,33.455473227,35.483077665,34.469275446,32.441671008,35.483077665,36.496879884,28.048528059,26.696791767,23.993319183,32.441671008,26.020923621,25.682989548,26.358857694,29.738198424,35.821011738,31.427868789,34.131341373,34.131341373,36.834813957,38.186550249,38.524484322,38.862418395,40.890022833,38.862418395,41.903825052,45.283165782,44.607297636,59.476396848,61.504001286,75.697232352,104.083694484,124.021804791,148.015123974,190.932751245,214.250202282,241.622862195,268.657588035,290.62330278,286.906027977,297.719918313,291.637104999,279.471478371,288.257764269,236.5538511,224.726158545,183.160267566,173.022245376,163.560091332,154.773805434,121.65626628,129.090815886,118.952793696,108.814771506,105.097496703,101.718155973,80.428309374,66.235078308,59.814330921,43.593495417,30.752000643,21.965714745,25.682989548,16.558769577,16.558769577,9.124219971,6.082813314,3.717274803,2.365538511,2.703472584,1.351736292,0.337934073,0.675868146,-0.0,0.675868146,-0.0,-0.0,-0.0,-0.0,-0.0,0.337934073,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,1.8242807707449995,Feeder 2,12816,13386,12824,584,0:29:45,29.75,17:15:00,17:45:00,0.24340640313583334,0.1577025674,0.12813333601250002
12829,-0.0,-0.0,1.749795418,-0.0,0.874897709,0.874897709,1.749795418,6.999181672,10.498772508,18.372851889,25.372033561,42.869987741,50.744067122,90.114464027,141.733428858,253.72033561,496.067001003,1241.738160768,3737.842215631,883.64668609,996.634922625,959.762786773,875.772606709,820.654051042,796.15691519,714.7914282529999,545.936170416,403.327843849,403.37294614,343.834799637,286.091550843,265.094005827,220.474222668,250.220744774,204.726063906,185.478314308,168.17236012799998,174.10464409099998,174.9795418,173.229746382,155.731792202,148.73261053,175.854439509,167.980360128,129.484860932,148.73261053,158.35648532899998,124.235474678,157.48158762,141.733428858,132.984451768,154.856894493,163.60587158299998,166.23056470999998,207.350757033,250.220744774,222.224018086,242.346665393,267.718698954,276.467676044,273.842982917,314.96317524,377.080912579,293.090732515,225.723608922,186.353212017,150.482405948,164.480769292,156.606689911,131.23465635,106.737520498,98.863441117,122.48567926,111.112009043,109.362213625,69.116919011,62.992635048,64.742430466,57.743248794,43.74488545,37.620601487,33.246112942,20.997545016,10.498772508,16.623056470999998,6.124283963,8.74897709,6.124283963,3.499590836,0.874897709,0.874897709,-0.0,-0.0,0.874897709,-0.0,1.749795418,0.874897709,-0.0,-0.0,-0.0,-0.0,0.874897709,-0.0,-0.0,0.874897709,-0.0,-0.0,-0.0,6.342043545888888,Feeder 1,13388,12829,14248,584,1:07:46,67.77,08:45:00,10:00:00,0.749265205316111,0.13488006347083334,0.12637411352222222
12832,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Feeder 1,13390,12832,13388,584,0:50:56,50.93,09:30:00,10:15:00,0.0,0.0,0.0
12931,-0.0,-0.0,-0.0,0.74202284,2.22606852,1.48404568,5.19415988,6.678205559999999,12.61438828,26.71282224,31.90698212,64.55598708,112.04544884,184.02166432,397.72424224,711.5999035599999,1074.44907232,3296.514399,7320.22118052,3053.6959064400003,3980.5907694,1754.02790148,1589.538828,2786.80662244,2611.9841706,1179.8163155999998,1126.39067112,1021.76545068,897.8476363999999,846.64806044,717.76006344,663.36841896,641.8497566,634.4295281999999,581.00388372,592.1342263199999,537.22453616,503.09148552,520.15801084,534.2564447999999,525.35217072,534.2564447999999,566.16342692,509.02766824,517.18991948,486.0249602,527.57823924,505.31755404,513.4798052799999,532.7723991199999,567.6474726,590.6501806399999,617.36300288,674.4987615599999,685.62910416,762.79947952,831.8076036399999,882.26515676,811.0309641199999,871.8768369999999,825.12939808,799.15859868,805.0947814,741.28081716,638.88166524,523.1261022,486.0249602,485.28293736,480.83080032,395.49817372,365.07523728,366.55928296,307.19745576,277.51654216,264.16013104,284.93677056,246.35158288,250.06169708,207.7663952,214.44460076,154.34075072,132.82208835999998,117.23960872,77.9123982,57.87778152,46.00541608,34.87507348,18.550571,11.1303426,9.64629692,8.16225124,0.74202284,3.7101142,0.74202284,-0.0,0.74202284,1.48404568,-0.0,0.74202284,-0.0,0.74202284,-0.0,0.74202284,0.74202284,-0.0,-0.0,0.74202284,0.74202284,17.27239536261111,Incident Link,12931,13640,12934,584,0:25:54,25.9,17:15:00,17:45:00,0.6933791204888888,0.4295487773777778,0.3227799354
12934,-0.0,-0.0,-0.0,0.043999776,0.065999664,0.021999888,0.1979989919999999,0.2419987679999999,0.3959979839999999,0.681996528,1.143994176,1.891990368,3.431982528,4.883975136,10.11994848,19.227902112,28.687853952,32.075836704,32.22983592,33.69483592,32.031836928,30.843842976,30.711843648,29.787848352,30.953842416,26.905863024,24.903873216,22.901883408,21.845888784,20.151897408,16.719914879999997,15.61992048,14.871924288,14.585925744,12.627935712,13.727930112,12.143938176,10.581946128,10.823944896,11.527941312,10.647945792,10.317947472,11.087943552,11.255947472,10.66994568,9.965949264,9.943949376,9.855949824,10.735945344,10.845944784,11.21994288,11.923939296,12.671935488,13.815929664,14.035928544,15.795919583999998,16.411916448,17.37991152,16.125917903999998,17.797909391999998,15.267922272,16.917913872,15.377921712,18.305924064,12.627935712,9.877949712,9.01995408,8.315957663999999,9.305952624,15.456957776,7.325962703999999,8.843954976,6.533966736,10.947963936,7.039964159999999,6.071969088,5.213973456,5.38997256,4.685976144,6.017980176,9.332979504,3.471986112,2.885987568,2.870988912,1.6939913759999998,1.297993392,0.703996416,0.527997312,0.3959979839999999,0.175999104,0.1979989919999999,0.043999776,0.021999888,0.043999776,0.021999888,0.043999776,0.087999552,-0.0,0.021999888,-0.0,0.021999888,-0.0,0.021999888,0.021999888,-0.0,-0.0,0.021999888,-0.0,0.2911918878488887,Feeder 2,12931,13640,12934,584,0:25:54,25.9,17:15:00,17:45:00,0.01388437376,0.009356623826666665,0.00625163484
12942,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.152238456,0.228357684,0.342536526,0.685073052,0.608953824,1.255967262,2.511934524,4.034319084,4.491034452,9.13430736,15.147726372,24.35815296,31.58947962,30.714108498,29.87679699,32.959625724,28.773068184,30.980525796,29.267843166,26.185014432,21.998456892,21.808158822,19.22010507,16.784289773999998,17.202945528,14.881309074,14.691011004,17.355183984,15.946978266,16.974587844,17.50742244,19.029807,20.019356964,18.573091632,20.247714648,20.17159542,21.046966542,20.323833876,21.351443454,25.385762538,28.011875904,27.935756676,29.191723938,32.426791128,33.644698776,39.658117788,41.408860032,46.851384834,47.5745175,46.090192554,44.491688766,38.173792842,30.714108498,26.984266326,29.458141236,27.060385554,27.364862466,25.804418292,22.683529944,17.735780123999998,17.202945528,18.801449316,17.088766686,17.735780123999998,15.946978266,18.611151246,18.154435878,18.45891279,19.372343526,20.894728086,20.019356964,20.476072332,17.773839738,18.45891279,16.441753247999998,15.03354753,14.767130232,10.694751534,10.314155394,7.42162473,5.785061327999999,3.958199856,2.207457612,1.4462653319999998,1.179848034,0.2664172979999999,0.152238456,-0.0,0.038059614,-0.0,0.114178842,0.076119228,-0.0,0.076119228,-0.0,-0.0,-0.0,-0.0,-0.0,0.038059614,-0.0,-0.0,0.47113573286,Incident Link,12942,13242,12989,584,1:23:24,83.4,18:45:00,20:15:00,0.034200792025,0.01017037463,0.01118529767
12942,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.152238456,0.228357684,0.342536526,0.685073052,0.608953824,1.255967262,2.511934524,4.034319084,4.491034452,9.13430736,15.147726372,24.35815296,31.58947962,30.714108498,29.87679699,32.959625724,28.773068184,30.980525796,29.267843166,26.185014432,21.998456892,21.808158822,19.22010507,16.784289773999998,17.202945528,14.881309074,14.691011004,17.355183984,15.946978266,16.974587844,17.50742244,19.029807,20.019356964,18.573091632,20.247714648,20.17159542,21.046966542,20.323833876,21.351443454,25.385762538,28.011875904,27.935756676,29.191723938,32.426791128,33.644698776,39.658117788,41.408860032,46.851384834,47.5745175,46.090192554,44.491688766,38.173792842,30.714108498,26.984266326,29.458141236,27.060385554,27.364862466,25.804418292,22.683529944,17.735780123999998,17.202945528,18.801449316,17.088766686,17.735780123999998,15.946978266,18.611151246,18.154435878,18.45891279,19.372343526,20.894728086,20.019356964,20.476072332,17.773839738,18.45891279,16.441753247999998,15.03354753,14.767130232,10.694751534,10.314155394,7.42162473,5.785061327999999,3.958199856,2.207457612,1.4462653319999998,1.179848034,0.2664172979999999,0.152238456,-0.0,0.038059614,-0.0,0.114178842,0.076119228,-0.0,0.076119228,-0.0,-0.0,-0.0,-0.0,-0.0,0.038059614,-0.0,-0.0,0.47113573286,Feeder 1,13244,12942,13242,584,0:58:43,58.72,10:45:00,11:45:00,0.024114994315,0.01072012461,0.01122758613
12982,-0.0,-0.0,-0.0,-0.0,-0.0,0.113075607,0.188459345,0.113075607,0.5653780350000001,0.8292211180000001,1.771517843,1.846901581,3.580727555,5.3899372670000005,8.932972953,14.775212648000002,23.858953077,34.412676397000006,34.525752004000005,36.221886109,32.339623602,34.412676397000006,35.581124336,33.658839017000005,30.040419593000003,26.987378204,21.861284020000003,18.657475155,16.433654884000003,14.624445172,14.925980124,13.229846019000002,10.742182665,11.872938735000002,13.757532185,15.189823207000002,14.360602089,13.154462281,13.795224054,14.32291022,14.850596386,15.189823207000002,18.770550762000003,17.602102823000003,17.300567871000002,19.825923094,22.238202710000003,22.916656352,25.178168492,26.874302597000003,28.909663523000003,33.847298362000004,37.918020214,44.024102992,50.092493901000005,49.338656521,49.451732128,48.9994297,50.62018006700001,50.318645115,45.041783455,42.177201411000006,42.554120101,38.483398249,40.292607961,38.671857594,38.521090118,39.915689271000005,40.292607961,39.388003105,35.920351157000006,35.468048729,33.16884472,31.548094353000003,33.018077244000004,33.244228458,30.002727724000003,25.743546527000003,25.668162789000004,21.823592151000003,20.202841784,17.149800395,13.116770412,9.762194071,7.5383738,5.276861660000001,4.560716149,1.922285319,1.13075607,0.678453642,0.339226821,0.452302428,0.113075607,0.113075607,0.075383738,-0.0,0.037691869,0.037691869,0.075383738,0.037691869,0.037691869,0.037691869,-0.0,-0.0,0.037691869,-0.0,-0.0,-0.0,0.5569497142930552,Feeder 2,13467,13463,12982,584,1:34:34,94.57,07:15:00,08:45:00,0.06367831868277779,0.011255210881944444,0.008627250015555556
12989,-0.0,-0.0,0.574972274,-0.0,0.574972274,0.574972274,5.174750466,5.749722739999999,6.899667288,12.074417754,23.573863234,36.223253262,63.24695014,93.145508388,125.918928006,229.9889096,340.95855848199994,500.80085065399993,623.8449172899999,586.4717194799999,572.0974126299999,635.34436277,582.446913562,587.046691754,593.9463590419999,573.822329452,499.075933832,505.97560112,424.329538212,393.85600769,379.48170084,372.582033552,351.308059414,419.72976002,393.85600769,407.080369992,423.179593664,430.654233226,464.577597392,450.778262816,481.251793338,478.376931968,503.10073975,498.500961558,507.700517942,578.422107644,618.09519455,623.8449172899999,654.3184478119999,694.566506992,729.6398157059999,815.310684532,861.8834387259999,1011.057891662,979.752754896,1009.651313144,2201.171562678,18343.36215543,738.83937209,662.9430319219999,706.0659524719999,697.4413683619999,691.6916456219999,675.017449676,623.269945016,565.197745342,523.7997416139999,537.024103916,499.650906106,484.701626982,456.527985556,482.97671016,470.327320132,473.202181502,479.784904242,500.80085065399993,457.677930104,481.826765612,445.60351235,403.630536348,345.558336674,321.409501166,300.135527028,228.263992778,212.73974138,153.51759715799997,116.71937162199998,78.196229264,52.897449208,33.923364166,20.12402959,7.474639561999999,2.87486137,1.149944548,0.574972274,0.574972274,0.574972274,1.149944548,0.574972274,1.149944548,0.574972274,-0.0,-0.0,-0.0,-0.0,0.574972274,-0.0,-0.0,16.012697036646664,Feeder 2,12942,13242,12989,584,1:23:24,83.4,18:45:00,20:15:00,0.9860774499099999,0.26209152823166665,0.2723849319155555
