Link Id,0:15:00,2:45:00,3:15:00,3:30:00,3:45:00,4:00:00,4:15:00,4:30:00,4:45:00,5:00:00,5:15:00,5:30:00,5:45:00,6:00:00,6:15:00,6:30:00,6:45:00,7:00:00,7:15:00,7:30:00,7:45:00,8:00:00,8:15:00,8:30:00,8:45:00,9:00:00,9:15:00,9:30:00,9:45:00,10:00:00,10:15:00,10:30:00,10:45:00,11:00:00,11:15:00,11:30:00,11:45:00,12:00:00,12:15:00,12:30:00,12:45:00,13:00:00,13:15:00,13:30:00,13:45:00,14:00:00,14:15:00,14:30:00,14:45:00,15:00:00,15:15:00,15:30:00,15:45:00,16:00:00,16:15:00,16:30:00,16:45:00,17:00:00,17:15:00,17:30:00,17:45:00,18:00:00,18:15:00,18:30:00,18:45:00,19:00:00,19:15:00,19:30:00,19:45:00,20:00:00,20:15:00,20:30:00,20:45:00,21:00:00,21:15:00,21:30:00,21:45:00,22:00:00,22:15:00,22:30:00,22:45:00,23:00:00,23:15:00,23:30:00,23:45:00,24:00:00,24:15:00,24:30:00,24:45:00,25:00:00,25:15:00,25:30:00,25:45:00,26:00:00,26:15:00,26:30:00,26:45:00,27:00:00,27:15:00,27:30:00,27:45:00,28:00:00,28:15:00,28:30:00,28:45:00,29:00:00,30:00:00,Total Delay [hours],Type,Incident Link,Feeder 1_x,Feeder 2_x,Seed,Duration [HH:MM:SS],Duration [mins],Incident Start,Incident End,Delay During Incident [hours],Post-Incident Delay (0-30 mins) [hours],Post-Incident Delay (30-60 mins) [hours]
12932,-0.0,-0.0,-0.0,0.825900615,0.825900615,5.781304305,3.30360246,12.388509225,17.343912915,29.73242214,46.25043444,73.505154735,119.755589175,160.22471931,203.17155129,312.19043247,461.678443785,759.002665185,723.48893874,739.181050425,729.270243045,815.163907005,778.8242799450001,787.083286095,795.342292245,721.011236895,608.688753255,546.74620713,499.669872075,504.625275765,469.11154932,493.062667155,479.0223567,526.098691755,521.143288065,550.04980959,526.92459237,547.572107745,568.21962312,566.56782189,593.822542185,615.295958175,704.493224595,644.2024797,706.97092644,732.573845505,740.832851655,763.958068875,903.53527281,894.450366045,986.12533431,1090.1888118,1151.30545731,1335.481294455,3438.41210085,1201.685394825,968.781421395,947.308005405,885.36545928,788.735087325,776.3465781,712.752230745,715.22993259,596.30024403,634.29167232,553.35341205,507.10297761,472.41515178,460.85254317,437.72732595,468.285648705,490.58496531,460.026642555,472.41515178,491.410865925,512.0583813,567.393722505,502.973474535,469.11154932,405.517201965,364.222171215,330.360246,275.85080541,224.64496728,207.301054365,165.180123,104.06347749,74.33105535,50.379937515,25.602919065,9.084906765,4.95540369,2.477701845,-0.0,1.65180123,0.825900615,0.825900615,-0.0,2.477701845,-0.0,1.65180123,0.825900615,-0.0,0.825900615,0.825900615,-0.0,-0.0,13.430802095708325,Feeder 2,12941,12936,12932,879,1:17:20,77.33,16:45:00,18:00:00,1.410913550625,0.36431393795,0.329901412325
12936,-0.0,-0.0,-0.0,-0.0,-0.0,1.109974702,1.664962053,3.329924106,2.774936755,8.879797616,14.984658476999998,17.759595232,32.744253709,40.514076623,52.723798345,97.677773776,142.63174920699998,271.388814639,249.189320599,280.823599606,272.498789341,297.47322013599995,287.483447818,279.158637553,273.608764043,239.754535632,187.030737287,156.50643298199998,149.291597419,141.521774505,136.526888346,143.741723909,112.107444902,138.74683775,128.757065432,151.511546823,146.516660664,143.741723909,152.066534174,154.286483578,179.260914373,175.37600291599998,207.565269274,186.475749936,214.225117486,244.19443444,234.204662122,250.854282652,316.34279007,330.217473845,384.051246892,443.9898808,450.094741661,532.78785696,593.83646557,502.818540006,356.856866693,348.532056428,281.933574308,245.859396493,235.869624175,223.659902453,238.64456093,186.475749936,191.470636095,153.73149622699998,125.982128677,121.542229869,120.987242518,118.767293114,120.987242518,129.86704013399998,127.092103379,121.542229869,145.40668596199998,155.95144563099998,171.491091459,150.95655947199998,137.081875697,120.432255167,109.332508147,106.557571392,94.902837021,64.378532716,71.59336827899999,67.153469471,39.959089272,25.529418146,21.644506689,11.09974702,2.774936755,1.109974702,-0.0,-0.0,0.554987351,0.554987351,-0.0,-0.0,1.109974702,-0.0,0.554987351,0.554987351,-0.0,-0.0,-0.0,-0.0,-0.0,4.196475189325279,Feeder 1,12941,12936,12932,879,1:17:20,77.33,16:45:00,18:00:00,0.4701976168194445,0.11808897524055556,0.09588948120055556
12941,-0.0,-0.0,-0.0,-0.0,-0.0,1.87697158,1.87697158,6.56940053,4.69242895,15.01577264,23.46214475,30.03154528,56.3091474,69.44794845999999,87.27917847,166.11198483,241.19084803,455.16560815,418.56466234,479.56623869,458.91955131,502.08989765,483.32018185,477.68926711,459.8580371,406.36434707,313.45425386,265.59147857,257.14510646,236.49841908,231.80599013,238.37539066,195.20504432,235.55993329,216.79021749,254.32964909,245.88327698,244.94479119,256.20662067,262.7760212,301.25393859,298.43848122,352.87065704,316.26971123,356.6246002,413.87223339,397.91797496,422.3186055,532.12144293,560.27601663,645.67822352,749.8501462099999,764.86591885,890.62301471,1014.50313899,846.51418258,607.20030613,588.43059033,478.6277529,417.62617655,398.85646075,377.27128758,403.5488897,319.0851686,324.71608334,258.08359225,215.8517317,203.65141643,207.40535959,197.0820159,204.58990222,219.60567486,218.66718907,205.52838801,244.94479119,263.71450699,289.05362332,258.08359225,228.05204697,202.71293064,187.697158,176.43532851999998,166.11198483,106.04889427,121.06466691,112.6182948,71.32492004,43.17034634,36.60094581,17.83123001,5.63091474,1.87697158,-0.0,-0.0,0.93848579,0.93848579,-0.0,-0.0,1.87697158,-0.0,0.93848579,0.93848579,-0.0,-0.0,-0.0,-0.0,-0.0,7.096777405880554,Incident Link,12941,12936,12932,879,1:17:20,77.33,16:45:00,18:00:00,0.796670159511111,0.20073168286111112,0.161888798775
12954,-0.0,-0.0,-0.0,-0.0,0.190163854,0.570491562,3.232785518,4.563932496,4.944260204,8.367209576,13.31146978,21.678679356,35.370476843999995,48.111455062,67.573874214,93.560616168,122.275358122,144.52452904,133.875353216,140.340924252,156.69501569599998,160.68845663,158.026162674,149.08846153599998,143.19338206199998,125.50814364,113.717984692,107.252413656,89.186847526,86.714717424,81.58029336599999,77.77701628599999,79.86881868,72.832756082,77.96718014,76.636033162,81.77045722,75.685213892,81.199965658,85.763898154,88.616355964,88.236028256,91.849141482,99.645859496,98.88520408,100.78684262,119.993391874,120.563883436,146.045839872,161.829439754,186.550740774,217.73761283,222.872036888,235.613015106,271.553983512,239.416292186,192.445820248,164.681897564,136.347483318,122.275358122,126.078635202,112.006510006,109.154052196,99.645859496,94.891763146,82.531112636,64.275382652,59.90161401,57.429483908,62.563907966,53.24587912,45.258997252,45.449161106,43.357358712,44.878669544,40.695064756,42.977031004,40.504900902,39.173753924,37.652443092,31.186872056,28.144250392,31.757363618,29.285233516,24.911464874,19.96720467,17.304910714,11.980322802,8.747537284,4.373768642,2.662293956,1.331146978,0.380327708,0.380327708,0.190163854,-0.0,0.570491562,-0.0,0.190163854,0.380327708,0.190163854,-0.0,0.190163854,-0.0,-0.0,-0.0,-0.0,2.095940862515556,Feeder 2,12956,13445,12954,879,1:37:38,97.63,08:00:00,09:45:00,0.2907394034488889,0.04674861410833333,0.04379050971277778
12956,-0.0,-0.0,-0.0,-0.0,0.649632052,2.273712182,4.547424363999999,5.846688468,10.069296806,19.164145534,30.532706444,43.85016351,73.40842187599999,98.744071904,139.346075154,235.816434876,289.735895192,378.085854264,354.374284366,376.461774134,387.505519018,398.549263902,373.5384299,368.66618951,354.374284366,321.89268176599995,293.308871478,279.991414412,245.885731682,231.269010512,211.1304169,220.87489768,200.411488042,217.951553446,208.531888692,226.721586148,222.174161784,218.276369472,244.586467578,253.681316306,249.458707968,255.955028488,274.144725944,291.684791348,288.111815062,284.21402275,324.491209974,331.31234652,368.991005536,401.14779211,430.056418424,492.09627939,520.3552736519999,539.844235212,598.311119892,529.1253063539999,470.658421674,444.023507542,401.472608136,370.615085666,369.315821562,320.268601636,335.859770884,297.20666379,290.71034327,253.681316306,228.020850252,213.079313056,205.933360484,204.309280354,193.915167522,189.692559184,186.119582898,185.794766872,186.76921495,180.922526482,192.615903418,189.692559184,184.170686742,180.922526482,177.349550196,123.43008988,92.247751384,87.375510994,77.306214188,53.59464429,47.747955822,28.583810288,17.215249378,7.470768597999999,5.846688468,2.273712182,0.324816026,0.324816026,0.324816026,0.324816026,0.974448078,-0.0,0.324816026,0.324816026,0.324816026,-0.0,0.324816026,-0.0,-0.0,0.324816026,-0.0,5.756010660741667,Incident Link,12956,13445,12954,879,1:37:38,97.63,08:00:00,09:45:00,0.7322796852822221,0.12288872983666667,0.11702399603388888
12961,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.117339064,0.088004298,0.14667383,0.249345511,0.484023639,0.645364852,1.041384193,3.358830707,5.72027937,6.952339542000001,5.954957498000001,6.937672159000001,7.759045607,6.673659265,6.394978988,6.497650669,5.001577603,4.165536772,3.637510984,2.992146132,2.669463706,2.4641203440000004,2.126770535,1.76008596,1.730751194,1.701416428,2.1414379180000003,2.522789876,2.508122493,2.420118195,2.8894744510000003,2.258776982,2.7134658550000004,3.1388199620000004,3.270826409,4.590890879000001,4.4588844320000005,4.737564709,5.236255731,6.248305158,6.923004776,8.492414757,9.225783907,11.161878463,12.364603869000002,12.232597422,12.584614614,11.88058023,12.502571634,12.100590975,12.46727555,11.191213229,9.504464184,8.756427651000001,7.803047756000001,7.656373926,7.539034862,7.04034384,6.174968243,6.805665712000001,5.881620583,6.556320201,6.409646371,6.629657116000001,7.650328797,6.409646371,6.952339542000001,6.790998329000001,6.9963416910000005,6.879002627,5.881620583,5.588272923,4.356212751,3.1388199620000004,2.5521246420000003,2.156105301,1.76008596,1.2320601720000002,0.718701767,0.366684575,0.352017192,0.117339064,0.058669532,0.044002149,0.014667383,-0.0,0.014667383,0.029334766,0.014667383,0.014667383,0.014667383,0.014667383,-0.0,-0.0,0.014667383,-0.0,-0.0,0.014667383,-0.0,0.1184553915363889,Feeder 2,13460,12978,12961,879,1:14:06,74.1,17:30:00,18:45:00,0.014569600446666667,0.0036709200230555556,0.0035242461930555555
12964,-0.0,-0.0,-0.0,0.907270276,5.443621656,3.629081104,11.794513588,14.516324416,29.939919108,47.178054352,104.33608174,185.083136304,410.993435028,762.10703184,1225.256602324,11249.368308052,98958.45088412,143235.81777428,37834.63931484,12463.411470048,7470.659523976001,1733.871144148,1864.985360284,1527.35352228,1359.998143724,1274.71473778,1223.000332048,1165.84230466,1135.902385552,1120.47879086,990.739141392,842.854086404,770.272464324,775.71608598,748.4979777,843.76135668,798.39784288,806.563275364,763.921572392,784.78878874,736.703464112,708.578085556,665.029112308,697.690842244,730.35257218,772.087004876,726.723491076,728.538031628,768.457923772,761.199761564,791.1396806719999,850.112248612,855.555870268,883.681248824,897.290302964,941.746546488,930.859303176,957.17014118,1007.07000636,947.190168144,921.786600416,890.032140756,852.83405944,776.623356256,703.1344639,739.42527494,634.181922924,577.931165812,476.3168949,449.09878662,414.622516132,460.893300208,384.682597024,345.669975156,379.238975368,357.464488744,350.206326536,267.64473142,218.652136516,212.301244584,157.865028024,140.62689278,98.892460084,82.56159511599999,72.58162208,62.601649044,48.085324628,23.589027176,19.959946072,9.979973036,4.53635138,1.814540552,2.721810828,1.814540552,1.814540552,1.814540552,-0.0,-0.0,0.907270276,0.907270276,-0.0,-0.0,0.907270276,-0.0,-0.0,-0.0,-0.0,100.56919168810666,Feeder 1,13246,12964,14236,879,1:29:14,89.23,22:45:00,24:15:00,0.1842262699322222,0.012096937013333333,0.004032312337777778
12969,-0.0,-0.0,-0.0,-0.0,2.929247796,1.952831864,3.905663728,4.88207966,5.858495592,14.64623898,33.198141688,38.080221348,71.278363036,87.87743388,151.34446946,278.27854062,457.939072108,591.708054792,475.514558884,569.250488356,645.410931052,562.4155768319999,524.335355484,557.533497172,451.104160584,416.929602964,357.368231112,338.816328404,304.641770784,275.349292824,278.27854062,255.820974184,237.269071476,310.500266376,292.9247796,334.910664676,309.523850444,338.816328404,365.179558568,325.146505356,414.000355168,384.707877208,388.613540936,501.877789048,492.113629728,470.632479224,601.472214112,570.226904288,655.175090372,742.07610832,789.920488988,930.524383196,945.170622176,953.958365564,936.382878788,839.71770152,687.396816128,729.382701204,828.000710336,691.302479856,692.278895788,661.0335859639999,621.000532752,633.693939868,606.354293772,590.73163886,496.019293456,549.7221697159999,509.689116504,495.042877524,498.948541252,503.830620912,504.807036844,481.373054476,585.8495592,538.005178532,538.981594464,460.868319904,403.259779916,409.118275508,346.62765586,277.302124688,213.835089108,187.471858944,182.589779284,117.16991184,87.87743388,57.608539988,38.080221348,20.504734572,13.669823048,5.858495592,1.952831864,0.976415932,0.976415932,1.952831864,1.952831864,0.976415932,0.976415932,1.952831864,0.976415932,-0.0,0.976415932,-0.0,-0.0,0.976415932,-0.0,10.04650626033666,Feeder 1,12972,12969,13458,879,0:36:44,36.73,20:30:00,21:15:00,0.5766278531755555,0.29916299249888884,0.24003558328333333
12972,-0.0,-0.0,-0.0,-0.0,1.004111268,1.004111268,2.342926292,3.681741316,4.351148828,6.694075120000001,15.396372776000002,20.08222536,34.474486868,47.193229596,76.64716012400001,135.55502118,209.524551256,269.77122733600004,223.247405252,267.76300480000003,291.19226772,259.730114656,257.72189212,266.758893532,220.235071448,214.545107596,194.462882236,179.401213216,165.008951708,147.604356396,152.959616492,138.56735498400002,139.57146625200002,162.666025416,162.666025416,170.69891556000002,173.711249364,168.02128551200002,190.78114092,163.33543292800002,205.508106184,200.152846088,203.165179892,243.999038124,239.98259305200003,234.627332956,281.820562552,287.175822648,308.931566788,348.426609996,355.455388872,409.342693588,424.739066364,427.416696412,438.127216604,414.697953684,377.545836768,400.6403959320001,431.433141484,381.227578084,345.748979948,317.9685682,303.241602936,295.54341654800004,280.147043772,280.481747528,243.999038124,255.044262072,239.31318554,229.606776616,224.25151652,229.941480372,222.912701496,212.871588816,248.350186952,228.267961592,231.949702908,196.136401016,170.69891556000002,170.364211804,146.600245128,116.142203332,91.708829144,79.994197684,79.32479017200001,53.217897204,39.160339452,22.759855408,18.743410336,9.371705168,5.355260096,2.008222536,2.008222536,0.334703756,1.004111268,0.669407512,0.669407512,0.334703756,0.334703756,0.669407512,0.334703756,-0.0,0.334703756,-0.0,-0.0,0.334703756,-0.0,4.8197340864000005,Incident Link,12972,12969,13458,879,0:36:44,36.73,20:30:00,21:15:00,0.2539099882322223,0.1278382401388889,0.1018986990488889
12978,-0.0,-0.0,-0.0,-0.0,-0.0,1.880792048,3.761584096,5.642376144,18.80792048,29.152276744,45.139009152,74.291285896,119.430295048,163.628908176,252.026134432,451.39009152,661.098404872,694.952661736,603.734247408,628.184544032,693.071869688,688.369889568,552.952862112,543.548901872,449.509299472,363.933261288,370.516033456,321.615440208,295.284351536,283.999599248,266.132074792,220.052669616,192.78118492,218.171877568,262.370490696,256.728114552,268.953262864,267.072470816,303.747915752,270.834054912,316.913460088,348.886924904,338.54256864,421.297418752,446.6881114,453.270883568,488.065536456,555.774050184,574.581970664,703.416225952,741.032066912,895.257014848,978.952260984,963.9059246,1006.22374568,985.535033152,932.872855808,961.084736528,1000.581369536,905.601371112,825.667709072,773.945927752,705.297018,709.99899812,674.263949208,647.932860536,617.840187768,637.588504272,566.118406448,608.436227528,598.091871264,593.389891144,630.06533608,587.747515,617.840187768,570.820386568,599.972663312,557.654842232,517.2178132,465.49603188,382.741181768,284.939995272,231.337421904,190.900392872,170.211680344,119.430295048,74.291285896,39.496633008,29.152276744,15.986732408,7.523168192,2.821188072,2.821188072,1.880792048,0.940396024,1.880792048,0.940396024,0.940396024,0.940396024,1.880792048,-0.0,-0.0,0.940396024,0.940396024,-0.0,0.940396024,-0.0,10.81403183376444,Feeder 1,13460,12978,12961,879,1:14:06,74.1,17:30:00,18:45:00,1.2763263814622223,0.3516036245288889,0.33436303075555557
