Link Id,0:15:00,2:30:00,2:45:00,3:00:00,3:15:00,3:30:00,3:45:00,4:00:00,4:15:00,4:30:00,4:45:00,5:00:00,5:15:00,5:30:00,5:45:00,6:00:00,6:15:00,6:30:00,6:45:00,7:00:00,7:15:00,7:30:00,7:45:00,8:00:00,8:15:00,8:30:00,8:45:00,9:00:00,9:15:00,9:30:00,9:45:00,10:00:00,10:15:00,10:30:00,10:45:00,11:00:00,11:15:00,11:30:00,11:45:00,12:00:00,12:15:00,12:30:00,12:45:00,13:00:00,13:15:00,13:30:00,13:45:00,14:00:00,14:15:00,14:30:00,14:45:00,15:00:00,15:15:00,15:30:00,15:45:00,16:00:00,16:15:00,16:30:00,16:45:00,17:00:00,17:15:00,17:30:00,17:45:00,18:00:00,18:15:00,18:30:00,18:45:00,19:00:00,19:15:00,19:30:00,19:45:00,20:00:00,20:15:00,20:30:00,20:45:00,21:00:00,21:15:00,21:30:00,21:45:00,22:00:00,22:15:00,22:30:00,22:45:00,23:00:00,23:15:00,23:30:00,23:45:00,24:00:00,24:15:00,24:30:00,24:45:00,25:00:00,25:15:00,25:30:00,25:45:00,26:00:00,26:15:00,26:30:00,26:45:00,27:00:00,27:15:00,27:30:00,27:45:00,28:00:00,28:15:00,28:30:00,28:45:00,29:00:00,29:15:00,29:45:00,30:00:00,Total Delay [hours],Type,Incident Link,Feeder 1_x,Feeder 2_x,Seed,Duration [HH:MM:SS],Duration [mins],Incident Start,Incident End,Delay During Incident [hours],Post-Incident Delay (0-30 mins) [hours],Post-Incident Delay (30-60 mins) [hours]
12932,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,2.477701845,3.30360246,6.60720492,13.21440984,26.42881968,32.210123985,40.469130135,94.15267011,100.75987503,151.139812545,217.211861745,332.01204723,464.982046245,765.609870105,775.520677485,770.565273795,777.99837933,796.994093475,721.83713751,750.743659035,758.17676457,739.181050425,601.25564772,543.44260467,526.92459237,494.714468385,483.97776039,515.36198376,486.455462235,532.705896675,511.232480685,495.540369,557.482915125,559.96061697,531.87999606,554.179312665,578.956331115,634.29167232,635.94347355,697.06011906,640.072976625,732.573845505,784.60558425,780.476081175,873.80285067,958.870614015,1022.46496137,1129.006140705,1144.69825239,1285.927257555,1315.659679695,1230.59191635,1100.09961918,1127.354339475,1018.335458295,991.080738,929.96409249,853.155335295,777.99837933,670.63129938,613.644156945,608.688753255,474.892853625,470.76335055,481.500058545,468.285648705,474.892853625,457.54894071,462.5043444,478.196456085,479.0223567,488.107263465,441.856829025,441.03092841,410.472605655,382.391984745,358.44086691,303.93142632,308.060929395,211.43055744,188.30534022,143.70670701,88.371365805,72.67925412,44.59863321,19.82161476,7.433105535,7.433105535,3.30360246,0.825900615,0.825900615,-0.0,1.65180123,0.825900615,1.65180123,2.477701845,0.825900615,0.825900615,0.825900615,0.825900615,-0.0,-0.0,-0.0,-0.0,-0.0,13.070336066049991,Feeder 2,12941,12936,12932,879,1:17:20,77.33,16:45:00,18:00:00,1.6722193285374998,0.402397132975,0.3395369195
12936,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.554987351,0.554987351,-0.0,3.329924106,8.879797616,6.659848212,7.769822914,28.859342252,23.309468742,38.294127219,53.833773047,102.117672584,159.836357088,273.608764043,274.718738745,293.588308679,282.488561659,291.368359275,269.168865235,262.509017023,250.299295301,229.764763314,178.15093967099995,160.94633179,148.18162271699998,137.081875697,136.526888346,147.071648015,123.762179273,148.18162271699998,132.08698953799998,139.856812452,136.526888346,143.18673655799998,159.28136973699998,155.95144563099998,159.28136973699998,180.925876426,178.705927022,218.110028943,190.915648744,243.639447089,254.739194109,273.608764043,312.457878613,364.071702256,385.716208945,430.670184376,439.549981992,501.153577953,464.524412787,439.549981992,351.861980534,275.273726096,236.979598877,225.324864506,205.34531987,179.815901724,179.815901724,152.621521525,148.73661006799998,157.061420333,112.107444902,109.332508147,106.557571392,107.667546094,110.9974702,112.107444902,111.552457551,117.657318412,122.652204571,128.202078081,112.662432253,132.64197688899998,113.217419604,112.662432253,107.667546094,97.122786425,96.567799074,84.358077352,57.163697153,48.838886888,28.859342252,23.309468742,9.989772318,9.434784967,3.884911457,2.219949404,1.109974702,-0.0,0.554987351,-0.0,0.554987351,-0.0,1.109974702,1.109974702,0.554987351,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,3.9564431600177774,Feeder 1,12941,12936,12932,879,1:17:20,77.33,16:45:00,18:00:00,0.4096114976686111,0.09234372868027778,0.08494389733361112
12941,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.93848579,0.93848579,-0.0,5.63091474,15.01577264,11.26182948,13.13880106,48.80126108,37.5394316,66.63249109,87.27917847,169.86592799,273.09936489,456.10409394,471.11986658,492.70503975,478.6277529,493.64352554,455.16560815,445.78075025,423.25709129,383.84068811,306.88485333,271.22239331,250.57570593,229.92901855,234.6214475,244.0063054,213.97476012,249.63722014,223.35961802,233.68296171,231.80599013,244.94479119,267.46845015,263.71450699,267.46845015,308.76182491,299.37696701,368.82491547,326.59305492,409.17980444,433.58043498,457.98106552,528.36749977,616.58516403,645.67822352,728.26497304,740.46528831,850.26812574,791.1435209699999,746.09620305,594.06150507,465.48895184,402.61040391,377.27128758,346.30125651,309.7003107,299.37696701,261.83753541,253.3911633,264.65299278,193.32807274,183.00472905,180.18927168,183.94321484,183.94321484,192.38958695,187.697158,197.0820159,206.4668738,217.72870328,188.63564379,227.11356118,191.45110116,192.38958695,179.25078589,164.23501325,166.11198483,141.71135429,97.60252216,80.70977794,51.61671845,38.47791739,17.83123001,14.07728685,8.44637211,3.75394316,1.87697158,-0.0,0.93848579,-0.0,0.93848579,-0.0,1.87697158,1.87697158,0.93848579,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,6.690882301705557,Incident Link,12941,12936,12932,879,1:17:20,77.33,16:45:00,18:00:00,0.6931760321138889,0.15589291733888885,0.14390115446666665
12954,-0.0,-0.0,-0.0,0.190163854,-0.0,-0.0,0.380327708,1.140983124,0.95081927,3.042621664,7.416390305999999,13.121305926,15.593436028,23.199990188,36.321296114,52.104895996,66.747512754,99.645859496,112.006510006,144.714692894,149.849116952,170.767140892,157.83599882,158.78681809,143.383545916,150.799936222,130.83273155199998,124.176996662,112.19667386,101.357334182,99.265531788,87.47537283999999,81.199965658,75.11472232999999,77.20652472399999,77.586852432,74.924558476,74.734394622,83.862259614,79.678654826,86.52455357,87.855700548,86.90488127799999,85.5737343,92.799960752,94.891763146,97.554057102,104.970447408,128.36060145,128.36060145,153.08190247,160.87862048399998,180.275333592,192.826147956,218.117940538,224.773675428,219.829415224,185.029429942,153.272066324,154.603213302,134.636008632,124.176996662,100.406514912,90.517994504,97.93438481,1645.7237343000002,27488.5634386,96942.9152322,99972.4530372,80083.9317924,12954.0115503,17744.957301950002,7660.48543715,53.127618916,46.970471938,48.400635792,49.062274332,42.977031004,42.216375588,39.173753924,39.554081632,38.0327708,30.42621664,27.383594976,26.052447998,19.777040816,18.826221546,18.255729984,12.36065051,10.45901197,5.514751766,3.613113226,3.613113226,0.95081927,0.760655416,0.95081927,-0.0,0.190163854,0.190163854,-0.0,0.190163854,0.190163854,0.190163854,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,97.56783872929998,Feeder 2,12956,13445,12954,879,1:37:38,97.63,08:00:00,09:45:00,0.28355543563111113,0.04685426069388888,0.04231145751499999
12956,-0.0,-0.0,-0.0,-0.0,-0.0,0.324816026,1.299264104,1.6240801299999998,5.521872441999999,6.171504494,14.941537196,21.437857716,32.481602599999995,45.47424364,69.18581353799999,102.966680242,149.41537196,230.294562434,278.692150308,367.04210938,380.359566446,421.611201748,387.180702992,374.512877978,344.629803586,353.07502026199995,320.593417662,291.035159296,290.71034327,261.152084904,249.783523994,232.24345859,210.155968822,209.50633677,204.63409638,212.429681004,183.845870716,205.608544458,228.99529833,227.046402174,236.790882954,243.287203474,252.057236176,249.783523994,253.681316306,265.374693242,278.367334282,280.96586249,331.31234652,345.604251664,390.753679278,396.27555172,434.279026762,453.767988322,496.318887728,534.6471787959999,531.07420251,474.556213986,433.304578684,410.567456864,376.136958108,335.859770884,308.900040726,293.95850353,291.359975322,269.272485554,256.279844514,228.670482304,239.389411162,237.440515006,244.586467578,205.933360484,219.575633576,188.068479054,185.469950846,184.820318794,179.29844635199998,182.221790586,179.948078404,177.349550196,125.05417001,116.608953334,112.06152897,96.145543696,100.69296806,75.032502006,57.817252628,49.372035952,41.576451328,25.98528208,14.61672117,7.795584624,5.197056416,2.273712182,1.948896156,0.649632052,-0.0,-0.0,0.974448078,1.299264104,0.324816026,0.324816026,0.324816026,-0.0,-0.0,-0.0,-0.0,0.324816026,-0.0,-0.0,-0.0,5.508248214242779,Incident Link,12956,13445,12954,879,1:37:38,97.63,08:00:00,09:45:00,0.6904145085977778,0.12288872983666667,0.11503900920833332
12961,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Feeder 2,13460,12978,12961,879,1:14:06,74.1,17:30:00,18:45:00,0.0,0.0,0.0
12964,-0.0,-0.0,-0.0,-0.0,-0.0,1.814540552,2.721810828,9.07270276,9.07270276,18.14540552,35.383540764,74.396162632,103.428811464,210.486704032,482.667786832,869.1649244079999,1578.821846484,11233.751497012,69174.35207256001,21716.45955676,2895.530388096,8297.837523975999,16175.971713148,5647.842929072,1430.765225252,1212.113088736,1135.902385552,1106.86973672,1090.538871752,1053.340790436,943.56108704,881.866708272,800.212383432,826.523221436,763.014302116,752.127058804,781.159707636,772.087004876,756.663410184,698.59811252,688.618139484,773.901545428,694.06176114,721.27986942,756.663410184,746.6834371479999,685.896328656,745.776166872,756.663410184,733.981653284,792.954221224,794.768761776,769.365194048,840.1500053,885.495789376,921.786600416,918.157519312,906.363005724,946.282897868,921.786600416,1001.626384704,992.553681944,932.673843728,900.919384068,863.721302752,790.232410396,761.199761564,606.056544368,599.705652436,534.382192564,562.50757112,438.211543308,383.775326748,384.682597024,382.868056472,354.742677916,368.351732056,333.875461568,315.730056048,330.246380464,287.604677492,317.5445966,185.083136304,215.930325688,147.885054988,114.316054776,93.448838428,64.416189596,45.3635138,29.032648832,20.867216348,15.423594692,5.443621656,2.721810828,-0.0,0.907270276,3.629081104,2.721810828,-0.0,1.814540552,2.721810828,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.907270276,-0.0,50.81631879356221,Feeder 1,13246,12964,14236,879,1:29:14,89.23,22:45:00,24:15:00,0.24067864266111108,0.01386107366111111,0.005796448985555556
12969,-0.0,-0.0,-0.0,0.976415932,-0.0,0.976415932,0.976415932,1.952831864,1.952831864,4.88207966,12.693407116,15.622654912,36.127389484,37.103805416,62.490619648,108.382168452,148.415221664,271.443629096,487.231550068,541.91084226,621.976948684,646.387346984,651.269426644,541.91084226,528.241019212,486.255134136,447.198496856,372.014470092,322.21725756,300.736107056,302.68893892,274.372876892,248.009646728,266.561549436,253.86814232,280.231372484,279.254956552,300.736107056,323.193673492,357.368231112,338.816328404,360.297478908,400.33053212,386.660709072,373.967301956,430.599426012,520.429691756,487.231550068,579.014647676,573.156152084,695.208143584,724.500621544,828.000710336,835.812037792,912.94889642,891.467745916,729.382701204,739.146860524,799.684648308,805.5431439,781.1327456,711.807214428,599.5193822479999,598.542966316,541.91084226,537.0287625999999,522.38252362,464.773983632,458.91548804,479.420222612,444.26924906,504.807036844,461.844735836,479.420222612,456.962656176,488.207966,463.7975677,423.764514488,445.245664992,406.189027712,353.462567384,339.792744336,338.816328404,385.68429314,264.608717572,165.99070844,115.217079976,95.688761336,86.901017948,50.773628464,41.985885076,22.457566436,7.811327456,10.740575252,0.976415932,2.929247796,0.976415932,0.976415932,-0.0,4.88207966,0.976415932,1.952831864,-0.0,0.976415932,-0.0,-0.0,-0.0,-0.0,0.976415932,-0.0,-0.0,9.587590772296656,Feeder 1,12972,12969,13458,879,0:36:44,36.73,20:30:00,21:15:00,0.5245523368022221,0.24139171652222224,0.21101433197111108
12972,-0.0,-0.0,-0.0,0.334703756,-0.0,0.669407512,0.669407512,0.669407512,2.677630048,2.342926292,6.359371364,9.371705168,16.400484044000002,18.743410336,35.478598136,57.23434227600001,71.291900028,128.86094606,213.875700084,257.72189212,271.11004236,277.80411748,282.155266308,258.056595876,250.023705732,239.647889296,225.9250353,204.838698672,179.401213216,160.992506636,160.65780288000002,151.620801468,145.261430104,146.600245128,140.240873764,150.951393956,167.01717424400002,166.013062976,170.029508048,178.397101948,180.74002824,186.095288336,201.156957356,192.789363456,205.173402428,223.582109008,259.060707144,239.647889296,279.812340016,271.44474611600003,316.629753176,337.71608980400003,378.21524428,370.851761648,415.702064952,400.6403959320001,367.5047240880001,387.252245692,409.677397344,410.0121011,393.611617056,358.467722676,322.319717028,288.17993391600004,279.14293250400004,264.41596724000004,260.064818412,234.962036712,219.565663936,223.916812764,208.855143744,228.93736910400003,211.532773792,210.528662524,201.826364868,212.202181304,194.797585992,191.450548432,194.462882236,176.054175656,155.63724654,146.265541372,141.914392544,148.60846766400002,113.464573284,71.96130754,51.209674668000005,41.168561988,39.495043208000006,23.429262920000003,16.735187800000002,12.049335216,4.351148828,5.020556340000001,1.338815024,1.004111268,0.334703756,0.334703756,-0.0,1.6735187800000002,0.334703756,0.669407512,-0.0,0.334703756,-0.0,-0.0,-0.0,-0.0,0.334703756,-0.0,-0.0,4.621143191173337,Incident Link,12972,12969,13458,879,0:36:44,36.73,20:30:00,21:15:00,0.22759855408,0.10719817518555556,0.09213650616555556
12978,-0.0,-0.0,-0.0,-0.0,-0.0,1.880792048,0.940396024,1.880792048,5.642376144,9.40396024,18.80792048,33.854256864,60.185345536,77.112473968,129.774651312,166.450096248,236.979798048,441.045735256,611.2574156,678.965929328,652.634840656,759.839987392,733.50889872,651.694444632,536.966129704,531.32375356,462.674843808,435.403359112,314.092272016,283.059203224,268.953262864,219.112273592,237.920194072,226.635441784,197.48316504,220.99306564,234.158609976,241.681778168,242.622174192,266.132074792,255.787718528,285.880391296,330.079004424,319.73464816,300.92672768,367.694845384,437.28415116,410.012666464,491.827120552,570.820386568,633.826920176,764.541967512,791.813452208,889.614638704,926.29008364,967.667508696,925.349687616,947.919192192,985.535033152,972.369488816,926.29008364,801.217412448,805.919392568,678.025533304,667.68117704,729.747314624,691.19107764,617.840187768,625.36335596,670.502365112,618.780583792,626.303751984,585.866722952,563.297218376,552.012466088,574.581970664,595.270683192,544.489297896,579.283950784,531.32375356,511.575437056,469.257615976,438.224547184,397.787518152,255.787718528,205.946729256,118.489899024,110.966730832,92.158810352,54.542969392,32.91386084,24.450296624,20.688712528,6.582772168,3.761584096,1.880792048,-0.0,0.940396024,-0.0,2.821188072,0.940396024,2.821188072,0.940396024,0.940396024,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,10.695959888528892,Feeder 1,13460,12978,12961,879,1:14:06,74.1,17:30:00,18:45:00,1.2149394187844442,0.3453343177022222,0.35813415247333336
