Link Id,0:15:00,2:30:00,2:45:00,3:00:00,3:15:00,3:30:00,3:45:00,4:00:00,4:15:00,4:30:00,4:45:00,5:00:00,5:15:00,5:30:00,5:45:00,6:00:00,6:15:00,6:30:00,6:45:00,7:00:00,7:15:00,7:30:00,7:45:00,8:00:00,8:15:00,8:30:00,8:45:00,9:00:00,9:15:00,9:30:00,9:45:00,10:00:00,10:15:00,10:30:00,10:45:00,11:00:00,11:15:00,11:30:00,11:45:00,12:00:00,12:15:00,12:30:00,12:45:00,13:00:00,13:15:00,13:30:00,13:45:00,14:00:00,14:15:00,14:30:00,14:45:00,15:00:00,15:15:00,15:30:00,15:45:00,16:00:00,16:15:00,16:30:00,16:45:00,17:00:00,17:15:00,17:30:00,17:45:00,18:00:00,18:15:00,18:30:00,18:45:00,19:00:00,19:15:00,19:30:00,19:45:00,20:00:00,20:15:00,20:30:00,20:45:00,21:00:00,21:15:00,21:30:00,21:45:00,22:00:00,22:15:00,22:30:00,22:45:00,23:00:00,23:15:00,23:30:00,23:45:00,24:00:00,24:15:00,24:30:00,24:45:00,25:00:00,25:15:00,25:30:00,25:45:00,26:00:00,26:15:00,26:30:00,26:45:00,27:00:00,27:15:00,27:30:00,27:45:00,28:00:00,28:15:00,28:30:00,28:45:00,29:00:00,29:30:00,Total Delay [hours],Type,Incident Link,Feeder 1_x,Feeder 2_x,Seed,Duration [HH:MM:SS],Duration [mins],Incident Start,Incident End,Delay During Incident [hours],Post-Incident Delay (0-30 mins) [hours],Post-Incident Delay (30-60 mins) [hours]
12934,-0.0,-0.0,-0.0,-0.0,0.043999776,-0.0,0.043999776,0.1979989919999999,0.2859985439999999,0.527997312,0.703996416,1.363993056,2.375987904,18.591981408,5.411972447999999,11.399948928,18.017908272,125.635856416,33.175831104,31.437839952,28.753853616,27.521859888,31.393840176,30.447844992,78.292851376,28.225856304,26.377865712,24.705874224,942.703880832,21.405891024,19.447900992,18.545905584,15.817919472,14.871924288,12.363937056,11.901939408,12.297937392,11.241942768,10.603946016,11.461941648,10.603946016,10.691945568,11.043943776,10.361947248,11.087943552,10.031948928,9.820952176,10.053948816,11.285942544,10.603946016,11.615940864,11.725940304,11.21994288,13.221932688,12.011938848,14.409926639999998,14.057928432,15.883919136,17.071913088,18.545905584,17.643910176,15.432924848,13.385934816,11.417941872,11.791939968,10.88994456,9.173953296,10.141948368,9.173953296,8.271957888,7.80996024,7.303962815999999,23.849964384,8.3999664,8.322967856,6.445967184,5.785970544,7.174967856,4.905975024,5.081974128,4.751975808,3.827980512,3.62998152,2.705986224,18.391986448,1.517992272,1.495992384,1.66499496,0.615996864,0.4399977599999999,0.307998432,0.131999328,0.1099994399999999,0.065999664,0.021999888,0.043999776,0.043999776,-0.0,-0.0,0.065999664,-0.0,0.021999888,-0.0,-0.0,-0.0,-0.0,0.021999888,-0.0,-0.0,0.587565817275556,Feeder 1,13640,12934,12937,141,0:32:06,32.1,18:00:00,18:30:00,0.009472174,0.00536552824,0.00484608644
12937,-0.0,-0.0,-0.0,-0.0,3.5819977,0.895499425,4.477497125,10.7459931,21.4919862,36.715476425,50.1479678,96.7139379,155.81689995,245.36684245,364.468265975,609.835108425,974.3033744,2905.781531125,18410.97192015,25379.098974,2928.2490225,1686.946554125,27942.08093068,16910.034983399997,5629.522498925,3505.767535725,1738.3275610249998,1359.429630025,1283.250676025,1219.67021685,1105.04629045,1073.703810575,946.542892225,866.8434434000001,812.217978475,759.3835124,809.5314802,742.3690233250001,703.86254805,740.578024475,715.504040575,726.250033675,712.8175423,719.086038275,743.26452275,693.11655495,658.192077375,668.04257105,761.17451125,743.26452275,753.115016425,788.039494,763.861009525,863.2614457,838.1874618,899.976922125,916.9914112,1016.391847375,1091.613799075,1104.150791025,1083.55430425,944.751893375,828.336968125,747.742019875,745.951021025,694.012054375,643.864086575,694.9075538,626.8495975,589.23862165,557.896141775,507.748173975,479.9876918,487.1516872,428.04872515,446.854213075,403.870240675,419.0937309,320.58879415,329.5437884,316.111297025,251.635338425,235.516348775,187.159379825,173.72688845,97.609437325,92.236440775,67.162456875,42.088472975,26.86498275,17.9099885,9.850493675,5.37299655,3.5819977,0.895499425,1.79099885,1.79099885,-0.0,-0.0,2.686498275,-0.0,2.686498275,-0.0,-0.0,-0.0,0.895499425,0.895499425,-0.0,-0.0,42.14681467166808,Feeder 2,13640,12934,12937,141,0:32:06,32.1,18:00:00,18:30:00,0.6076958597986112,0.3718810112152778,0.3378022830972222
12942,-0.0,-0.0,-0.0,-0.0,-0.0,0.076119228,-0.0,0.076119228,0.228357684,0.114178842,0.3805961399999999,0.95149035,1.370146104,2.245517226,2.930590278,4.909690206,10.390274622,16.061157108,25.30964331,28.202173974,28.049935518,31.77977769,28.811127798,28.620829728,27.859637448,28.811127798,26.146954818,23.102185698,21.31338384,20.057416578,18.953687772,18.420853176,13.663401426,15.490262898,16.213395564,14.767130232,16.898468616,15.870859038,18.344733948,17.659660896,19.867118508,18.382793562,19.41040314,20.9327877,21.008906928,24.434272188,25.195464468,25.918597134,26.679789414,30.029035446,32.54096997,36.575289054,39.087223578,43.19766189,46.128252168,49.173021288,46.014073326,42.62676768,33.644698776,31.513360392,29.49620085,27.440981694,27.479041308,26.793968256,24.205914504,22.150695348,21.427562682,21.237264612,18.64921086,18.040257036,18.83950893,18.573091632,19.867118508,21.541741524,18.573091632,18.154435878,17.545482054,18.915628158,18.535032018,20.36189349,18.83950893,19.905178122,17.012647458,17.279064756,12.788030304,10.428334236,8.144757396,5.023869048,4.909690206,3.349246032,1.788801858,0.7231326659999999,0.5328345959999999,0.228357684,0.228357684,0.038059614,0.038059614,0.038059614,-0.0,0.114178842,0.038059614,0.038059614,0.076119228,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.4738421942999999,Feeder 1,13244,12942,13242,141,0:58:28,58.47,19:30:00,20:30:00,0.026906032675,0.010202090975,0.01012808617
12961,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Feeder 1,12978,12961,12975,141,0:58:14,58.23,16:30:00,17:15:00,0.0,0.0,0.0
12975,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,1.490128198,-0.0,1.490128198,1.490128198,2.980256396,3.725320495,10.430897386,9.685833287,16.391410178,44.70384594,52.899551029,159.443717186,296.535511402,349.435062431,334.53378045100004,362.101152114,357.63076752,345.709741936,344.964677837,342.72948554000004,265.987883343,228.734678393,215.323524611,158.698653087,141.56217881,125.170768632,110.269486652,93.878076474,102.818845662,88.662627781,110.269486652,113.994807147,122.935576335,116.975063543,116.975063543,125.915832731,146.032563404,156.46346079,161.678909483,187.011088849,206.382755423,239.165575779,265.24281924400003,310.69172928300003,373.277113599,422.451344133,526.7603179930001,511.859036013,590.8358305070001,677.263265991,649.695894328,726.118086903,625.85384316,615.4324588439999,580.404933121,662.732997498,496.120766964,466.150421163,394.88397247,365.826472609,378.492562292,362.101152114,306.22134468900003,346.454806035,319.632498471,318.88743437200003,344.219613738,316.652242075,312.92692158,297.280575501,283.12435762,333.043652253,309.94666518400004,336.023908649,304.731216491,277.16384482800004,233.950127086,212.343268215,172.854870968,118.465191741,78.231730395,50.664358732,41.723589544,29.057499861,8.940769188,11.175961485,5.960512792,5.215448693,1.490128198,1.490128198,-0.0,0.745064099,0.745064099,0.745064099,-0.0,0.745064099,0.745064099,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,6.043630918931111,Feeder 2,12978,12961,12975,141,0:58:14,58.23,16:30:00,17:15:00,0.7077248116744443,0.3219038234616667,0.23917622045361112
12978,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,2.821188072,3.761584096,7.523168192,8.463564216,18.80792048,23.5099006,54.542969392,72.410493848,160.807720104,172.092472392,238.860590096,438.224547184,682.727513424,672.38315716,626.303751984,701.535433904,680.846721376,613.138207648,670.502365112,622.542167888,503.11187284,412.833854536,397.787518152,329.1386084,292.463163464,263.31088672,235.099006,227.575837808,215.350689496,233.218213952,266.132074792,250.145342384,292.463163464,311.271083944,305.6287078,287.761183344,311.271083944,345.125340808,359.231281168,408.131874416,414.714646584,473.019200072,514.396625128,571.7607825919999,654.515632704,726.926126552,870.806718224,901.839787016,949.79998424,1069.230279288,1047.601170736,995.879389416,1037.256814472,958.263548456,927.230479664,883.97226256,811.561768712,799.3366204,769.243947632,757.01879932,786.171076064,802.1578084719999,697.773849808,721.283750408,660.158008848,679.906325352,690.250681616,622.542167888,624.422959936,619.720979816,615.95939572,627.244148008,550.13167404,599.032267288,523.800585368,438.224547184,401.549102248,338.54256864,277.41682708,210.648709376,173.032868416,110.026334808,66.768117704,53.602573368,28.21188072,19.748316504,9.40396024,8.463564216,2.821188072,1.880792048,1.880792048,-0.0,1.880792048,1.880792048,0.940396024,1.880792048,1.880792048,-0.0,-0.0,-0.0,-0.0,0.940396024,-0.0,11.340392386086672,Incident Link,12978,12961,12975,141,0:58:14,58.23,16:30:00,17:15:00,1.08850839778,0.47098167535333335,0.4357168244533333
12980,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,1.09304676,1.09304676,1.8217446,1.8217446,4.73653596,7.286978400000001,12.38786328,23.31833088,40.0783812,53.923640160000005,69.59064372,131.52996012,217.15195632,204.0353952,173.43008592,210.22932684,204.0353952,191.64753192,203.30669736,187.27534488,146.83261476,120.59949252,101.28899976,89.62983432,75.78457536,65.94715452,49.1871042,48.82275528,43.35752148,47.365359600000005,56.109733680000005,52.46624448,68.86194588000001,72.14108616,73.23413292000001,65.21845668,71.77673724,79.79241348000001,83.80025160000001,94.00202136,104.93248896,121.32819036,134.8091004,151.56915072,174.52313268,202.2136506,238.28419368,250.30770804,279.45562164,317.48821148,319.16965392000003,306.41744172,309.33223308000004,285.64955328,276.54083028,248.85031236,223.34588796,202.2136506,222.61719012,214.60151388,202.94234844,233.91200664,181.08141324,196.01971896,175.61617944,178.5309708,183.9962046,161.04222264,164.32136292,146.83261476,156.30568668,162.86396724000002,146.46826584000002,160.3135248,145.01087016,127.15777308,110.39772276,96.18811488,74.6915286,52.830593400000005,48.82275528,31.69835604,18.217446,12.38786328,5.100884880000001,5.4652338,2.18609352,2.18609352,0.72869784,0.72869784,0.72869784,-0.0,0.36434892,0.72869784,-0.0,0.72869784,0.72869784,-0.0,-0.0,-0.0,-0.0,0.36434892,-0.0,3.1159306950555568,Feeder 2,12982,13449,12980,141,0:46:01,46.02,18:00:00,18:45:00,0.23399297306666667,0.11527594996666667,0.103232194
12981,-0.0,-0.0,-0.0,-0.0,1.130173832,-0.0,0.565086916,3.3905214960000003,5.650869160000001,9.606477572,15.257346732000002,32.775041128000005,54.248343936000005,107.931600956,220.38389724,407.992753352,698.447428176,956.692148788,1005.289623564,941.434802056,930.698150652,941.434802056,937.479193644,725.006513228,708.6189926640001,559.43604684,604.0779132040001,452.0695328000001,451.50444588400006,445.28848980800007,452.634619716,419.2944916720001,407.992753352,358.83019166,336.791801936,307.97236922,318.143933708,336.791801936,311.36289071600004,301.19132622800004,317.01375987600005,263.330502856,297.23571781600003,271.24171968,292.149935572,285.36889258,272.936980428,301.756413144,310.79780380000005,311.927977632,331.14093277600006,350.35388792000003,372.3922776440001,437.37727298400006,434.551838404,456.0251412120001,486.53983467600005,520.445049636,515.359267392,459.415662708,432.29149074,400.64662344400006,422.119926252,370.697016896,339.61723651600005,349.223714088,313.62323838000003,302.88658697600005,281.413284168,221.514071072,236.771417804,207.38689817200003,179.13255237200002,177.437291624,178.567465456,188.739029944,159.919597228,166.135553304,133.925599092,123.188947688,112.452296284,88.718645812,102.280731796,75.15655982800001,43.511692532000005,46.337127112000005,39.55608412,27.124171968,17.517694396000003,9.606477572,10.736651404000002,3.3905214960000003,0.565086916,2.8254345800000005,1.6952607480000002,1.130173832,1.6952607480000002,1.130173832,-0.0,0.565086916,-0.0,-0.0,-0.0,-0.0,0.565086916,0.565086916,-0.0,-0.0,-0.0,7.729761136528894,Feeder 1,13461,12981,13451,141,0:28:18,28.3,17:30:00,18:00:00,0.33151765738666666,0.1913447085011111,0.17125272926555557
12982,-0.0,0.037691869,-0.0,-0.0,0.075383738,0.037691869,0.150767476,0.263843083,0.188459345,0.452302428,0.979988594,1.50767476,1.997669057,3.693803162000001,6.219158385,8.857589215,14.32291022,22.954348221,34.601135742000004,34.525752004000005,32.188856126000005,36.033426764000005,35.166513777000006,32.79192603,32.79192603,31.736553698,26.949686335000003,24.311255505,20.956679164,18.732858893000003,15.529050028,15.039055731,13.003694805,13.003694805,11.571403783,12.777543591,12.966002936,13.757532185,16.056736194000003,15.152131338000002,15.491358159,14.285218351,15.679817504,16.358271146,16.320579277,18.242864596,20.918987295,20.052074308,23.632801863,24.047412422,28.721204178,31.171175663000003,34.525752004000005,37.880328345,41.951050197,47.190219988,48.961737831,48.057132975,46.97192896599999,46.021772049000006,46.323307001,43.270265612,39.802613664000006,38.596473856,39.76492179500001,37.918020214,36.146502371,39.124160022000005,34.412676397000006,35.468048729,33.281920327,33.508071541,34.148833314,32.301931733,32.038088650000006,29.701192772,30.115803331,28.042750536000003,22.992040090000003,25.479703444,23.142807566,19.486696273,16.999032919,14.398293958000002,12.136781818,7.990676228000001,6.219158385,4.975326708000001,2.563047092,1.6584422360000002,0.678453642,0.678453642,0.301534952,0.188459345,0.075383738,0.150767476,0.188459345,-0.0,0.037691869,0.075383738,-0.0,0.075383738,0.113075607,-0.0,-0.0,-0.0,-0.0,0.037691869,-0.0,0.5451313087627779,Incident Link,12982,13449,12980,141,0:46:01,46.02,18:00:00,18:45:00,0.042340532843333334,0.02042689900527778,0.019097213626666665
13135,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,1.425978774,5.703915096,4.990925709,10.694840805,25.667617932,35.649469350000004,47.770288929,62.030076669,109.800365598,156.85766514,201.063007134,273.787924608,365.763555531,361.485619209,324.410171085,335.818001277,342.23490576,329.401096794,358.633661661,349.36479963,325.123160472,250.972264224,247.407317289,200.350017747,211.757847939,198.924038973,216.748773648,221.739699357,223.165678131,192.50713449,201.063007134,241.703402193,226.730625066,232.434540162,226.017635679,227.443614453,259.528136868,278.06586093,270.93596706,256.67617932,310.150383345,286.621733574,288.047712348,340.808926986,374.319428175,457.739186454,531.177093315,616.022830368,645.255395235,584.65129734,571.817488374,528.325135767,514.065348027,488.397730095,439.9144517790001,395.709109785,342.23490576,358.633661661,396.422099172,337.956969438,387.153237141,397.135088559,448.470324423,429.932600361,468.434027259,471.998974194,444.192388101,405.690961203,428.506621587,402.126014268,370.75448124,369.328502466,352.216757178,298.742553153,278.06586093,228.869593227,204.627954069,176.821367976,124.773142725,95.540577858,82.706768892,66.308012991,42.77936322,23.528649771,7.842883257,12.120819579,4.990925709,0.712989387,2.138968161,0.712989387,0.712989387,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,6.735571128467503,Feeder 2,13490,13137,13135,141,2:51:26,171.43,18:00:00,20:45:00,1.35784867702,0.23073128773749998,0.20557860658500002
