Link Id,0:15:00,3:15:00,3:30:00,3:45:00,4:00:00,4:15:00,4:30:00,4:45:00,5:00:00,5:15:00,5:30:00,5:45:00,6:00:00,6:15:00,6:30:00,6:45:00,7:00:00,7:15:00,7:30:00,7:45:00,8:00:00,8:15:00,8:30:00,8:45:00,9:00:00,9:15:00,9:30:00,9:45:00,10:00:00,10:15:00,10:30:00,10:45:00,11:00:00,11:15:00,11:30:00,11:45:00,12:00:00,12:15:00,12:30:00,12:45:00,13:00:00,13:15:00,13:30:00,13:45:00,14:00:00,14:15:00,14:30:00,14:45:00,15:00:00,15:15:00,15:30:00,15:45:00,16:00:00,16:15:00,16:30:00,16:45:00,17:00:00,17:15:00,17:30:00,17:45:00,18:00:00,18:15:00,18:30:00,18:45:00,19:00:00,19:15:00,19:30:00,19:45:00,20:00:00,20:15:00,20:30:00,20:45:00,21:00:00,21:15:00,21:30:00,21:45:00,22:00:00,22:15:00,22:30:00,22:45:00,23:00:00,23:15:00,23:30:00,23:45:00,24:00:00,24:15:00,24:30:00,24:45:00,25:00:00,25:15:00,25:30:00,25:45:00,26:00:00,26:15:00,26:30:00,27:00:00,27:15:00,27:45:00,28:00:00,28:30:00,30:00:00,Total Delay [hours],Type,Incident Link,Feeder 1_x,Feeder 2_x,Seed,Duration [HH:MM:SS],Duration [mins],Incident Start,Incident End,Delay During Incident [hours],Post-Incident Delay (0-30 mins) [hours],Post-Incident Delay (30-60 mins) [hours]
12841,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Feeder 2,13394,13396,12841,723,1:00:48,60.8,16:30:00,17:30:00,0.0,0.0,0.0
12899,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Incident Link,12899,12900,12910,723,0:51:23,51.38,17:15:00,18:15:00,0.0,0.0,0.0
12900,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Feeder 1,12899,12900,12910,723,0:51:23,51.38,17:15:00,18:15:00,0.0,0.0,0.0
12910,-0.0,-0.0,0.046657361,0.186629444,0.373258888,0.746517776,1.119776664,1.353063469,1.912951801,3.545959436,5.178967071,7.605149843,11.524368167,21.695672865,34.573104501,48.243711274,61.167800271,58.041757084,53.236048901,53.65596515,55.009028619,53.65596515,53.096076818,52.536188486,50.529921963,42.271569066,34.059873530000004,30.607228816,26.314751604,24.075198276,23.608624666,22.488848002,20.016007869,20.902497728,18.989545927,19.269490093,18.476314956,20.06266523,18.802916483,20.342609396,19.502776898,19.456119537,20.016007869,18.289685512,18.569629678,19.829378425,20.109322591,19.829378425,20.622553562,21.649015504,24.168512998,28.041073961,28.974221181,34.246502974,38.212378659,41.665023373,39.425470045,42.598170593,41.758338095,38.165721298,33.12672631,29.347480069,23.188708417,22.86210689,18.989545927,17.403195653,20.855840367,18.336342873,15.676873296,16.236761628,15.116984964,13.903893578,13.763921495,11.850969694,12.877431636,10.637878308,10.637878308,9.611416366,8.351667619,7.1852335940000005,6.205429013,4.852365544,4.059190407,3.172700548,2.099581245,1.39972083,0.793175137,0.839832498,0.279944166,0.186629444,0.139972083,0.093314722,0.046657361,-0.0,0.093314722,-0.0,-0.0,-0.0,-0.0,0.046657361,0.046657361,0.5274355453488888,Feeder 2,12899,12900,12910,723,0:51:23,51.38,17:15:00,18:15:00,0.05138789899027778,0.012791893140833333,0.010109094883333334
12931,-0.0,2.22606852,1.48404568,2.22606852,2.96809136,7.420228399999999,15.58247964,29.6809136,31.90698212,68.26610128,129.853997,209.25044088,399.20828792,780.60802768,1135.2949452,2854.62122124,12816.74434536,4313.80166016,2339.08047248,3632.18890644,3157.44517556,1834.79487368,2753.95785084,1231.01589156,1156.81360756,992.82655992,895.6215678799999,793.9644387999999,696.75944676,694.5333782399999,630.7194139999999,576.55174668,587.68208928,562.45331272,517.18991948,494.92923428,523.1261022,541.6766732,542.41869604,498.63934848,517.93194232,534.99846764,532.7723991199999,510.51171392,526.8362164,503.83350836,512.7377824399999,544.64476456,564.67938124,575.0677009999999,624.78323128,620.33109424,730.1504745599999,782.8340962,856.2943573599999,901.5577506,883.0071796,894.1375221999999,801.3846672,775.4138677999999,663.36841896,612.1688429999999,543.16071888,531.2883534399999,486.0249602,457.08606944,407.37053916,374.7215342,362.10714592,327.23207244,274.5484508,278.258565,281.22665636,247.09360572,237.4473088,237.4473088,213.70257792,163.24502479999998,173.63334455999998,143.95243096,129.853997,80.13846672,77.9123982,40.06923336,29.6809136,19.29259384,18.550571,5.93618272,3.7101142,2.22606852,0.74202284,3.7101142,0.74202284,0.74202284,0.74202284,-0.0,0.74202284,0.74202284,0.74202284,0.74202284,-0.0,19.18972931661111,Incident Link,12931,13640,12934,723,0:25:54,25.9,17:15:00,17:45:00,0.6863711269999999,0.35431590609999997,0.29845807564444443
12934,-0.0,0.043999776,0.065999664,0.043999776,0.131999328,0.263998656,0.6599966399999999,0.901995408,1.0119948479999998,4.283988576,3.915980064,5.851970208,10.471946688,89.96489393600001,30.46984488,33.021831888,32.581834128,39.8998404,30.953842416,31.877837712,30.46984488,29.1498516,27.961857648,28.291855968,24.661874448,21.141892368,20.23989696,17.48991096,15.311922048,15.06992328,13.96992888,12.473936496,12.847934592,13.431934592,11.461941648,10.317947472,13.283944896,11.395941983999998,11.175943104,10.031948928,10.00994904,10.713945456,10.691945568,9.56995128,10.757945232,9.635950944,10.537946352,10.801945008,12.033938736,11.681940528,12.583935936,13.41993168,14.211927648,16.169917679999998,18.083907936,17.687909952,17.423911296,18.413906256,15.421921488,16.007922048,26.585929104,13.63993056,11.21994288,11.131943328,9.261952848,9.393952176,8.337957551999999,8.063962368,7.127963712,6.26996808,11.602968304,5.983969536,7.15497032,5.675971103999999,4.993974575999999,5.013975584,8.5999776,43.163977824,4.99497928,6.836982192,2.463987456,2.177988912,1.891990368,0.901995408,0.835995744,0.527997312,0.3299983199999999,0.1099994399999999,0.131999328,0.065999664,0.065999664,0.065999664,0.043999776,0.021999888,-0.0,0.021999888,-0.0,-0.0,-0.0,0.021999888,-0.0,0.3214427437377777,Feeder 2,12931,13640,12934,723,0:25:54,25.9,17:15:00,17:45:00,0.013845486053333333,0.011173849906666667,0.00620885728
13194,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Incident Link,13194,13521,13519,723,0:59:52,59.87,19:30:00,20:30:00,0.0,0.0,0.0
13394,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Incident Link,13394,13396,12841,723,1:00:48,60.8,16:30:00,17:30:00,0.0,0.0,0.0
13396,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Feeder 1,13394,13396,12841,723,1:00:48,60.8,16:30:00,17:30:00,0.0,0.0,0.0
13519,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Feeder 2,13194,13521,13519,723,0:59:52,59.87,19:30:00,20:30:00,0.0,0.0,0.0
