Link Id,0:15:00,3:00:00,3:15:00,3:30:00,3:45:00,4:00:00,4:15:00,4:30:00,4:45:00,5:00:00,5:15:00,5:30:00,5:45:00,6:00:00,6:15:00,6:30:00,6:45:00,7:00:00,7:15:00,7:30:00,7:45:00,8:00:00,8:15:00,8:30:00,8:45:00,9:00:00,9:15:00,9:30:00,9:45:00,10:00:00,10:15:00,10:30:00,10:45:00,11:00:00,11:15:00,11:30:00,11:45:00,12:00:00,12:15:00,12:30:00,12:45:00,13:00:00,13:15:00,13:30:00,13:45:00,14:00:00,14:15:00,14:30:00,14:45:00,15:00:00,15:15:00,15:30:00,15:45:00,16:00:00,16:15:00,16:30:00,16:45:00,17:00:00,17:15:00,17:30:00,17:45:00,18:00:00,18:15:00,18:30:00,18:45:00,19:00:00,19:15:00,19:30:00,19:45:00,20:00:00,20:15:00,20:30:00,20:45:00,21:00:00,21:15:00,21:30:00,21:45:00,22:00:00,22:15:00,22:30:00,22:45:00,23:00:00,23:15:00,23:30:00,23:45:00,24:00:00,24:15:00,24:30:00,24:45:00,25:00:00,25:15:00,25:30:00,25:45:00,26:15:00,26:30:00,26:45:00,27:45:00,28:15:00,Total Delay [hours],Type,Incident Link,Feeder 1_x,Feeder 2_x,Seed,Duration [HH:MM:SS],Duration [mins],Incident Start,Incident End,Delay During Incident [hours],Post-Incident Delay (0-30 mins) [hours],Post-Incident Delay (30-60 mins) [hours]
12841,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Feeder 2,13394,13396,12841,723,1:00:48,60.8,16:30:00,17:30:00,0.0,0.0,0.0
12899,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Incident Link,12899,12900,12910,723,0:51:23,51.38,17:15:00,18:15:00,0.0,0.0,0.0
12900,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Feeder 1,12899,12900,12910,723,0:51:23,51.38,17:15:00,18:15:00,0.0,0.0,0.0
12910,-0.0,-0.0,-0.0,0.046657361,0.093314722,0.186629444,0.279944166,0.746517776,1.493035552,2.426182772,3.639274158,4.992337627,8.025066092,10.26461942,19.549434259,30.140655206,45.770871141,61.167800271,55.242315424,55.568916951,55.662231673,54.962371258000005,54.215853482,51.882985432,53.515993067,53.842594594000005,40.825190875,33.919901447,30.980487704,27.387870907,25.19497494,22.535505363,21.229099255,21.92895967,18.289685512,20.202637313,20.669210923,19.362804815,17.823111902,19.549434259,19.782721064,19.082860649,20.715868284,20.52923884,20.295952035,17.729797180000002,19.922693147,21.229099255,18.616287039,20.809183006,22.39553328,24.495114525,26.967954658,27.621157712,31.960292285,35.832853248,37.885777132,40.358617265,41.245107124,40.59190407,37.372546161,39.612099489,31.680348119,27.574500351,23.79525411,20.06266523,21.275756616,20.52923884,17.589825097000002,15.536901213,18.056398707,15.023670242,14.417124549,13.204033163,13.483977329,12.317543304,12.084256499,11.431053445,10.031332615,8.39832498,7.605149843,6.99860415,5.085652349,4.4324492950000005,3.26601527,2.426182772,2.006266523,0.979804581,0.793175137,0.279944166,0.093314722,0.139972083,0.046657361,0.046657361,0.093314722,0.046657361,-0.0,-0.0,0.5304423530577779,Feeder 2,12899,12900,12910,723,0:51:23,51.38,17:15:00,18:15:00,0.05291722360083334,0.014269376239166666,0.011482894957222224
12931,-0.0,-0.0,1.48404568,0.74202284,0.74202284,2.22606852,7.420228399999999,11.1303426,31.16495928,38.58518768,64.55598708,120.20770008,201.83021248,404.4024478,673.3406702,1044.02613588,2991.57135828,9726.74629968,1590.03096504,1268.8590564,2678.84801568,2877.0399700000003,3673.39647248,1222.8536403199998,1181.3003612799998,1155.32956188,947.56316668,954.24137224,862.97256292,712.3419263999999,683.40303564,653.7221220399999,566.16342692,541.6766732,565.42140408,520.15801084,544.64476456,572.8416324799999,515.7058738,529.80430776,545.3867874,491.96114292,539.45060468,537.966559,517.93194232,520.15801084,539.45060468,531.2883534399999,515.7058738,533.5144219599999,582.4879294,608.4587288,646.30189364,667.07853316,731.6345202399999,841.45390056,864.4566086,932.28450432,842.93794624,878.55504256,770.9617307599999,707.88978936,536.48251332,514.96385096,488.25102872,482.314846,460.0541608,431.85729288,329.45814096,313.87566132,297.55115884,265.64417672,285.6787934,254.51383412,235.22124028,248.5776514,230.76910324,238.18933164,212.21853224,179.56952728,159.5349106,120.20770008,94.97892352,64.55598708,60.84587288,30.42293644,33.3910278,14.09843396,10.38831976,3.7101142,6.678205559999999,1.48404568,-0.0,-0.0,-0.0,-0.0,0.74202284,0.74202284,16.971041360933334,Incident Link,12931,13640,12934,723,0:25:54,25.9,17:15:00,17:45:00,0.6923485332111111,0.34565897296666664,0.2786707999111111
12934,-0.0,0.021999888,0.021999888,0.021999888,0.065999664,0.153999216,0.2419987679999999,2.261998544,0.857995632,1.297993392,2.155989024,3.585981744,5.38997256,10.66994568,18.303906816,99.945854624,33.571829088,57.99283345600001,270.647839616,29.831848128,30.425845104,168.73983984,30.293845776,28.071857088,27.16986168,26.495870976,23.275881504,21.185892144,20.503895616,16.257917232,14.871924288,14.431926528,12.715935264,11.615940864,12.671935488,12.385936944,11.76994008,11.505941424,10.691945568,11.241942768,10.493946576,9.45995184,10.581946128,10.735945344,10.515946464,10.273947696,10.801945008,10.757945232,10.163948256,16.631943552,11.98993896,11.945939183999998,12.913934256,13.617930672,15.83992608,22.315910736,17.907908832,18.655905024,16.983913536,17.643910176,15.311922048,14.717925072,11.95994176,9.855949824,12.719952512,21.713948256,9.415952064,7.633961136,7.775963712,8.5249692,47.8499692,5.543971775999999,5.939969759999999,5.345972784,6.869974352,5.521971888,8.831978496000001,4.355977824,4.06997928,3.365982864,6.264979952,2.595986784,9.221988128,8.009990032,1.6279917119999998,0.7919959679999999,1.457996976,0.3959979839999999,0.2419987679999999,0.087999552,0.2199988799999999,0.021999888,-0.0,0.043999776,-0.0,0.021999888,0.021999888,-0.0,0.4366777508,Feeder 2,12931,13640,12934,723,0:25:54,25.9,17:15:00,17:45:00,0.013872151599999999,0.007410518564444444,0.006271083982222222
13194,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Incident Link,13194,13521,13519,723,0:59:52,59.87,19:30:00,20:30:00,0.0,0.0,0.0
13394,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Incident Link,13394,13396,12841,723,1:00:48,60.8,16:30:00,17:30:00,0.0,0.0,0.0
13396,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Feeder 1,13394,13396,12841,723,1:00:48,60.8,16:30:00,17:30:00,0.0,0.0,0.0
13519,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Feeder 2,13194,13521,13519,723,0:59:52,59.87,19:30:00,20:30:00,0.0,0.0,0.0
