Incident,Seed,id,Scenario,Incident Link,Start Time [HH:MM:SS],End Time [HH:MM:SS],Duration [HH:MM:SS],Duration [mins],IMTs,1st Truck Arrival [HH:MM:SS],1st vehicle_id,2nd Truck Arrival [HH:MM:SS],2nd vehicle_id,3rd Truck Arrival [HH:MM:SS],3rd vehicle_id,4th Truck Arrival [HH:MM:SS],4th vehicle_id
172,790,11_790,3,13065,7:51:07,8:51:01,0:59:54,59.9,2,7:54:46,SLC_505,8:00:26,SLC_514,,,,
173,790,11_790,2,13416,9:00:05,9:36:23,0:36:18,36.3,2,9:06:50,SLC_505,9:07:01,SLC_525,,,,
173,790,11_790,3,13416,9:00:05,9:36:23,0:36:18,36.3,2,9:05:28,SLC_525,9:06:49,SLC_505,,,,
174,790,11_790,2,18779,13:13:08,14:32:15,1:19:07,79.12,1,13:16:42,Utah_County_516,,,,,,
174,790,11_790,3,18779,13:13:08,14:32:15,1:19:07,79.12,1,13:16:39,NEW_Utah_County_533,,,,,,
175,790,11_790,2,13243,15:12:48,16:31:54,1:19:06,79.1,1,15:16:01,SLC_528,,,,,,
175,790,11_790,3,13243,15:12:48,16:31:54,1:19:06,79.1,1,15:15:43,SLC_528,,,,,,
176,790,11_790,2,12978,15:33:35,16:42:38,1:09:03,69.05,1,15:41:50,SLC_527,,,,,,
176,790,11_790,3,12978,15:33:35,16:42:38,1:09:03,69.05,1,15:42:15,SLC_527,,,,,,
177,790,11_790,2,13104,15:33:49,17:18:58,1:45:09,105.15,1,15:41:56,SLC_517,,,,,,
177,790,11_790,3,13104,15:33:49,17:18:58,1:45:09,105.15,1,15:38:42,NEW_SLC_508,,,,,,
178,790,11_790,2,12920,16:54:20,18:28:06,1:33:46,93.77,1,16:58:59,SLC_519,,,,,,
178,790,11_790,3,12920,16:54:20,18:28:06,1:33:46,93.77,1,16:58:59,SLC_519,,,,,,
179,790,11_790,2,13464,17:08:22,18:14:28,1:06:06,66.1,1,17:16:42,Utah_County_513,,,,,,
179,790,11_790,3,13464,17:08:22,18:14:28,1:06:06,66.1,1,17:16:58,Utah_County_513,,,,,,
180,790,11_790,2,18523,19:51:31,20:28:30,0:36:59,36.98,1,20:06:29,SLC_527,,,,,,
180,790,11_790,3,18523,19:51:31,20:28:30,0:36:59,36.98,1,19:56:29,NEW_Utah_County_532,,,,,,
181,847,11_847,2,16752,8:25:44,10:01:37,1:35:53,95.88,2,8:30:06,SLC_525,8:37:03,SLC_510,,,,
181,847,11_847,3,16752,8:25:44,10:01:37,1:35:53,95.88,2,8:27:16,SLC_525,8:35:23,NEW_SLC_509,,,,
182,847,11_847,2,18249,9:23:54,10:08:11,0:44:17,44.28,2,9:29:48,Utah_County_516,9:39:08,Utah_County_524,,,,
182,847,11_847,3,18249,9:23:54,10:08:11,0:44:17,44.28,2,9:29:43,Utah_County_516,9:39:15,Utah_County_524,,,,
183,847,11_847,2,13244,9:24:48,10:08:16,0:43:28,43.47,1,9:38:41,SLC_505,,,,,,
183,847,11_847,3,13244,9:24:48,10:08:16,0:43:28,43.47,1,9:28:50,NEW_SLC_507,,,,,,
184,847,11_847,2,12796,11:01:25,12:07:54,1:06:29,66.48,1,11:07:35,Davis_512,,,,,,
184,847,11_847,3,12796,11:01:25,12:07:54,1:06:29,66.48,1,11:07:35,Davis_512,,,,,,
185,847,11_847,2,14513,12:59:15,14:29:05,1:29:50,89.83,2,13:08:46,SLC_505,13:11:12,SLC_514,,,,
185,847,11_847,3,14513,12:59:15,14:29:05,1:29:50,89.83,2,13:01:27,NEW_SLC_503,13:07:33,SLC_510,,,,
186,847,11_847,2,8944,13:59:07,15:15:19,1:16:12,76.2,2,14:12:29,Utah_County_513,14:13:00,Utah_County_516,,,,
186,847,11_847,3,8944,13:59:07,15:15:19,1:16:12,76.2,2,14:03:13,NEW_SLC_507,14:12:26,Utah_County_513,,,,
187,847,11_847,2,20770,14:19:30,15:30:15,1:10:45,70.75,2,14:22:30,Utah_County_524,14:35:27,SLC_528,,,,
187,847,11_847,3,20770,14:19:30,15:30:15,1:10:45,70.75,2,14:22:30,Utah_County_516,14:22:37,Utah_County_524,,,,
188,847,11_847,2,18234,14:57:42,15:56:07,0:58:25,58.42,1,15:16:09,SLC_527,,,,,,
188,847,11_847,3,18234,14:57:42,15:56:07,0:58:25,58.42,1,15:03:45,NEW_Utah_County_532,,,,,,
189,847,11_847,2,12956,15:01:06,16:05:41,1:04:35,64.58,1,15:10:19,SLC_520,,,,,,
189,847,11_847,3,12956,15:01:06,16:05:41,1:04:35,64.58,1,15:04:06,SLC_527,,,,,,
190,847,11_847,2,12926,15:13:32,16:28:13,1:14:41,74.68,1,15:20:08,SLC_519,,,,,,
190,847,11_847,3,12926,15:13:32,16:28:13,1:14:41,74.68,1,15:20:31,SLC_519,,,,,,
191,847,11_847,2,13187,16:16:18,16:49:00,0:32:42,32.7,1,16:24:47,SLC_517,,,,,,
191,847,11_847,3,13187,16:16:18,16:49:00,0:32:42,32.7,1,16:17:57,NEW_SLC_508,,,,,,
192,879,19_879,2,17632,7:28:57,8:29:16,1:00:19,60.32,2,7:43:39,Utah_County_516,7:51:24,Utah_County_524,,,,
192,879,19_879,3,17632,7:28:57,8:29:16,1:00:19,60.32,2,7:40:36,Utah_County_516,7:58:15,NEW_SLC_507,,,,
193,879,19_879,2,24911,7:54:37,9:31:00,1:36:23,96.38,3,8:14:38,SLC_510,8:15:14,SLC_505,8:17:05,SLC_514,,
193,879,19_879,3,24911,7:54:37,9:31:00,1:36:23,96.38,3,8:07:25,NEW_SLC_503,8:12:25,NEW_SLC_509,8:13:26,SLC_510,,
194,879,19_879,2,12956,8:10:02,9:47:40,1:37:38,97.63,3,8:25:10,SLC_525,8:30:16,Davis_512,8:44:43,Davis_506,,
194,879,19_879,3,12956,8:10:02,9:47:40,1:37:38,97.63,3,8:21:20,SLC_505,8:22:51,SLC_514,8:24:18,SLC_525,,
195,879,19_879,2,13467,8:36:28,9:52:27,1:15:59,75.98,1,8:44:11,Utah_County_516,,,,,,
195,879,19_879,3,13467,8:36:28,9:52:27,1:15:59,75.98,1,8:56:44,Utah_County_516,,,,,,
196,879,19_879,2,18310,9:24:37,10:17:50,0:53:13,53.22,2,9:36:45,Utah_County_524,10:01:30,Davis_518,,,,
196,879,19_879,3,18310,9:24:37,10:17:50,0:53:13,53.22,2,9:36:30,NEW_SLC_507,9:37:32,Utah_County_524,,,,
197,879,19_879,2,18356,10:57:25,11:42:41,0:45:16,45.27,2,11:01:15,Utah_County_524,11:01:24,Davis_518,,,,
197,879,19_879,3,18356,10:57:25,11:42:41,0:45:16,45.27,2,11:00:45,NEW_Utah_County_532,11:01:16,NEW_SLC_507,,,,
198,879,19_879,2,16809,11:41:42,12:35:26,0:53:44,53.73,1,11:54:34,SLC_525,,,,,,
198,879,19_879,3,16809,11:41:42,12:35:26,0:53:44,53.73,1,11:54:21,SLC_505,,,,,,
199,879,19_879,2,18779,13:13:08,14:32:15,1:19:07,79.12,1,13:17:09,Davis_518,,,,,,
199,879,19_879,3,18779,13:13:08,14:32:15,1:19:07,79.12,1,13:16:43,NEW_Utah_County_533,,,,,,
200,879,19_879,2,20454,14:37:35,18:09:52,3:32:17,212.28,3,14:43:07,Utah_County_502,14:45:07,Utah_County_521,14:50:39,Davis_518,,
200,879,19_879,3,20454,14:37:35,18:09:52,3:32:17,212.28,3,14:43:07,Utah_County_502,14:45:03,Utah_County_521,14:50:45,NEW_Utah_County_533,,
201,879,19_879,2,13461,15:29:29,15:58:20,0:28:51,28.85,1,15:40:26,Utah_County_516,,,,,,
201,879,19_879,3,13461,15:29:29,15:58:20,0:28:51,28.85,1,15:39:04,Utah_County_516,,,,,,
202,879,19_879,2,13508,15:34:47,16:34:37,0:59:50,59.83,2,15:44:39,SLC_520,15:45:49,SLC_527,,,,
202,879,19_879,3,13508,15:34:47,16:34:37,0:59:50,59.83,2,15:37:05,NEW_SLC_511,15:43:52,SLC_520,,,,
203,879,19_879,2,13170,16:26:39,18:20:39,1:54:00,114,2,16:36:43,SLC_519,16:39:55,SLC_528,,,,
203,879,19_879,3,13170,16:26:39,18:20:39,1:54:00,114,2,16:36:25,SLC_528,16:42:43,SLC_527,,,,
204,879,19_879,2,14513,16:44:39,17:53:00,1:08:21,68.35,1,16:51:18,SLC_520,,,,,,
204,879,19_879,3,14513,16:44:39,17:53:00,1:08:21,68.35,1,16:49:43,SLC_520,,,,,,
205,879,19_879,2,12941,16:47:18,18:04:38,1:17:20,77.33,2,16:54:08,SLC_527,16:56:41,SLC_523,,,,
205,879,19_879,3,12941,16:47:18,18:04:38,1:17:20,77.33,2,16:52:21,NEW_SLC_511,16:55:20,SLC_519,,,,
206,879,19_879,2,13188,16:47:32,18:01:00,1:13:28,73.47,1,16:55:01,SLC_517,,,,,,
206,879,19_879,3,13188,16:47:32,18:01:00,1:13:28,73.47,1,16:50:05,NEW_SLC_508,,,,,,
207,879,19_879,2,13460,17:43:46,18:57:52,1:14:06,74.1,1,17:55:11,Utah_County_513,,,,,,
207,879,19_879,3,13460,17:43:46,18:57:52,1:14:06,74.1,1,17:55:43,Utah_County_513,,,,,,
208,879,19_879,2,18277,19:05:53,19:24:17,0:18:24,18.4,1,19:18:22,Utah_County_513,,,,,,
208,879,19_879,3,18277,19:05:53,19:24:17,0:18:24,18.4,1,19:13:24,NEW_Utah_County_532,,,,,,
209,879,19_879,2,12972,20:39:55,21:16:39,0:36:44,36.73,4,21:19:05,SLC_520,21:27:52,SLC_519,21:30:56,SLC_523,21:31:10,SLC_527
209,879,19_879,3,12972,20:39:55,21:16:39,0:36:44,36.73,4,21:32:13,SLC_520,21:38:04,SLC_527,21:58:06,SLC_519,21:58:51,NEW_SLC_511
210,886,5_886,2,16560,7:50:44,8:28:03,0:37:19,37.32,1,8:07:03,SLC_510,,,,,,
210,886,5_886,3,16560,7:50:44,8:28:03,0:37:19,37.32,1,8:36:46,NEW_SLC_507,,,,,,
211,886,5_886,2,16752,8:25:44,10:01:37,1:35:53,95.88,2,8:26:48,SLC_525,8:37:05,SLC_505,,,,
211,886,5_886,3,16752,8:25:44,10:01:37,1:35:53,95.88,2,8:27:12,SLC_525,8:38:52,NEW_SLC_509,,,,
212,886,5_886,2,18234,14:57:42,15:56:07,0:58:25,58.42,1,15:00:35,Utah_County_513,,,,,,
212,886,5_886,3,18234,14:57:42,15:56:07,0:58:25,58.42,1,15:00:37,Utah_County_513,,,,,,
213,886,5_886,2,12920,17:24:03,17:49:00,0:24:57,24.95,1,17:28:42,SLC_519,,,,,,
213,886,5_886,3,12920,17:24:03,17:49:00,0:24:57,24.95,1,17:28:51,SLC_519,,,,,,
214,886,5_886,2,20770,18:05:47,18:21:49,0:16:02,16.03,2,18:10:46,Utah_County_513,18:26:06,SLC_528,,,,
214,886,5_886,3,20770,18:05:47,18:21:49,0:16:02,16.03,2,18:11:40,Utah_County_513,18:11:58,NEW_Utah_County_532,,,,
215,907,7_907,2,9120,9:51:34,11:00:08,1:08:34,68.57,1,10:04:23,SLC_510,,,,,,
215,907,7_907,3,9120,9:51:34,11:00:08,1:08:34,68.57,1,9:55:57,NEW_SLC_507,,,,,,
216,907,7_907,2,8944,13:59:07,15:15:19,1:16:12,76.2,2,14:05:48,SLC_510,14:12:32,Utah_County_513,,,,
216,907,7_907,3,8944,13:59:07,15:15:19,1:16:12,76.2,2,14:05:46,NEW_SLC_507,14:07:47,NEW_SLC_503,,,,
217,907,7_907,2,13073,14:20:42,15:35:00,1:14:18,74.3,1,14:21:24,SLC_505,,,,,,
217,907,7_907,3,13073,14:20:42,15:35:00,1:14:18,74.3,1,14:21:24,SLC_505,,,,,,
218,907,7_907,2,13425,14:47:30,16:40:00,1:52:30,112.5,1,14:52:04,SLC_523,,,,,,
218,907,7_907,3,13425,14:47:30,16:40:00,1:52:30,112.5,1,14:52:04,SLC_523,,,,,,
219,907,7_907,2,13485,16:34:45,17:53:00,1:18:15,78.25,2,16:41:48,SLC_520,16:42:40,SLC_519,,,,
219,907,7_907,3,13485,16:34:45,17:53:00,1:18:15,78.25,2,16:37:31,NEW_SLC_508,16:41:35,SLC_520,,,,
220,907,7_907,2,12919,16:45:28,16:58:08,0:12:40,12.67,1,16:48:20,SLC_523,,,,,,
220,907,7_907,3,12919,16:45:28,16:58:08,0:12:40,12.67,1,16:48:10,SLC_523,,,,,,
221,907,7_907,2,12920,16:54:20,18:28:06,1:33:46,93.77,1,17:02:18,SLC_517,,,,,,
221,907,7_907,3,12920,16:54:20,18:28:06,1:33:46,93.77,1,16:59:02,SLC_519,,,,,,
222,915,18_915,2,20819,7:43:41,9:23:17,1:39:36,99.6,2,7:46:30,Utah_County_516,7:56:02,Utah_County_524,,,,
222,915,18_915,3,20819,7:43:41,9:23:17,1:39:36,99.6,2,7:46:35,Utah_County_516,7:56:06,Utah_County_524,,,,
223,915,18_915,2,19698,7:59:18,9:07:51,1:08:33,68.55,2,8:33:52,SLC_510,8:36:14,SLC_505,,,,
223,915,18_915,3,19698,7:59:18,9:07:51,1:08:33,68.55,2,8:26:42,NEW_SLC_507,8:29:58,NEW_SLC_503,,,,
224,915,18_915,2,13065,8:23:48,9:15:11,0:51:23,51.38,1,8:33:24,SLC_514,,,,,,
224,915,18_915,3,13065,8:23:48,9:15:11,0:51:23,51.38,1,8:25:17,SLC_505,,,,,,
225,915,18_915,2,25182,8:32:33,9:09:23,0:36:50,36.83,2,9:05:26,SLC_525,9:11:02,Davis_512,,,,
225,915,18_915,3,25182,8:32:33,9:09:23,0:36:50,36.83,2,8:57:53,NEW_SLC_509,8:59:56,SLC_510,,,,
226,915,18_915,2,13440,8:49:05,9:27:52,0:38:47,38.78,1,9:24:17,Davis_506,,,,,,
226,915,18_915,3,13440,8:49:05,9:27:52,0:38:47,38.78,1,9:06:41,SLC_514,,,,,,
227,915,18_915,2,13208,8:49:59,9:28:48,0:38:49,38.82,2,9:54:21,SLC_510,9:54:55,SLC_505,,,,
227,915,18_915,3,13208,8:49:59,9:28:48,0:38:49,38.82,2,9:03:49,SLC_525,9:09:18,Davis_512,,,,
228,915,18_915,2,25238,9:08:23,9:58:42,0:50:19,50.32,3,9:45:28,Davis_518,10:28:38,SLC_510,10:29:17,SLC_505,,
228,915,18_915,3,25238,9:08:23,9:58:42,0:50:19,50.32,3,9:45:47,Davis_518,9:46:38,SLC_505,10:02:19,Davis_506,,
229,915,18_915,2,16613,9:48:18,10:24:31,0:36:13,36.22,1,10:00:39,SLC_525,,,,,,
229,915,18_915,3,16613,9:48:18,10:24:31,0:36:13,36.22,1,10:00:37,SLC_510,,,,,,
230,915,18_915,2,13164,9:56:07,11:43:45,1:47:38,107.63,3,10:01:04,Davis_506,10:03:12,SLC_514,10:13:40,Davis_512,,
230,915,18_915,3,13164,9:56:07,11:43:45,1:47:38,107.63,3,10:01:05,SLC_514,10:07:03,Davis_512,10:07:08,SLC_525,,
231,915,18_915,2,13425,14:47:30,16:40:00,1:52:30,112.5,1,14:52:04,SLC_523,,,,,,
231,915,18_915,3,13425,14:47:30,16:40:00,1:52:30,112.5,1,14:52:05,SLC_523,,,,,,
232,915,18_915,2,18234,14:57:42,15:56:07,0:58:25,58.42,1,15:00:35,Utah_County_513,,,,,,
232,915,18_915,3,18234,14:57:42,15:56:07,0:58:25,58.42,1,15:00:37,Utah_County_513,,,,,,
233,915,18_915,2,12899,15:41:53,17:35:18,1:53:25,113.42,1,15:44:58,SLC_519,,,,,,
233,915,18_915,3,12899,15:41:53,17:35:18,1:53:25,113.42,1,15:44:58,SLC_519,,,,,,
234,915,18_915,2,13392,16:07:42,17:21:36,1:13:54,73.9,1,16:12:58,SLC_517,,,,,,
234,915,18_915,3,13392,16:07:42,17:21:36,1:13:54,73.9,1,16:10:25,NEW_SLC_504,,,,,,
235,915,18_915,2,13464,16:12:14,18:15:35,2:03:21,123.35,3,16:22:51,Utah_County_513,16:22:58,Davis_518,16:34:26,SLC_528,,
235,915,18_915,3,13464,16:12:14,18:15:35,2:03:21,123.35,3,16:22:48,Utah_County_513,16:22:59,NEW_Utah_County_532,16:23:05,Davis_518,,
236,915,18_915,2,12920,17:24:03,17:49:00,0:24:57,24.95,1,17:25:39,SLC_523,,,,,,
236,915,18_915,3,12920,17:24:03,17:49:00,0:24:57,24.95,1,17:25:39,SLC_523,,,,,,
237,915,18_915,2,12816,17:28:22,17:58:07,0:29:45,29.75,1,17:34:18,SLC_517,,,,,,
237,915,18_915,3,12816,17:28:22,17:58:07,0:29:45,29.75,1,17:33:46,NEW_SLC_504,,,,,,
238,915,18_915,2,20770,17:30:42,18:09:30,0:38:48,38.8,2,17:52:06,Utah_County_502,18:55:43,SLC_527,,,,
238,915,18_915,3,20770,17:30:42,18:09:30,0:38:48,38.8,2,17:43:34,NEW_Utah_County_533,17:49:30,SLC_528,,,,
239,915,18_915,2,13504,18:28:15,18:59:34,0:31:19,31.32,2,18:35:11,SLC_523,18:39:31,SLC_520,,,,
239,915,18_915,3,13504,18:28:15,18:59:34,0:31:19,31.32,2,18:31:28,NEW_SLC_511,18:35:14,SLC_523,,,,
240,946,21_946,2,13208,6:39:40,7:45:57,1:06:17,66.28,1,6:45:52,SLC_505,,,,,,
240,946,21_946,3,13208,6:39:40,7:45:57,1:06:17,66.28,1,6:45:48,SLC_505,,,,,,
241,946,21_946,2,13467,7:24:41,8:59:15,1:34:34,94.57,1,7:41:02,SLC_510,,,,,,
241,946,21_946,3,13467,7:24:41,8:59:15,1:34:34,94.57,1,7:32:58,NEW_SLC_507,,,,,,
242,946,21_946,2,13460,8:09:48,8:39:29,0:29:41,29.68,2,8:27:46,Utah_County_516,8:28:05,SLC_514,,,,
242,946,21_946,3,13460,8:09:48,8:39:29,0:29:41,29.68,2,8:19:54,NEW_SLC_503,8:23:36,NEW_SLC_509,,,,
243,946,21_946,2,25182,8:32:33,9:09:23,0:36:50,36.83,2,8:48:55,Utah_County_524,9:03:52,SLC_505,,,,
243,946,21_946,3,25182,8:32:33,9:09:23,0:36:50,36.83,2,8:38:55,Utah_County_516,8:48:31,Utah_County_524,,,,
244,946,21_946,2,12907,8:40:14,10:10:03,1:29:49,89.82,2,8:47:48,SLC_525,8:53:30,Davis_512,,,,
244,946,21_946,3,12907,8:40:14,10:10:03,1:29:49,89.82,2,8:45:39,SLC_514,8:48:09,SLC_525,,,,
245,946,21_946,2,16613,9:48:18,10:24:31,0:36:13,36.22,1,9:50:19,SLC_510,,,,,,
245,946,21_946,3,16613,9:48:18,10:24:31,0:36:13,36.22,1,9:49:59,NEW_SLC_507,,,,,,
246,946,21_946,2,13073,14:02:42,15:00:03,0:57:21,57.35,3,14:03:24,SLC_519,14:08:49,Davis_512,14:09:04,SLC_525,,
246,946,21_946,3,13073,14:02:42,15:00:03,0:57:21,57.35,3,14:03:25,SLC_519,14:05:34,SLC_505,14:09:03,SLC_514,,
247,946,21_946,2,18234,14:18:57,15:26:00,1:07:03,67.05,2,14:21:52,Utah_County_513,14:22:28,SLC_505,,,,
247,946,21_946,3,18234,14:18:57,15:26:00,1:07:03,67.05,2,14:21:51,Utah_County_513,14:22:29,Utah_County_516,,,,
248,946,21_946,2,20454,14:37:35,18:09:52,3:32:17,212.28,3,14:43:07,Utah_County_502,14:45:03,Utah_County_521,15:01:13,Utah_County_524,,
248,946,21_946,3,20454,14:37:35,18:09:52,3:32:17,212.28,3,14:43:07,Utah_County_502,14:45:13,Utah_County_521,14:54:10,NEW_Utah_County_533,,
249,946,21_946,2,11474,15:54:03,16:22:30,0:28:27,28.45,1,15:59:28,SLC_520,,,,,,
249,946,21_946,3,11474,15:54:03,16:22:30,0:28:27,28.45,1,15:59:32,SLC_520,,,,,,
250,946,21_946,2,24751,16:16:14,17:08:50,0:52:36,52.6,1,16:23:33,Utah_County_516,,,,,,
250,946,21_946,3,24751,16:16:14,17:08:50,0:52:36,52.6,1,16:22:13,Utah_County_524,,,,,,
251,946,21_946,2,13413,16:27:17,17:22:20,0:55:03,55.05,1,16:30:08,SLC_523,,,,,,
251,946,21_946,3,13413,16:27:17,17:22:20,0:55:03,55.05,1,16:30:16,SLC_523,,,,,,
252,946,21_946,2,12931,16:31:08,16:47:45,0:16:37,16.62,2,16:34:04,SLC_520,16:39:14,SLC_519,,,,
252,946,21_946,3,12931,16:31:08,16:47:45,0:16:37,16.62,2,16:34:04,SLC_520,16:37:29,NEW_SLC_511,,,,
253,946,21_946,2,13394,16:35:25,17:36:13,1:00:48,60.8,1,16:39:57,SLC_517,,,,,,
253,946,21_946,3,13394,16:35:25,17:36:13,1:00:48,60.8,1,16:36:21,NEW_SLC_504,,,,,,
254,946,21_946,2,18356,16:59:48,18:08:44,1:08:56,68.93,1,17:03:04,Utah_County_513,,,,,,
254,946,21_946,3,18356,16:59:48,18:08:44,1:08:56,68.93,1,17:03:03,Utah_County_513,,,,,,
255,946,21_946,2,16583,17:21:48,18:15:24,0:53:36,53.6,1,17:24:18,SLC_519,,,,,,
255,946,21_946,3,16583,17:21:48,18:15:24,0:53:36,53.6,1,17:24:07,SLC_520,,,,,,
256,946,21_946,2,13390,17:52:16,20:02:00,2:09:44,129.73,2,17:57:50,SLC_517,18:00:10,Davis_529,,,,
256,946,21_946,3,13390,17:52:16,20:02:00,2:09:44,129.73,2,17:57:54,NEW_SLC_504,17:59:18,NEW_Davis_530,,,,
257,946,21_946,2,19698,17:54:34,19:00:40,1:06:06,66.1,1,18:33:21,SLC_528,,,,,,
257,946,21_946,3,19698,17:54:34,19:00:40,1:06:06,66.1,1,18:05:23,NEW_Utah_County_532,,,,,,
258,946,21_946,2,12982,18:04:36,18:50:37,0:46:01,46.02,1,18:58:45,SLC_527,,,,,,
258,946,21_946,3,12982,18:04:36,18:50:37,0:46:01,46.02,1,18:23:15,SLC_528,,,,,,
259,946,21_946,2,14513,18:24:28,19:28:38,1:04:10,64.17,1,18:30:40,SLC_520,,,,,,
259,946,21_946,3,14513,18:24:28,19:28:38,1:04:10,64.17,1,18:26:40,SLC_527,,,,,,
260,946,21_946,2,12941,18:33:50,20:23:12,1:49:22,109.37,1,18:40:19,SLC_523,,,,,,
260,946,21_946,3,12941,18:33:50,20:23:12,1:49:22,109.37,1,18:37:35,NEW_SLC_511,,,,,,
261,951,20_951,2,19733,8:33:44,9:42:08,1:08:24,68.4,2,8:34:55,Utah_County_524,8:42:17,Utah_County_516,,,,
261,951,20_951,3,19733,8:33:44,9:42:08,1:08:24,68.4,2,8:34:55,Utah_County_524,8:42:20,Utah_County_516,,,,
262,951,20_951,2,16583,8:48:41,9:22:55,0:34:14,34.23,1,8:58:04,SLC_510,,,,,,
262,951,20_951,3,16583,8:48:41,9:22:55,0:34:14,34.23,1,8:56:52,NEW_SLC_509,,,,,,
263,951,20_951,2,20819,8:53:03,10:24:45,1:31:42,91.7,2,9:26:10,SLC_505,9:27:16,SLC_514,,,,
263,951,20_951,3,20819,8:53:03,10:24:45,1:31:42,91.7,2,9:16:13,NEW_SLC_507,9:17:34,NEW_SLC_503,,,,
264,951,20_951,2,13485,8:53:40,10:56:46,2:03:06,123.1,1,9:02:43,SLC_525,,,,,,
264,951,20_951,3,13485,8:53:40,10:56:46,2:03:06,123.1,1,9:00:23,SLC_510,,,,,,
265,951,20_951,2,17632,9:14:42,9:45:51,0:31:09,31.15,1,9:45:49,Davis_518,,,,,,
265,951,20_951,3,17632,9:14:42,9:45:51,0:31:09,31.15,1,9:41:14,SLC_505,,,,,,
266,951,20_951,2,25182,12:39:32,14:56:03,2:16:31,136.52,2,12:44:56,Utah_County_513,12:48:07,Davis_518,,,,
266,951,20_951,3,25182,12:39:32,14:56:03,2:16:31,136.52,2,12:42:07,NEW_Utah_County_532,12:44:57,Utah_County_513,,,,
267,951,20_951,2,14513,12:42:56,14:29:00,1:46:04,106.07,2,12:51:17,SLC_525,12:56:54,SLC_510,,,,
267,951,20_951,3,14513,12:42:56,14:29:00,1:46:04,106.07,2,12:51:15,SLC_510,12:55:00,SLC_514,,,,
268,951,20_951,2,12975,13:13:23,14:39:00,1:25:37,85.62,1,13:37:40,Davis_512,,,,,,
268,951,20_951,3,12975,13:13:23,14:39:00,1:25:37,85.62,1,13:23:27,SLC_505,,,,,,
269,951,20_951,2,12907,13:37:00,14:44:34,1:07:34,67.57,1,14:02:19,Davis_506,,,,,,
269,951,20_951,3,12907,13:37:00,14:44:34,1:07:34,67.57,1,13:44:00,SLC_525,,,,,,
270,951,20_951,2,12984,14:47:42,18:04:00,3:16:18,196.3,3,15:03:53,SLC_528,15:08:47,SLC_527,15:12:43,SLC_520,,
270,951,20_951,3,12984,14:47:42,18:04:00,3:16:18,196.3,3,15:03:14,SLC_528,15:05:12,NEW_Utah_County_533,15:05:52,SLC_527,,
271,951,20_951,2,16613,15:18:33,16:02:12,0:43:39,43.65,2,15:31:11,Utah_County_513,15:31:31,Davis_518,,,,
271,951,20_951,3,16613,15:18:33,16:02:12,0:43:39,43.65,2,15:31:03,NEW_Utah_County_532,15:31:20,Utah_County_513,,,,
272,951,20_951,2,16507,15:22:14,16:18:07,0:55:53,55.88,1,15:31:24,SLC_519,,,,,,
272,951,20_951,3,16507,15:22:14,16:18:07,0:55:53,55.88,1,15:31:25,SLC_519,,,,,,
273,951,20_951,2,18249,15:25:22,16:56:49,1:31:27,91.45,1,15:42:08,Utah_County_502,,,,,,
273,951,20_951,3,18249,15:25:22,16:56:49,1:31:27,91.45,1,15:42:16,Utah_County_502,,,,,,
274,951,20_951,2,8342,16:18:37,16:57:00,0:38:23,38.38,1,16:21:36,SLC_517,,,,,,
274,951,20_951,3,8342,16:18:37,16:57:00,0:38:23,38.38,1,16:21:43,SLC_517,,,,,,
275,951,20_951,2,13273,16:48:01,18:15:11,1:27:10,87.17,2,16:59:21,SLC_523,17:05:54,SLC_519,,,,
275,951,20_951,3,13273,16:48:01,18:15:11,1:27:10,87.17,2,16:57:21,NEW_SLC_511,16:59:25,NEW_SLC_508,,,,
276,951,20_951,2,12982,17:30:53,18:01:39,0:30:46,30.77,1,17:44:19,Utah_County_513,,,,,,
276,951,20_951,3,12982,17:30:53,18:01:39,0:30:46,30.77,1,18:32:17,SLC_519,,,,,,
277,951,20_951,2,13072,17:49:06,18:44:23,0:55:17,55.28,1,17:58:22,SLC_517,,,,,,
277,951,20_951,3,13072,17:49:06,18:44:23,0:55:17,55.28,1,17:56:19,SLC_523,,,,,,
278,951,20_951,2,13490,18:01:14,20:52:40,2:51:26,171.43,2,18:17:10,Davis_529,18:29:47,Davis_526,,,,
278,951,20_951,3,13490,18:01:14,20:52:40,2:51:26,171.43,2,18:06:28,SLC_520,18:09:45,SLC_517,,,,
279,951,20_951,2,14512,18:02:09,18:33:12,0:31:03,31.05,1,18:56:46,Utah_County_521,,,,,,
279,951,20_951,3,14512,18:02:09,18:33:12,0:31:03,31.05,1,18:10:54,NEW_SLC_504,,,,,,
280,951,20_951,2,12926,19:28:50,20:34:11,1:05:21,65.35,2,19:30:01,Utah_County_521,19:38:45,SLC_517,,,,
280,951,20_951,3,12926,19:28:50,20:34:11,1:05:21,65.35,2,19:30:01,NEW_SLC_504,19:38:42,SLC_523,,,,
,499,,2,12973,5:37:50,7:09:00,1:31:10,91.17,1,,,,,,,,
,790,,2,20044,1:24:31,4:41:20,3:16:49,196.82,2,,,,,,,,
,879,,2,13246,22:54:46,24:24:00,1:29:14,89.23,1,,,,,,,,
,499,,3,12973,5:37:50,7:09:00,1:31:10,91.17,1,,,,,,,,
,790,,3,20044,1:24:31,4:41:20,3:16:49,196.82,2,,,,,,,,
,879,,3,13246,22:54:46,24:24:00,1:29:14,89.23,1,,,,,,,,
