Link Id,0:15:00,2:15:00,2:30:00,2:45:00,3:00:00,3:15:00,3:30:00,3:45:00,4:00:00,4:15:00,4:30:00,4:45:00,5:00:00,5:15:00,5:30:00,5:45:00,6:00:00,6:15:00,6:30:00,6:45:00,7:00:00,7:15:00,7:30:00,7:45:00,8:00:00,8:15:00,8:30:00,8:45:00,9:00:00,9:15:00,9:30:00,9:45:00,10:00:00,10:15:00,10:30:00,10:45:00,11:00:00,11:15:00,11:30:00,11:45:00,12:00:00,12:15:00,12:30:00,12:45:00,13:00:00,13:15:00,13:30:00,13:45:00,14:00:00,14:15:00,14:30:00,14:45:00,15:00:00,15:15:00,15:30:00,15:45:00,16:00:00,16:15:00,16:30:00,16:45:00,17:00:00,17:15:00,17:30:00,17:45:00,18:00:00,18:15:00,18:30:00,18:45:00,19:00:00,19:15:00,19:30:00,19:45:00,20:00:00,20:15:00,20:30:00,20:45:00,21:00:00,21:15:00,21:30:00,21:45:00,22:00:00,22:15:00,22:30:00,22:45:00,23:00:00,23:15:00,23:30:00,23:45:00,24:00:00,24:15:00,24:30:00,24:45:00,25:00:00,25:15:00,25:30:00,25:45:00,26:00:00,26:15:00,26:30:00,26:45:00,27:00:00,27:15:00,27:30:00,27:45:00,28:00:00,28:15:00,28:30:00,28:45:00,29:00:00,29:15:00,29:45:00,30:00:00,Total Delay [hours],Type,Incident Link,Feeder 1_x,Feeder 2_x,Seed,Duration [HH:MM:SS],Duration [mins],Incident Start,Incident End,Delay During Incident [hours],Post-Incident Delay (0-30 mins) [hours],Post-Incident Delay (30-60 mins) [hours]
14514,-0.0,-0.0,-0.0,-0.0,0.749332976,1.498665952,1.1239994640000002,3.371998392,4.121331368,9.741328688,20.231990352,28.849319576000003,48.70664344,82.05196087200001,109.402614496,202.31990352,336.82517271200004,561.250399024,684.141007088,701.000999048,3616.32634596,7479.722372224,15596.709041928,617.450372224,591.9730510400001,585.603720744,555.6304017040001,542.142408136,517.03975344,474.327773808,427.494462808,394.523811864,351.437165744,354.05983116000004,360.803827944,362.6771603840001,343.94383598400003,321.463846704,300.107856888,323.337179144,314.71984992,296.361192008,307.22652016,309.474519088,319.21584777600003,318.4665148,328.20784348800004,331.57984188,319.59051426400003,333.078507832,338.323838664,355.183830624,348.43983384,373.167822048,378.038486392,381.035818296,414.381135728,415.87980168,428.243795784,412.1331368000001,399.01980972,421.1251325120001,375.041154488,352.56116520800003,344.31850247200003,328.95717646400004,312.47185099200004,263.390541064,269.01053838400003,239.78655232,231.918556072,213.934564648,207.565234352,197.449239176,201.945237032,179.83991424,179.83991424,175.343916384,153.61326008,173.845250432,153.61326008,152.863927104,159.98259037600002,134.130602704,121.7666086,94.041288488,63.318636472,58.822638616000006,47.207977488,29.97331904,22.47998928,14.98665952,7.49332976,2.997331904,1.1239994640000002,1.498665952,0.749332976,1.1239994640000002,0.374666488,-0.0,-0.0,0.374666488,-0.0,-0.0,0.374666488,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,13.951440334695546,Feeder 2,13440,13442,14514,340,0:38:47,38.78,08:45:00,09:15:00,0.4259749820511111,0.2283384096311111,0.19597138802888892
16564,-0.0,-0.0,-0.0,0.135408598,-0.0,0.270817196,0.947860186,0.812451588,3.520623548,4.874709528,9.343193262,12.999225408,25.456816424,34.935418284,45.903514722,52.538536024,58.090288542,59.444374522,6042.3206012,35254.261837800004,50677.066666,49521.77412839999,49980.3617412,48302.0722572,49205.215268,46247.5045152,42997.056601200005,40901.5346012,38196.0721926,36028.9266012,17052.4567304,44.955654536,44.278611546,45.36188033,43.195342762,42.65370837,44.820245938,40.080945008,44.414020144,48.611686682,44.820245938,45.632697526,42.382891174,44.143202948,45.226471732,48.611686682,45.768106124,50.236589858,49.830364064,51.45526724,52.538536024,50.913632848,47.3930093,53.215579014,73.11171882800001,51.996901632,58.631922934,170.323159572,57.954879944,56.059159572,56.600793964,264.65774013000004,675.351191718,686.606600316,676.440600316,633.391557326,162.33728854199998,55.652933778,51.184450044,48.07005229,61.737589858,47.257600702,49.42413827,50.10118126,44.00779435,46.580557712,42.789116968,44.278611546,43.466159958,44.820245938,41.570439586,39.94553641,41.29962239,32.633472118,28.842031374,21.394558484,18.550977926,15.301171574,10.968096438,7.853698683999999,6.499612704,4.333075136,2.572763362,0.6770429899999999,0.406225794,0.812451588,0.135408598,0.270817196,0.406225794,-0.0,0.135408598,0.135408598,-0.0,0.135408598,-0.0,-0.0,0.135408598,0.135408598,0.135408598,-0.0,0.135408598,-0.0,143.42074788639445,Feeder 2,16567,16566,16564,340,1:07:32,67.53,10:45:00,11:45:00,0.061272390595,0.02512581762888889,0.024035026145000003
16566,-0.0,-0.0,-0.0,-0.0,0.923765304,0.923765304,5.5425918240000005,0.923765304,16.627775472,31.416489728,39.555377464,69.2823978,126.93183648,237.817162896,502.171468768,1111.72020336,1892.347009336,7696.0002626,33291.8857421,36100.4733238,37824.4505585,37742.1993238,37477.8404973,35841.7957932,36347.1600279,31567.006313700003,11967.801426,7817.8181301,3320.625417512,8728.903619699999,6374.9624159,929.56933596,691.347019712,1119.343958496,780.5507748480001,979.615254408,801.073254408,800.288356504,604.127601368,989.478795184,851.387601368,967.426438056,989.346917616,1295.057091096,757.833907448,1014.489631872,1770.495754304,1282.830927784,1304.585968664,1362.503264576,1050.955927784,1421.698570656,2304.019529776,2766.250835856,3549.059529776,3457.376937952,3467.0502542,4071.5672935,2290.5851828160003,3798.677070552,6844.5252525000005,10204.3823648,4141.4670689,5484.6643137,5690.280242399999,5387.438191300001,1669.96729508,3296.287131768,2553.893876736,1589.156937952,2091.120886904,1272.801274744,1064.840907448,723.6987238,592.519713632,635.91107076,711.01193816,343.73873417600004,294.90367296,302.755897488,310.709724008,238.632122016,216.456764888,186.596744552,140.32172421599998,99.305234488,109.272765096,70.208632496,35.148020336,32.190020336,26.789193816,17.551540776,7.390122432,3.695061216,3.695061216,3.695061216,-0.0,0.923765304,1.847530608,0.923765304,0.923765304,0.923765304,-0.0,1.847530608,-0.0,-0.0,0.923765304,0.923765304,0.923765304,-0.0,0.923765304,-0.0,122.2255021999033,Feeder 1,16567,16566,16564,340,1:07:32,67.53,10:45:00,11:45:00,1.1596064616311113,0.5052261220622222,0.6345566690866667
16567,-0.0,-0.0,-0.0,-0.0,0.099102466,0.099102466,0.594614796,0.099102466,1.684741922,3.270381378,3.96409864,7.43268495,11.89229592,17.144726618,28.640612674,33.496633508,40.334703662,41.424830788,43.704187506,43.803289972,43.803289972,43.803289972,43.704187506,43.803289972,43.803289972,43.803289972,43.208675176,42.415855448,39.541883934,42.911367778,41.62303572,35.974195158,32.70381378,32.20830145,30.72176446,32.604711314,32.505608848,29.7307398,31.415481722,33.595735974,32.109198984,33.298428576,34.784965566,35.082272964,33.397531042,36.271502556,36.965219818,36.866117352,34.289453236,33.893043372,36.66791242,36.469707488,38.848166672,39.839191332,39.740088866,38.848166672,41.62303572,39.839191332,39.938293798,41.722138186,40.037396264,42.514957914,41.523933254,41.523933254,40.63201106,42.316752982,39.14547407,41.226625856,38.749064206,38.352654342,39.343679002,35.775990226,33.992145838,32.307403916,30.72176446,31.316379256,28.640612674,24.28010417,23.883694306,22.198952384,22.79356718,19.8204932,19.622288268,16.35190689,12.685115648,9.9102466,9.811144134,7.135377552,3.46858631,3.369483844,2.97307398,1.783844388,0.891922194,0.396409864,0.396409864,0.396409864,-0.0,0.099102466,0.198204932,0.099102466,0.099102466,0.099102466,-0.0,0.198204932,-0.0,-0.0,0.099102466,0.099102466,0.099102466,-0.0,0.099102466,-0.0,0.7287609951161115,Incident Link,16567,16566,16564,340,1:07:32,67.53,10:45:00,11:45:00,0.044403410460555556,0.018168785433333334,0.01940756625833333
17458,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.537946003,0.537946003,-0.0,1.075892006,1.075892006,0.537946003,1.075892006,2.689730015,7.531244041999999,18.290164102,60.787898339,167.30120693299995,295.87030165,367.955066052,267.89710949399995,254.448459419,233.468565302,225.93732126,240.461863341,221.095807233,190.970831065,126.417310705,80.15395444699999,68.31914238099999,53.256654297,43.57362624299999,28.511138159,38.732112216,29.049084162,32.814706183,34.428544192,24.745516138,29.049084162,28.511138159,36.580328204,37.65622021,42.497734237,48.41514027,64.13457435699999,58.636114327,74.774494417,79.61600844399999,105.437416588,136.63828476199998,156.542286873,234.544457308,262.517649464,332.98857585699994,419.59788234,421.749666352,365.265336037,557.290469974,687.7642322649999,347.513117938,353.430523971,355.168063941,424.390737848,314.698411755,289.414949614,256.062297428,224.861429254,231.854727293,218.138185212,215.1784012,227.551159269,229.702943281,200.115913116,197.426183101,192.046723071,215.716347203,180.749857008,185.053425032,189.356993056,172.680666963,178.06012699299998,164.073530915,106.513308594,88.22314449199999,81.767792456,48.41514027,31.200868174,22.593732126,11.834812066,4.303568024,4.303568024,0.537946003,1.6138380089999995,1.6138380089999995,0.537946003,0.537946003,0.537946003,0.537946003,0.537946003,-0.0,0.537946003,-0.0,-0.0,-0.0,0.537946003,-0.0,-0.0,-0.0,0.537946003,-0.0,-0.0,3.686173834649166,Feeder 2,24911,18696,17458,340,1:36:23,96.38,07:45:00,09:30:00,0.3852291099261111,0.026897300149999998,0.018678680659722224
18696,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.865297734,0.865297734,0.865297734,1.730595468,5.624435271,4.32648867,9.950923941,16.008008079,22.065092217,34.179260493,51.485215173,126.333469164,226.275357441,307.18069557,218.920326702,216.020486899,197.720532219,195.557287884,194.259341283,173.924844534,149.696507982,104.701025814,73.55030739,67.49322325199999,51.91786404,44.130184434,52.783161774,52.350512907,49.321970838,45.428131035,51.91786404,49.754619705,57.974948178,57.542299311,64.032032316,61.003490247,64.89733005,61.003490247,70.08911645399999,70.521765321,77.87679606,78.309444927,86.097124533,105.998972415,123.005629361,179.116630938,213.295891431,269.540244141,337.46611626,408.631200398,434.910153501,508.034481974,756.073146999,415.878939905,583.647810447,462.595611432,379.93527488,290.213640594,314.772693993,222.381517638,189.500203746,181.279875273,175.222791135,175.222791135,183.443119608,189.942257145,173.492195667,167.002462662,155.75359212,176.088088869,154.455645519,149.696507982,169.165706997,135.05114877,160.945378524,144.072072711,99.941888277,92.154208671,85.664475666,51.052566306,46.293428769,34.179260493,25.95893202,18.171252414,13.844763744,4.32648867,5.191786404,3.893839803,0.865297734,1.730595468,0.865297734,0.432648867,-0.0,-0.0,-0.0,0.432648867,-0.0,-0.0,0.432648867,-0.0,-0.0,-0.0,0.432648867,-0.0,-0.0,3.532846649132222,Feeder 1,24911,18696,17458,340,1:36:23,96.38,07:45:00,09:30:00,0.32136196398833333,0.026680013465,0.0292037985225
24911,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.022449654,0.022449654,0.022449654,0.044899308,0.145922751,0.1010234429999999,0.269395848,0.4040937719999999,0.583691004,0.8867613329999999,1.313304759,3.266424657,5.848134867,7.947177516,5.634863154,5.578739019,5.140970766,5.073621804,5.017497669,4.523605281,3.906239796,2.716408134,1.90822059,1.762297839,1.324529586,1.133707527,1.369428894,1.369428894,1.257180624,1.167382008,1.335754413,1.324529586,1.504126818,1.45922751,1.672499223,1.582700607,1.68372405,1.582700607,1.807197147,1.840871628,2.02046886,2.031693687,2.233740573,2.761307442,3.154176387,4.658303205,5.50016523,7.015516874999999,8.732915406,8.934962292,7.868603727,8.126774747999999,8.934962292,8.036976132,8.317596807,7.790029938,7.138989972,6.588973449,6.521624487,5.780785905,4.93892388,4.680752859,4.60217907,4.523605281,4.781776302,4.860350091,4.512380454,4.332783222,4.063387374,4.579729416,3.973588758,3.895014969,4.400132184,3.468471543,4.198085298,3.726642564,2.604159864,2.379663324,2.2449654,1.324529586,1.201056489,0.875536506,0.684714447,0.471442734,0.359194464,0.11224827,0.134697924,0.1010234429999999,0.022449654,0.044899308,0.022449654,0.011224827,-0.0,-0.0,-0.0,0.011224827,-0.0,-0.0,0.011224827,-0.0,-0.0,-0.0,0.011224827,-0.0,-0.0,0.0805194256799999,Incident Link,24911,18696,17458,340,1:36:23,96.38,07:45:00,09:30:00,0.0083469060775,0.0006828436425,0.00076079383
