Link Id,0:15:00,1:45:00,2:00:00,2:15:00,2:30:00,2:45:00,3:00:00,3:15:00,3:30:00,3:45:00,4:00:00,4:15:00,4:30:00,4:45:00,5:00:00,5:15:00,5:30:00,5:45:00,6:00:00,6:15:00,6:30:00,6:45:00,7:00:00,7:15:00,7:30:00,7:45:00,8:00:00,8:15:00,8:30:00,8:45:00,9:00:00,9:15:00,9:30:00,9:45:00,10:00:00,10:15:00,10:30:00,10:45:00,11:00:00,11:15:00,11:30:00,11:45:00,12:00:00,12:15:00,12:30:00,12:45:00,13:00:00,13:15:00,13:30:00,13:45:00,14:00:00,14:15:00,14:30:00,14:45:00,15:00:00,15:15:00,15:30:00,15:45:00,16:00:00,16:15:00,16:30:00,16:45:00,17:00:00,17:15:00,17:30:00,17:45:00,18:00:00,18:15:00,18:30:00,18:45:00,19:00:00,19:15:00,19:30:00,19:45:00,20:00:00,20:15:00,20:30:00,20:45:00,21:00:00,21:15:00,21:30:00,21:45:00,22:00:00,22:15:00,22:30:00,22:45:00,23:00:00,23:15:00,23:30:00,23:45:00,24:00:00,24:15:00,24:30:00,24:45:00,25:00:00,25:15:00,25:30:00,25:45:00,26:00:00,26:15:00,26:30:00,26:45:00,27:00:00,27:15:00,27:30:00,27:45:00,28:00:00,28:15:00,28:30:00,28:45:00,29:00:00,29:15:00,30:00:00,Total Delay [hours],Type,Incident Link,Feeder 1_x,Feeder 2_x,Seed,Duration [HH:MM:SS],Duration [mins],Incident Start,Incident End,Delay During Incident [hours],Post-Incident Delay (0-30 mins) [hours],Post-Incident Delay (30-60 mins) [hours]
13135,-0.0,-0.0,-0.0,-0.0,0.712989387,1.425978774,0.712989387,1.425978774,3.564946935,1.425978774,4.990925709,8.555872644,17.111745288,23.528649771,32.797511802,43.492352607,63.456055443,82.706768892,121.20819579,158.283643914,241.703402193,299.45554254,418.524770169,358.633661661,350.077789017,350.79077840400004,340.808926986,317.280277215,332.96604372900003,344.37387392100004,316.567287828,251.685253611,223.878667518,223.878667518,188.229198168,193.933113264,198.211049586,182.525283072,217.461763035,200.350017747,220.313720583,234.573508323,228.15660384,245.268349128,227.443614453,213.183826713,243.842370354,263.093083803,256.67617932,255.963189933,308.72440457100004,312.289351506,349.36479963,394.996120398,436.349504844,585.364286727,645.968384622,629.5696287210001,590.355212436,555.418732473,563.26161573,510.500401092,455.600218293,448.470324423,393.570141624,410.681886912,397.848077946,373.606438788,401.413024881,377.171385723,395.709109785,453.461250132,427.080642813,413.53384446,389.292205302,438.488473005,426.367653426,372.893449401,389.292205302,359.346651048,347.938820856,320.132234763,269.509988286,258.815147481,245.981338515,202.488985908,173.256421041,141.171898626,112.652323146,73.437906861,50.622246477,45.631320768,22.102670997,14.25978774,11.407830192,7.842883257,2.138968161,3.564946935,-0.0,1.425978774,-0.0,-0.0,-0.0,1.425978774,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,6.671402083637501,Feeder 2,13490,13137,13135,340,2:51:26,171.43,18:00:00,20:45:00,1.351907098795,0.207955237875,0.1855752932275
13137,-0.0,-0.0,-0.0,-0.0,0.914268588,0.685701441,0.685701441,0.685701441,1.599970029,2.057104323,4.57134294,6.628447263,9.599820174,15.313998849,22.399580406,24.913819023,40.913519313,50.513339487,70.170114129,97.826738916,136.683153906,165.939748722,221.252998296,196.796313567,190.167866304,191.539269186,179.196643248,183.767986188,184.225120482,183.082284747,173.939598867,143.99730261,129.140438055,137.825989641,126.169065144,123.883393674,114.055006353,118.626349293,126.397632291,121.597722204,129.369005202,130.968975231,122.054856498,133.711780995,136.226019612,123.42625938,135.540318171,149.940048432,139.42595967,141.483063993,159.082734312,166.396883016,186.967926246,197.710582155,224.910072648,266.737860549,297.1372911,294.394485336,269.023532019,261.023681874,255.766637493,237.938400027,209.367506652,207.767536623,179.882344689,187.882194834,179.882344689,169.368255927,170.282524515,162.511241517,168.682554486,185.596523364,178.739508954,173.253897426,159.768435753,178.510941807,174.853867455,157.939898577,165.939748722,153.825689931,149.254346991,135.768885318,117.712080705,113.826439206,102.398081856,87.541217301,74.970024216,59.198891073,45.941996547,33.827937756,22.171013259,18.513938907,10.971223056,6.85701441,5.257044381,3.428507205,1.142835735,1.828537176,0.457134294,0.685701441,-0.0,0.228567147,-0.0,0.457134294,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,3.281525831304166,Feeder 1,13490,13137,13135,340,2:51:26,171.43,18:00:00,20:45:00,0.5720527762416667,0.08882373295916667,0.07917312008583334
13169,-0.0,0.567208984,-0.0,-0.0,1.134417968,1.7016269519999998,1.7016269519999998,1.7016269519999998,5.67208984,15.314642568,15.314642568,35.734165992,44.242300752,60.691361288,79.97646674399999,113.4417968,143.503872952,197.955935416,234.824519376,298.919134568,454.901605168,692.562169464,834.931624448,802.033503376,760.06003856,758.358411608,746.447022944,703.3391401599999,707.309603048,722.6242456159999,672.7098550239999,594.435015232,560.402476192,484.96368132,507.65204068,487.79972624,473.052292656,508.219249664,521.83226528,505.383204744,488.366935224,528.638773088,525.8027281679999,516.16017544,505.383204744,497.442278968,488.934144208,515.025757472,492.904607096,560.402476192,560.969685176,582.5236265679999,593.300597264,644.349405824,669.873810104,671.5754370559999,711.2800659359999,662.500093312,651.155913632,609.7496578,586.494089456,587.628507424,583.0908355519999,562.104103144,592.73338828,580.821999616,568.343401968,514.458548488,482.694845384,436.183708696,437.318126664,410.092095432,381.164437248,361.312122808,356.774450936,336.354927512,309.12889628,305.725642376,313.099359168,276.797984192,263.75217756,259.214505688,251.840788896,217.241040872,205.329652208,187.746173704,158.81851552,138.398992096,119.11388664,88.484601504,62.960197224,43.675091768,38.003001928,19.85231444,15.314642568,7.373716792,5.67208984,2.83604492,2.268835936,0.567208984,-0.0,-0.0,-0.0,-0.0,-0.0,0.567208984,-0.0,-0.0,0.567208984,-0.0,-0.0,-0.0,-0.0,10.083242596957785,Feeder 2,13504,13507,13169,340,0:31:19,31.32,18:15:00,18:45:00,0.3981491951577778,0.23539172836,0.20624348890444447
13175,-0.0,0.412638996,-0.0,-0.0,0.825277992,0.825277992,1.2379169879999998,1.2379169879999998,4.539028956,10.3159749,10.728613896,25.996256748,33.423758676,44.152372572,61.8958494,78.40140923999999,97.795442052,148.137399564,170.007266352,212.096443944,332.587030776,993.077878212,39274.603396,54171.429156,3117.999648456,2438.635233396,3620.717930304,1212.897225684,1542.6221716280002,1617.9159727919998,524.080607932,441.52372572,409.750523028,364.360233468,381.278432304,356.520092544,359.225702584,361.520482504,370.137179412,361.0591215,354.044258568,369.379623428,376.739403348,359.408565516,351.568424592,342.903005676,346.204117644,369.724540416,350.330507604,377.56468134,390.769129212,409.663328048,420.89177592,611.2028956,478.248596364,502.594297128,1020.974196728,604.224326084,636.911741144,520.58860022,464.2188705,458.854563552,456.378729576,430.382472828,422.542331904,408.51260604,364.00231648,354.86953656,314.018275956,281.419795272,271.103820372,280.181878284,254.598260532,237.680061696,255.83617752,238.505339688,197.241440088,207.557414988,200.12991306,188.988660168,176.196851292,169.594627356,174.546295308,153.501706512,152.67642852,129.98128373999998,107.698777956,90.367940124,74.27501928,56.118903456,39.20070462,22.69514478,23.520422772,9.903335904,8.25277992,5.364306947999999,5.364306947999999,0.825277992,1.2379169879999998,0.412638996,-0.0,-0.0,-0.0,-0.0,-0.0,0.412638996,-0.0,-0.0,0.412638996,-0.0,-0.0,-0.0,-0.0,36.12152472681888,Feeder 1,13508,13175,13178,340,0:52:30,52.5,08:15:00,09:15:00,1.4830665843766666,0.21503076569333335,0.20494403468
13178,-0.0,0.624673266,-0.0,-0.0,-0.0,0.624673266,0.624673266,1.249346532,3.12336633,8.745425723999999,10.619445522,21.238891044,31.858336566,43.72712862,58.09461373799999,61.217980068,84.33089091,126.808672998,149.92158383999998,186.777306534,279.22894990199995,397.916870442,527.84890977,456.01148418,472.252989096,476.625701958,470.378969298,451.014098052,454.762137648,441.643999062,411.035009028,351.066375492,328.57813791599995,293.59643502,327.328791384,299.218494414,292.971761754,296.09512808399995,296.09512808399995,279.22894990199995,279.22894990199995,290.47306869,303.591207276,283.601662764,283.601662764,271.108197444,287.974375626,299.84316768,287.34970236,297.969147882,312.96130626599995,322.956078522,346.06898936399995,403.538929836,402.289583304,402.289583304,461.633543574,461.633543574,424.153147614,432.273900072,388.546771452,405.412949634,376.053306132,378.551999196,337.948236906,326.079444852,291.722415222,308.588593404,260.488751922,226.131722292,226.756395558,245.496593538,202.394138184,184.27861347,207.391524312,184.27861347,150.54625710599998,163.039722426,159.29168282999998,156.16831649999995,138.052791786,126.183999732,132.43073239199998,122.435960136,125.559326466,111.191841348,73.086772122,69.96340579199999,54.971247408,46.225821684,29.359643502,18.74019798,18.74019798,9.37009899,4.997386128,4.997386128,4.997386128,0.624673266,1.249346532,0.624673266,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.624673266,-0.0,-0.0,-0.0,-0.0,5.977949635268336,Feeder 2,13508,13175,13178,340,0:52:30,52.5,08:15:00,09:15:00,0.5859782275783334,0.17282627026,0.1740409127216667
13205,-0.0,-0.0,-0.0,-0.0,0.63057086,0.63057086,-0.0,1.89171258,2.52228344,2.52228344,8.19742118,7.566850319999999,17.025413219999997,19.54769666,27.74511784,40.35653504,45.40110192,62.42651513999999,83.86592438,125.48360114,155.12043156,323.48285117999995,591.1503249599999,513.28468004,469.7752907,465.36129468,476.0809993,419.3296219,418.88405502,364.46995708,355.64196504,233.94178906,208.71895466,189.171258,194.21582488,160.16499843999998,185.38783284,163.31785273999998,168.36241962,169.62356133999998,145.66186865999998,156.38157328,160.79556929999998,158.90385672,168.89641962,149.44529382,163.31785273999998,150.70643554,139.57716005999998,157.01214413999998,158.27328586,170.88470306,181.60440768,160.16499843999998,167.73184876,172.77641563999998,191.06297058,205.56610036,215.65523412,229.52779304,245.9226354,264.20919034,278.08174926,294.47659162,334.83312665999995,303.93515452,354.38082332,315.28543,238.35578508,207.83167122,180.97383682,174.03755736,186.0184037,164.57899446,129.89759716,140.61730178,146.29243952,143.13958522,118.54732168,107.1970462,80.71307008,74.40736147999999,70.62393632,68.73222374,53.5985231,36.57310988,24.59226354,25.2228344,11.35027548,13.87255892,11.35027548,7.566850319999999,0.63057086,3.78342516,2.52228344,0.63057086,0.63057086,-0.0,-0.0,-0.0,-0.0,-0.0,0.63057086,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,4.136469169049999,Feeder 2,13208,13535,13205,340,1:59:19,119.32,15:15:00,17:15:00,0.5825774112111112,0.17743563366111112,0.1860184037
13208,-0.0,-0.0,-0.0,-0.0,0.197301879,0.197301879,-0.0,0.591905637,0.789207516,0.789207516,2.564924427,2.367622548,5.1298488540000005,6.116358249,8.681282676,12.824622135,14.008433409,18.940980384,26.438451786,39.854979558,48.338960355000005,100.821260169,184.477256865,161.984842659,148.568314887,147.187201734,149.160220524,133.573372083,129.232730745,115.224297336,110.883655998,74.580110262,65.50422382800001,58.795959942,61.360884369,50.509281024,58.401356184,51.693092298,52.087696056000006,54.258016725,45.774035928,49.32546975,51.29848854,49.720073508000006,52.087696056000006,47.549752839,51.10118666100001,47.155149081000005,43.801017138000006,48.930865992,49.720073508000006,52.482299814,57.21754491,50.114677266,51.890394177000005,54.849922362,59.782469337,65.098110675,66.88533698100001,71.225978319,75.566619657,81.682977906,86.81282676000001,92.139977493,103.188882717,94.902203799,110.686354119,98.6509395,73.593600867,63.13660128000001,57.21754491,53.666111088,58.598658063,51.29848854,40.644187074,43.40641338,46.168639686000006,44.392922775,36.106243857,32.949413793000005,25.254640512,23.281621722,21.505904811,21.505904811,16.770659715,11.048905224,7.694773281000001,7.497471402,3.748735701,4.143339459,3.5514338220000004,2.367622548,0.197301879,1.183811274,0.789207516,0.197301879,0.197301879,-0.0,-0.0,-0.0,-0.0,-0.0,0.197301879,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,1.293913486643334,Incident Link,13208,13535,13205,340,1:59:19,119.32,15:15:00,17:15:00,0.18167894985833338,0.05502530181,0.058149248227500006
13425,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.127127829,-0.0,0.254255658,0.381383487,0.254255658,0.381383487,0.635639145,1.144150461,1.27127829,1.779789606,3.051067896,5.975007963,11.44150461,38.392604358,84.921389772,107.931526821,94.964488263,89.243735958,80.09053227,79.454893125,71.700095556,69.030411147,69.666050292,60.385718775,41.062288767,31.527701592,33.688874685,23.900031852,23.010137049,20.721836127,24.662798826,21.103219614,24.15428751,24.15428751,26.69684409,26.442588432,23.645776194,28.476633696,28.095250209,32.544724224,33.943130343,34.960152975,33.943130343,34.070258172,41.95218357,49.57985331,60.258590946,68.90328331799999,76.40382522899999,73.861268649,79.709148783,83.26872799499999,77.039464374,82.124577534,71.318712069,69.284666805,63.436786671,53.139432522,48.435702849,42.587822715,36.739942581,27.586738893,18.560663034,20.721836127,17.670768231,17.925023889,15.509595138,19.323430008,14.492572506,12.204271584,14.492572506,12.967038558,11.187248952,9.534587175,8.517564543,10.17022632,8.009053226999999,8.390436714,7.881925398,7.62766974,6.864902766,6.35639145,3.81383487,3.178195725,3.432451383,1.27127829,1.27127829,1.017022632,-0.0,0.254255658,0.127127829,0.127127829,-0.0,-0.0,0.127127829,-0.0,-0.0,0.254255658,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.7811651959191663,Incident Link,13425,12913,12844,340,1:30:13,90.22,15:00:00,16:30:00,0.15036397107833332,0.03905649413166666,0.03238228310916667
13440,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.634342047,1.268684094,3.171710235,4.440394329,11.418156846,9.515130705,15.858551175,30.448418256,48.844337619,80.56143996899999,190.3026141,452.285879511,648.931914081,689.529805089,664.790465256,593.744155992,517.623110352,528.406925151,542.996792232,532.212977433,499.861533036,463.06969431,430.718249913,417.397066926,304.48418256,327.954838299,275.304448398,261.348923364,238.512609672,234.072215343,184.593535677,190.936956147,198.549060711,149.704723092,140.823934434,156.04814356199998,148.436038998,140.823934434,135.749198058,140.189592387,118.621962789,134.48051396399998,130.040119635,131.308803729,128.771435541,131.943145776,151.607749233,163.660248126,178.250115207,239.781293766,243.587346048,243.587346048,235.340899437,223.288400544,223.922742591,193.474324335,209.33287551,179.518799301,166.83195836099998,163.02590607899998,156.682485609,145.89867081,126.8684094,137.017882152,115.450252554,97.054333191,100.860385473,103.397753661,92.613938862,86.270518392,85.636176345,68.508941076,71.046309264,70.411967217,73.58367745199999,53.919073995,60.262494465,56.456442183,45.672627384,34.254470538,32.351444397,20.298945504,22.201971645,12.052498893,8.880788658,8.880788658,4.440394329,3.806052282,1.903026141,0.634342047,0.634342047,-0.0,-0.0,-0.0,0.634342047,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,4.470701782356665,Incident Link,13440,13442,14514,340,0:38:47,38.78,08:45:00,09:15:00,0.32016652761083336,0.1675720240825,0.13885042584333332
13442,-0.0,-0.0,-0.0,-0.0,0.27903786,0.83711358,1.3951893000000002,0.83711358,1.67422716,5.02268148,9.208249380000002,14.23093086,20.09072592,30.973202460000003,56.92372344,74.50310862,106.59246252,186.67632834000003,356.05230936000004,490.2695200200001,25467.6007982,61080.73683606,132252.61651344,136586.40879657998,138339.20351592,136736.96423526,137903.9096295,141490.35081222,137692.67735132002,139474.53368548,84242.69815134,303.31415382,312.80144106,285.45573078,282.38631432000005,265.36500486,275.68940568000005,253.08733902000003,250.85503614,262.01655054,232.43853738,241.64678676000003,238.01929458000004,233.27565096000004,241.64678676000003,232.15949952000005,250.01792256,239.9725596,248.34369540000003,239.41448388000003,252.25022544000004,252.52926330000005,233.55468882,266.76019416,268.43442132,289.64129868000003,303.59319168,313.35951678000004,300.52377522,299.40762378000005,282.10727646000004,281.8282386,263.96981556000003,255.59867976,235.7869917,214.30107648,232.71757524000003,210.95262216000003,198.39591846,189.18766908,189.7457448,166.0275267,160.72580736,164.6323374,167.14367814000002,158.49350448,161.56292094000003,142.03027074000002,135.61239996,129.75260490000002,121.38146910000002,121.38146910000002,105.75534894,111.33610614,107.4295761,97.38421314,69.759465,68.64331356000001,52.18007982,48.27354978,31.810316040000004,24.55533168,22.04399094,11.161514400000002,7.254984360000001,3.34845432,1.67422716,1.11615144,1.11615144,-0.0,-0.0,0.55807572,0.27903786,-0.0,-0.0,-0.0,-0.0,0.27903786,-0.0,-0.0,-0.0,-0.0,-0.0,357.01125587911633,Feeder 1,13440,13442,14514,340,0:38:47,38.78,08:45:00,09:15:00,62.22792944184445,0.16618254773333332,0.1521531442166667
