Link Id,0:15:00,2:15:00,3:00:00,3:15:00,3:30:00,3:45:00,4:00:00,4:15:00,4:30:00,4:45:00,5:00:00,5:15:00,5:30:00,5:45:00,6:00:00,6:15:00,6:30:00,6:45:00,7:00:00,7:15:00,7:30:00,7:45:00,8:00:00,8:15:00,8:30:00,8:45:00,9:00:00,9:15:00,9:30:00,9:45:00,10:00:00,10:15:00,10:30:00,10:45:00,11:00:00,11:15:00,11:30:00,11:45:00,12:00:00,12:15:00,12:30:00,12:45:00,13:00:00,13:15:00,13:30:00,13:45:00,14:00:00,14:15:00,14:30:00,14:45:00,15:00:00,15:15:00,15:30:00,15:45:00,16:00:00,16:15:00,16:30:00,16:45:00,17:00:00,17:15:00,17:30:00,17:45:00,18:00:00,18:15:00,18:30:00,18:45:00,19:00:00,19:15:00,19:30:00,19:45:00,20:00:00,20:15:00,20:30:00,20:45:00,21:00:00,21:15:00,21:30:00,21:45:00,22:00:00,22:15:00,22:30:00,22:45:00,23:00:00,23:15:00,23:30:00,23:45:00,24:00:00,24:15:00,24:30:00,24:45:00,25:00:00,25:15:00,25:30:00,25:45:00,26:00:00,26:15:00,26:30:00,26:45:00,27:00:00,27:15:00,27:30:00,27:45:00,28:00:00,28:15:00,28:30:00,28:45:00,29:00:00,29:15:00,29:30:00,30:00:00,Total Delay [hours],Type,Incident Link,Feeder 1_x,Feeder 2_x,Seed,Duration [HH:MM:SS],Duration [mins],Incident Start,Incident End,Delay During Incident [hours],Post-Incident Delay (0-30 mins) [hours],Post-Incident Delay (30-60 mins) [hours]
11474,-0.0,-0.0,-0.0,0.139391829,0.278783658,0.278783658,0.4181754869999999,3.066620238,4.460538528,7.108983278999999,13.660399242,21.745125324,37.496402001,51.993152217,69.974698158,95.483402865,125.592037929,152.634052755,167.688370287,168.10654577399998,173.821610763,171.173166012,176.609447343,174.100394421,179.81545941,176.748839172,159.882427863,154.167362874,132.56162937899998,131.307102918,123.779944152,109.561977594,94.507660062,97.156104813,91.301647995,90.047121534,94.647051891,93.810700917,101.75603517,97.713672129,93.531917259,97.713672129,101.198467854,100.640900538,101.198467854,103.289345289,104.404479921,110.816504055,114.719475267,117.925487334,120.573932085,133.258588524,147.476555082,146.500812279,147.058379595,153.749187387,160.16121152099998,146.36142045,142.040273751,133.53737218199998,132.840413037,138.276694368,122.107242204,114.022516122,120.016364769,110.398328568,105.798398211,103.846912605,94.78644372,87.538068612,85.725974835,85.168407519,83.077530084,85.307799348,86.562325809,76.386722292,71.508008277,70.253481816,62.72632305,58.265784522,48.926531979,41.259981384,36.102483711,31.502553354,24.672353733,17.423978625,15.611884848,13.799791071,6.551415963,4.599930357,1.951485606,1.39391829,1.39391829,0.4181754869999999,0.278783658,0.139391829,0.139391829,-0.0,0.4181754869999999,-0.0,-0.0,0.139391829,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,2.2672468186374988,Incident Link,11474,13502,13500,946,0:28:27,28.45,15:45:00,16:15:00,0.1242523275725,0.08514517554750001,0.0765493460925
12832,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Feeder 1,13390,12832,13388,946,2:09:44,129.73,17:45:00,20:00:00,0.0,0.0,0.0
12841,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Feeder 2,13394,13396,12841,946,1:00:48,60.8,16:30:00,17:30:00,0.0,0.0,0.0
12904,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Feeder 1,12907,12904,13618,946,1:29:49,89.82,08:30:00,10:00:00,0.0,0.0,0.0
12907,-0.0,-0.0,0.563522733,-0.0,-0.0,-0.0,0.563522733,3.381136398,4.508181864,4.508181864,7.889318262,22.54090932,30.993750315,40.010114043,70.440341625,101.43409194,181.454320026,352.765230858,564.086255733,559.014551136,522.949096224,545.490005544,576.483755859,515.623300695,541.545346413,504.352846035,464.906254725,414.752731488,321.20795781,304.865798553,281.7613665,263.165116311,262.601593578,249.640570719,246.259434321,254.712275316,260.911025379,298.103525757,282.888411966,295.285912092,316.136253213,305.429321286,312.191594082,344.312389863,337.550117067,356.709889989,362.908640052,371.361481047,360.091026387,384.322503906,424.332617949,465.469777458,494.209436841,577.610801325,628.327847295,685.807166061,743.286484827,755.12046222,775.407280608,778.788417006,731.452507434,658.194552144,595.643528781,455.326368264,371.92500378,302.048184888,247.95000252,222.591479535,175.255569963,175.819092696,144.261819648,159.476933439,132.991364988,140.317160517,133.554887721,162.294547104,121.157387595,128.483183124,115.522160265,121.720910328,120.030342129,87.346023615,84.52840995,65.368637028,64.805114295,54.661705101,45.645341373,24.795000252,20.286818388,12.397500126,7.325795529,4.508181864,0.563522733,1.127045466,0.563522733,-0.0,0.563522733,-0.0,0.563522733,0.563522733,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,6.950739843369997,Incident Link,12907,12904,13618,946,1:29:49,89.82,08:30:00,10:00:00,0.78705341709,0.1460463083025,0.1377500014
12931,-0.0,-0.0,-0.000977,-0.0,-0.0,-0.0,2.22606852,4.45213704,17.06652532,20.77663952,27.45484508,64.55598708,109.07735748,209.25044088,362.10714592,604.00659176,919.36629876,2256.89455392,5848.37743176,2774.03238112,6278.64997992,13822.542825,3111.7004268,1561.40695512,1722.49464528,1553.65769892,1144.19921928,1008.40903956,911.20404752,837.0017635199999,779.123982,672.2726930399999,608.4587288,618.84704856,609.20075164,546.87083308,575.0677009999999,511.9957596,511.25373676,509.76969108,541.6766732,497.89732564,501.60743984,501.60743984,514.2218281199999,535.74049048,536.48251332,533.5144219599999,514.96385096,552.0649929599999,542.4066732,560.2272442,636.65559672,652.9800991999999,595.1023176799999,691.5652868799999,730.8924973999999,823.6453524,828.09748944,821.41928388,808.8048956,755.3792511199999,681.91898996,628.49334548,631.4614368399999,625.52525412,589.16613496,547.61285592,479.34675464,440.01954412,417.01683608,336.87836936,319.0698212,291.61497612,284.93677056,257.48192548,261.93406252,250.80371992,184.02166432,178.08548159999998,155.8247964,122.4337686,93.49487784,77.17037536,64.55598708,44.5213704,39.32721052,19.29259384,13.35641112,8.90427408,3.7101142,5.93618272,1.48404568,0.74202284,0.74202284,2.96809136,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.74202284,-0.0,-0.0,-0.0,1.48404568,0.74202284,-0.0,0.74202284,20.237301699988905,Incident Link,12931,13640,12934,946,0:16:37,16.62,16:30:00,16:45:00,0.4318160693888889,0.4581991037,0.4344955963111111
12932,-0.0,-0.0,-0.0,-0.0,-0.0,0.825900615,3.30360246,5.781304305,16.5180123,16.5180123,28.906521525,51.20583813,89.19726642,102.41167626,168.48372546,223.819066665,277.50260664,455.071238865,710.2745289,712.752230745,723.48893874,753.22136088,770.565273795,831.681919305,754.87316211,747.440056575,727.618441815,633.465771705,555.831113895,526.098691755,496.366269615,508.75477884,472.41515178,507.928878225,494.714468385,547.572107745,520.31738745,523.62098991,517.839685605,583.08583419,530.22819483,613.644156945,607.036952025,663.198193845,676.412603685,715.22993259,729.270243045,784.60558425,757.350863955,814.33800639,887.01726051,937.397198025,1026.594464445,1104.229122255,1212.23630159,1342.088499375,1515.286126435,1306.57477293,1349.2989963,1210.77030159,1047.24197982,958.0447134,769.73937318,593.822542185,524.446890525,564.090120045,545.0944059,510.40658007,471.589251165,464.15614563,474.892853625,410.472605655,396.4322952,366.69987306,360.918568755,396.4322952,387.347388435,379.088382285,400.561798275,393.12869274,351.00776137500003,279.980308485,265.93999803,230.426271585,203.17155129,174.265029765,147.01030947,97.45627257,64.42024797,31.38422337,21.47341599,11.56260861,4.129503075,2.477701845,-0.0,-0.0,0.825900615,1.65180123,1.65180123,0.825900615,1.65180123,-0.0,0.825900615,0.825900615,-0.0,0.825900615,-0.0,-0.0,-0.0,-0.0,12.81963234840833,Feeder 2,12941,12936,12932,946,1:49:22,109.37,18:30:00,20:15:00,1.1014302368375,0.21198115785000002,0.21037523998750002
12934,-0.0,-0.0,0.021999888,0.021999888,-0.0,0.021999888,0.1099994399999999,0.175999104,0.2859985439999999,0.637996752,1.0779945119999998,1.825990704,3.2999832,5.975972112,8.909954639999999,15.72991992,25.563869856,32.55983424,31.723838496,32.097836592,32.691833568,32.735833344,31.8998376,28.731853728,30.337845552,1007.49986,25.8498684,22.835883744,20.987893152,19.645899984,17.665910064,15.443921376,14.07992832,14.07992832,13.573930895999998,12.033938736,12.759935039999998,9.921949488,10.713945456,10.22994792,11.315944896,10.361947248,10.185948144,9.78995016,10.053948816,10.603946016,10.823944896,10.185948144,10.871949264,10.55994624,10.911944448,11.307942432,12.847934592,12.781934928,11.615940864,13.793929776,25.778925968000003,16.455916224,16.873914096,15.707920032,15.531920928,14.453926416,13.74993,13.90994008,11.725940304,11.923939296,10.955944224,14.027943888,9.723950496,11.257951504,10.188950384,9.224958672,9.887965392,33.935966064,6.423967296,12.095967744,5.939969759999999,6.115968864,4.443977375999999,4.729975919999999,4.245978384,3.013984656,3.967986112,2.045989584,2.355991488,1.231993728,0.681996528,0.681996528,0.373998096,0.3299983199999999,0.2419987679999999,0.065999664,0.021999888,-0.0,0.043999776,0.043999776,-0.0,0.021999888,0.021999888,-0.0,-0.0,0.021999888,0.043999776,-0.0,-0.0,-0.0,0.021999888,-0.0,-0.0,-0.0,0.5684221874666665,Feeder 2,12931,13640,12934,946,0:16:37,16.62,16:30:00,16:45:00,0.011731900608888889,0.00905050948,0.00832940204
12936,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.554987351,1.664962053,6.104860861,6.104860861,4.994886159,14.984658476999998,23.309468742,26.084405497,40.514076623,62.158583312,74.36830503399999,157.061420333,243.084459738,238.64456093,263.618991725,288.038435169,285.818485765,315.787802719,270.833827288,253.074232056,261.954029672,201.460408413,163.166281194,150.401572121,128.757065432,137.63686304799998,135.971900995,125.982128677,131.532002187,144.29671126,133.751951591,146.516660664,134.306938942,161.50131914099998,151.511546823,175.930990267,179.815901724,193.135598148,189.250686691,214.225117486,227.54481391,251.409270003,245.304409142,278.603650202,303.023093646,327.997524441,397.925930667,451.759703714,506.703451463,549.43747749,531.1228949069999,471.184260999,405.14076623,354.636917289,292.478333977,270.278839937,233.09468742,174.82101556499998,164.27625589599998,182.035851128,154.286483578,125.427141326,130.422027485,110.9974702,115.437369008,97.677773776,90.462938213,88.79797615999999,83.24810264999999,102.117672584,98.232761127,107.667546094,119.322280465,120.432255167,107.667546094,91.017925564,87.133014107,85.468052054,72.14835563,67.153469471,65.488507418,38.84911457,24.974430795,8.879797616,7.214835562999999,2.774936755,2.219949404,1.109974702,-0.0,-0.0,-0.0,0.554987351,1.109974702,-0.0,1.109974702,-0.0,-0.0,0.554987351,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,4.074069645799167,Feeder 1,12941,12936,12932,946,1:49:22,109.37,18:30:00,20:15:00,0.30015565899916663,0.049794698436944444,0.05149049312055556
12941,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.93848579,2.81545737,10.32334369,10.32334369,8.44637211,24.40063054,40.35488897,44.10883213,67.57097688,105.11040848,126.69558165,263.71450699,404.48737549,407.30283286,443.90377867,487.07412501,483.32018185,533.05992872,455.16560815,427.94952024,448.59620762,337.8548844,278.73027963,253.3911633,220.54416065,229.92901855,232.74447592,213.03627433,222.42113223,242.12933382,228.05204697,246.82176277,228.05204697,272.1608791,257.14510646,297.49999543,304.06939596,326.59305492,317.20819702,364.13248652,381.96371653,427.01103445,411.99526181,472.99683816,516.1671845,549.95267294,671.95582564,762.05046148,857.77601206,928.16244631,899.06938682,793.02049255,693.54099881,596.8769624399999,498.33595449,457.04257973,392.28706022,294.68453806,283.42270858,305.00788175,261.83753541,213.97476012,222.42113223,185.82018642,192.38958695,167.05047062,155.78864114,146.40378324,141.71135429,173.61987115,167.05047062,179.25078589,204.58990222,201.77444485,183.00472905,155.78864114,147.34226903,142.64984008,122.0031527,113.55678059,112.6182948,62.87854793,43.17034634,16.89274422,11.26182948,5.63091474,3.75394316,1.87697158,-0.0,-0.0,-0.0,0.93848579,1.87697158,-0.0,1.87697158,-0.0,-0.0,0.93848579,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,6.889789151086111,Incident Link,12941,12936,12932,946,1:49:22,109.37,18:30:00,20:15:00,0.5088678505777778,0.08394234010555557,0.08759200706666667
