Link Id,0:15:00,2:30:00,3:00:00,3:15:00,3:30:00,3:45:00,4:00:00,4:15:00,4:30:00,4:45:00,5:00:00,5:15:00,5:30:00,5:45:00,6:00:00,6:15:00,6:30:00,6:45:00,7:00:00,7:15:00,7:30:00,7:45:00,8:00:00,8:15:00,8:30:00,8:45:00,9:00:00,9:15:00,9:30:00,9:45:00,10:00:00,10:15:00,10:30:00,10:45:00,11:00:00,11:15:00,11:30:00,11:45:00,12:00:00,12:15:00,12:30:00,12:45:00,13:00:00,13:15:00,13:30:00,13:45:00,14:00:00,14:15:00,14:30:00,14:45:00,15:00:00,15:15:00,15:30:00,15:45:00,16:00:00,16:15:00,16:30:00,16:45:00,17:00:00,17:15:00,17:30:00,17:45:00,18:00:00,18:15:00,18:30:00,18:45:00,19:00:00,19:15:00,19:30:00,19:45:00,20:00:00,20:15:00,20:30:00,20:45:00,21:00:00,21:15:00,21:30:00,21:45:00,22:00:00,22:15:00,22:30:00,22:45:00,23:00:00,23:15:00,23:30:00,23:45:00,24:00:00,24:15:00,24:30:00,24:45:00,25:00:00,25:15:00,25:30:00,25:45:00,26:00:00,26:15:00,26:30:00,26:45:00,27:00:00,27:15:00,27:30:00,27:45:00,28:00:00,28:30:00,28:45:00,29:00:00,29:15:00,29:30:00,30:00:00,Total Delay [hours],Type,Incident Link,Feeder 1_x,Feeder 2_x,Seed,Duration [HH:MM:SS],Duration [mins],Incident Start,Incident End,Delay During Incident [hours],Post-Incident Delay (0-30 mins) [hours],Post-Incident Delay (30-60 mins) [hours]
11474,-0.0,-0.0,-0.0,-0.0,0.278783658,0.4181754869999999,1.533310119,1.39391829,6.272632305,7.527158765999999,14.496750216,25.229921049,34.569173592,48.229572834,70.532265474,93.253133601,131.446494747,152.07648543899998,166.712627484,164.761141878,168.94289674799998,168.94289674799998,169.77924772199998,174.797353566,170.197423209,166.433843826,159.743036034,155.421889335,130.331360115,129.773792799,117.786095505,99.665157735,95.483402865,92.416782627,93.113741772,95.901578352,91.859215311,92.137998969,96.877321155,94.089484575,96.319753839,93.950092746,99.525765906,103.14995346,100.222725051,101.895426999,103.289345289,108.168059304,112.349814174,122.107242204,131.864670234,126.567780732,139.252437171,142.31905740899998,147.61594691099998,158.209725915,165.45810102299998,152.355269097,147.197771424,137.440343394,135.488857788,141.203922777,133.81615584,131.864670234,130.749535602,131.446494747,129.91318462799998,113.325556977,106.634749185,96.319753839,92.695566285,83.913881058,73.459493883,74.574628515,75.27158766,69.556522671,69.974698158,63.283890366,63.423282195,55.617339771,47.811397347,39.587279436,37.63579383,29.551067748,26.345055681,17.842154112,12.266480952,11.430129978,5.715064989,4.599930357,1.812093777,1.951485606,1.115134632,0.4181754869999999,0.4181754869999999,0.278783658,0.139391829,0.139391829,-0.0,-0.0,0.139391829,0.139391829,-0.0,0.139391829,-0.0,-0.0,-0.0,-0.0,-0.0,2.273248411274998,Incident Link,11474,13502,13500,946,0:28:27,28.45,15:45:00,16:15:00,0.1244846472875,0.08828149169999998,0.07906614300499999
12832,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Feeder 1,13390,12832,13388,946,2:09:44,129.73,17:45:00,20:00:00,0.0,0.0,0.0
12841,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Feeder 2,13394,13396,12841,946,1:00:48,60.8,16:30:00,17:30:00,0.0,0.0,0.0
12904,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Feeder 1,12907,12904,13618,946,1:29:49,89.82,08:30:00,10:00:00,0.0,0.0,0.0
12907,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,1.127045466,2.254090932,4.508181864,7.889318262,10.706931927,16.342159257,34.938409446,40.010114043,63.114546096,89.036591814,189.907161021,365.162730984,579.864892257,559.014551136,547.180573743,545.490005544,565.776823932,529.147846287,517.877391627,502.662277836,494.772959574,420.387958818,360.65454912,305.992844019,264.292161777,244.568866122,259.783979913,252.458184384,265.982729976,280.070798301,271.054434573,276.12613917,289.650684762,290.214207495,327.970230606,325.716139674,309.93750315,323.462048742,361.781594586,330.224321538,346.002958062,371.361481047,387.140117571,399.537617697,417.00682242,450.254663667,502.662277836,562.959210267,592.262392383,681.86250693,755.683984953,782.169553404,818.798531049,725.817280104,645.797052018,554.506369272,475.049663919,373.615571979,282.888411966,232.171365996,221.464434069,159.476933439,156.095797041,132.991364988,139.753637784,108.196364736,123.411478527,112.7045466,132.427842255,113.268069333,120.593864862,132.427842255,136.936024119,122.847955794,105.942273804,96.362387343,99.743523741,85.655455416,64.805114295,66.495682494,55.788750567,37.756023111,25.922045718,18.032727456,5.63522733,3.381136398,1.127045466,-0.0,0.563522733,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,6.767908023330001,Incident Link,12907,12904,13618,946,1:29:49,89.82,08:30:00,10:00:00,0.7962889285474999,0.1400980127875,0.14401136509999998
12931,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,3.7101142,5.19415988,17.06652532,11.87236544,40.06923336,63.0719414,106.85128896,207.7663952,351.71882616,595.84434052,940.88496112,2285.89712988,2695.74958668,3629.71867804,2195.97504348,2890.4504268,2197.25078232,1288.77364032,2060.82578728,2035.64284092,1158.29765324,1019.53938216,925.30248148,865.19863144,770.9617307599999,745.99493136,643.33380228,568.38949544,571.3575867999999,578.7778152,524.61014788,570.6155639599999,569.13151828,523.1261022,511.9957596,579.51983804,506.80159972,572.8416324799999,498.63934848,527.57823924,548.35487876,526.8362164,537.966559,535.74049048,543.16071888,589.16613496,621.07311708,647.04391648,639.62368808,712.3419263999999,819.19321536,851.1001974799999,855.5523345199999,875.5869511999999,753.8952054399999,687.85517268,669.30460168,637.39761956,560.96926704,589.9081577999999,494.18721144,465.99034352,468.21641204,409.59660768,343.55657492,366.55928296,290.87295328,258.22394832,267.1282224,258.22394832,240.41540016,238.18933164,232.25314892,179.56952728,190.69986988,130.59601984,103.14117476,88.30071796,56.39373584,52.68362164,32.64900496,28.19686792,18.550571,8.90427408,5.19415988,3.7101142,1.48404568,0.74202284,0.74202284,-0.0,1.48404568,-0.0,0.74202284,-0.0,-0.0,-0.0,-0.0,0.74202284,-0.0,0.74202284,0.74202284,0.74202284,0.74202284,15.360923615422228,Incident Link,12931,13640,12934,946,0:16:37,16.62,16:30:00,16:45:00,0.4639703924555555,0.48087202381111105,0.4004862161444444
12932,-0.0,-0.0,-0.0,0.825900615,-0.0,-0.0,4.129503075,3.30360246,12.388509225,23.951117835,35.513726445,35.513726445,82.5900615,111.496583025,145.35850824,220.515464205,303.105525705,460.026642555,689.627013525,726.7925412,770.565273795,782.9537830200001,772.217075025,808.556702085,751.56955965,802.77539778,736.70334858,595.474343415,584.73763542,481.500058545,493.88856777,467.45974809,459.20074194,518.66558622,527.750492985,527.750492985,515.36198376,517.839685605,574.000927425,574.82682804,563.26421943,596.30024403,629.33626863,636.769374165,683.84570922,707.796827055,657.41688954,755.699062725,829.20421746,833.333720535,855.63303714,901.057570965,1018.335458295,1185.99328314,1297.798239105,1684.91740614,1343.740300605,1277.668251405,1228.114214505,1001.817445995,812.68620516,661.5463926150001,618.599560635,588.04123788,579.78223173,533.53179729,526.098691755,483.97776039,437.72732595,412.124406885,370.00347552,352.659562605,348.53005953,365.04807183,345.22645707,355.963165065,376.61068044,363.3962706,397.258195815,328.70844477,294.02061894,294.02061894,272.54720295,212.256458055,179.220433455,177.568632225,142.880806395,103.237576875,60.290744895,41.29503075,18.995714145,10.736707995,4.95540369,1.65180123,-0.0,-0.0,-0.0,-0.0,1.65180123,0.825900615,0.825900615,-0.0,0.825900615,0.825900615,0.825900615,-0.0,-0.0,-0.0,-0.0,12.46776595740416,Feeder 2,12941,12936,12932,946,1:49:22,109.37,18:30:00,20:15:00,1.0266403478125,0.1982161476,0.1947748950375
12934,-0.0,0.021999888,0.021999888,-0.0,0.021999888,0.043999776,0.065999664,0.2199988799999999,1.451997536,0.4399977599999999,1.3859929439999998,1.97998992,3.123984096,5.191973568,9.547951392,15.751919807999998,25.365870864,33.131831328,32.163836256,31.437839952,33.175831104,31.503839616,86.070841968,29.281850928,29.435850144,76.676859216,56.3998684,23.121882288,21.471890688,20.261896848,17.797909391999998,16.653915215999998,14.695925183999998,12.605935824,13.287932352,12.6499356,10.911944448,12.407936832,11.703940416,11.461941648,9.987949152,11.417941872,10.361947248,11.065943664,9.833949936,10.603946016,11.43994176,10.603946016,10.361947248,10.713945456,11.417941872,14.8499384,12.583935936,12.781934928,13.221932688,14.453926416,16.719914879999997,17.203912415999998,17.159912639999998,18.1499076,15.443921376,24.623927424,13.793929776,13.111933248,12.0999384,12.011938848,10.801945008,10.211950272,22.949948592,8.931954528,7.457962031999999,7.215963264,6.577966512,6.401967408,6.247968191999999,6.26996808,5.785970544,6.640974352000001,4.9499748,4.113979056,3.805980624,7.391981184,2.30998824,2.963987232,3.527991936,2.772993392,1.033994736,0.5719970879999999,0.3959979839999999,0.2419987679999999,0.131999328,0.021999888,-0.0,0.043999776,-0.0,-0.0,0.087999552,-0.0,0.021999888,-0.0,-0.0,0.043999776,-0.0,0.043999776,-0.0,0.021999888,-0.0,-0.0,0.021999888,0.3302730050888889,Feeder 2,12931,13640,12934,946,0:16:37,16.62,16:30:00,16:45:00,0.00942328536,0.009808283399999998,0.011129958
12936,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,1.109974702,0.554987351,3.329924106,7.769822914,9.989772318,9.434784967,21.089519338,29.969316954,37.739139868,59.93863390799999,78.25321649099999,154.841470929,234.759649473,261.954029672,284.708511063,296.363245434,277.4936755,308.572967156,280.268612255,273.608764043,250.299295301,178.705927022,168.716154704,128.757065432,142.63174920699998,125.982128677,125.982128677,144.851698611,135.416913644,143.18673655799998,134.86192629299998,134.86192629299998,155.95144563099998,160.94633179,164.83124324699995,170.936104108,182.035851128,184.810787883,199.240459009,213.670130135,212.560155433,238.089573579,265.28395377799995,305.798030401,311.347903911,334.102385302,394.596006561,482.284008019,513.9182870259999,553.877376298,494.493729741,415.685525899,340.762233514,291.92334662599995,244.19443444,215.335092188,205.34531987,195.355547552,189.250686691,161.50131914099998,160.94633179,140.966787154,131.532002187,124.317166624,113.772406955,121.542229869,101.007697882,107.112558743,113.772406955,116.54734371,125.427141326,136.526888346,143.741723909,117.102331061,106.557571392,108.222533445,98.232761127,73.813317683,64.93352006699999,62.158583312,59.383646557,39.404101921,23.309468742,14.429671126,7.769822914,2.774936755,1.109974702,0.554987351,-0.0,-0.0,-0.0,-0.0,0.554987351,-0.0,0.554987351,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,4.072836340574722,Feeder 1,12941,12936,12932,946,1:49:22,109.37,18:30:00,20:15:00,0.31773025844749997,0.057811182395833334,0.06397770851805556
12941,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,1.87697158,0.93848579,5.63091474,13.13880106,16.89274422,15.95425843,35.66246002,50.67823266,62.87854793,102.29495111,131.3880106,261.83753541,392.28706022,442.02680709,482.38169606,503.02838344,468.30440921,519.92112766,471.11986658,465.48895184,424.19557708,301.25393859,288.11513753,218.66718907,238.37539066,213.03627433,214.91324591,243.06781961,231.80599013,239.31387645,230.86750434,229.92901855,260.89904962,270.28390752,280.60725121,289.99210911,308.76182491,312.51576807,333.16245545,359.44005757,358.50157178,405.42586128,448.59620762,516.1671845,529.30598556,563.091474,662.57096774,816.4826373,864.34541259,945.99367632,836.19083889,705.7413140799999,571.53784611,495.52049712,412.9337476,366.94794389,346.30125651,331.28548387,320.02365439,272.1608791,271.22239331,243.06781961,221.48264644,209.28233117,191.45110116,207.40535959,171.74289957,178.3123001,192.38958695,198.95898748,210.22081696,232.74447592,238.37539066,201.77444485,180.18927168,183.00472905,167.05047062,124.81861007,110.74132322,104.17192269,100.41797953,66.63249109,40.35488897,25.33911633,13.13880106,4.69242895,1.87697158,0.93848579,-0.0,-0.0,-0.0,-0.0,0.93848579,-0.0,0.93848579,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,6.887703627108336,Incident Link,12941,12936,12932,946,1:49:22,109.37,18:30:00,20:15:00,0.5378044957694444,0.09723755546388889,0.10870793734166666
