Link Id,0:15:00,3:15:00,3:30:00,3:45:00,4:00:00,4:15:00,4:30:00,4:45:00,5:00:00,5:15:00,5:30:00,5:45:00,6:00:00,6:15:00,6:30:00,6:45:00,7:00:00,7:15:00,7:30:00,7:45:00,8:00:00,8:15:00,8:30:00,8:45:00,9:00:00,9:15:00,9:30:00,9:45:00,10:00:00,10:15:00,10:30:00,10:45:00,11:00:00,11:15:00,11:30:00,11:45:00,12:00:00,12:15:00,12:30:00,12:45:00,13:00:00,13:15:00,13:30:00,13:45:00,14:00:00,14:15:00,14:30:00,14:45:00,15:00:00,15:15:00,15:30:00,15:45:00,16:00:00,16:15:00,16:30:00,16:45:00,17:00:00,17:15:00,17:30:00,17:45:00,18:00:00,18:15:00,18:30:00,18:45:00,19:00:00,19:15:00,19:30:00,19:45:00,20:00:00,20:15:00,20:30:00,20:45:00,21:00:00,21:15:00,21:30:00,21:45:00,22:00:00,22:15:00,22:30:00,22:45:00,23:00:00,23:15:00,23:30:00,23:45:00,24:00:00,24:15:00,24:30:00,24:45:00,25:00:00,25:15:00,25:30:00,25:45:00,26:00:00,26:15:00,26:30:00,26:45:00,27:00:00,27:15:00,27:30:00,27:45:00,28:00:00,28:15:00,28:30:00,29:00:00,30:00:00,Total Delay [hours],Type,Incident Link,Feeder 1_x,Feeder 2_x,Seed,Duration [HH:MM:SS],Duration [mins],Incident Start,Incident End,Delay During Incident [hours],Post-Incident Delay (0-30 mins) [hours],Post-Incident Delay (30-60 mins) [hours]
12918,-0.0,-0.0,-0.0,-0.0,1.080858886,1.621288329,2.702147215,3.242576658,5.404294429999999,7.025582759,9.727729974,25.940613264,34.587484352,59.987668173,139.43079629399998,286.968034233,422.615824426,425.858401084,374.517603999,392.892205061,386.407051745,368.032450683,385.326192859,328.581101344,315.070365269,257.244414868,202.661041125,175.63956897499995,158.34582679899998,142.132943509,129.16263687699998,128.081777991,149.698955711,142.132943509,148.61809682499998,155.103250141,162.1288329,183.74601062,175.09913953199998,191.312022822,205.903617783,208.605764998,224.278218845,236.708096034,228.601654389,245.895396565,258.325273754,285.346745904,302.64048807999995,361.547297367,384.245333973,478.341621511,552.859320189,596.6341050719999,627.438583323,587.446804541,502.05895254699993,442.071284374,384.245333973,314.529935826,275.078586487,208.605764998,189.690734493,141.05208462299998,119.43490690299998,93.494293639,87.009140323,84.847422551,77.82183979199999,77.82183979199999,63.770674274,85.928281437,88.63042865199999,89.17085809499999,81.06441645,84.847422551,83.226134222,92.953864196,85.928281437,82.68570477899999,80.52398700699999,68.09410981799999,62.14938594499999,45.936502655,37.83006101,32.425766579999994,14.051165518,9.727729974,5.404294429999999,2.702147215,1.621288329,1.080858886,-0.0,1.080858886,0.540429443,0.540429443,0.540429443,-0.0,0.540429443,-0.0,-0.0,-0.0,0.540429443,-0.0,-0.0,4.57340126262528,Feeder 2,12920,13427,12918,790,1:33:46,93.77,16:45:00,18:15:00,0.7538990729849999,0.09187300530999999,0.05914700015055555
12920,-0.0,0.909519445,-0.0,3.63807778,4.5475972250000005,7.27615556,7.27615556,16.37135001,27.28558335,46.385491695,57.299725035,109.1423334,151.889747315,211.918030685,326.517480755,622.11130038,978.64292282,922.25271723,856.7673171900001,862.2244338600001,972.276286705,865.86251164,879.505303315,821.296058835,790.372397705,647.57784484,514.78800587,454.7597225,441.116930825,431.1122169300001,379.269608565,386.545764125,430.202697485,426.564619705,438.38837249,474.76915029,461.126358615,507.51185031,491.1405003,542.07358922,569.35917257,569.35917257,590.2781198050001,654.8540004,635.754092055,632.116014275,706.6966087650001,780.36768381,804.01518938,904.06232833,1022.29985618,1205.113264625,1316.98415636,1389.74571196,1466.14534534,1359.731570275,1156.90873404,1055.952075645,963.181092255,852.2197199650001,748.534503235,667.58727263,616.65418371,524.792719765,480.22626696,406.555191915,401.098075245,371.993453005,335.612675205,347.43642799,327.4270002,351.07450577000003,375.631530785,305.59853352,304.689014075,288.31766406500003,260.12256127,260.12256127,245.57025015,216.46562791,207.37043346,190.089564005,167.35157788,102.775697285,90.04242505500001,67.30443893,40.928375025,15.461830565,8.185675005,8.185675005,3.63807778,4.5475972250000005,-0.0,1.81903889,1.81903889,0.909519445,0.909519445,-0.0,-0.0,-0.0,-0.0,-0.0,0.909519445,-0.0,-0.0,12.208782683383326,Incident Link,12920,13427,12918,790,1:33:46,93.77,16:45:00,18:15:00,1.8900319355680555,0.3170685842986111,0.24632818302083334
12951,-0.0,0.856580613,0.856580613,3.426322452,5.996064291,5.139483678,16.275031647,18.844773486,41.972450037,73.665932718,146.475284823,352.911212556,677.555264883,1198.356277587,1330.269691989,1320.847305246,1212.918148008,1008.195381501,1116.981119352,1170.089117358,1095.566604027,1015.904607018,988.494027402,918.254417136,931.103126331,849.727968096,850.584548709,756.360681279,639.865717911,620.164363812,519.087851478,556.77739845,559.347140289,549.924753546,549.068172933,551.637914772,527.653657608,543.928689255,592.753784196,537.076044351,501.099658605,513.9483678,565.34320458,562.773462741,566.199785193,591.04062297,552.494495385,524.227335156,603.889332165,608.17223523,692.9737159169999,724.667198598,751.221197601,759.787003731,779.48835783,724.667198598,717.814553694,649.288104654,618.451202586,609.028815843,583.331397453,572.195849484,612.455138295,471.11933715,433.429790178,444.565338147,332.353277844,343.488825813,278.388699225,273.249215547,239.84257164,271.536054321,251.834700222,262.113667578,183.308251182,164.46347769599998,149.045026662,141.335801145,115.638382755,89.084383752,76.235674557,58.247481684,47.968514328,41.972450037,17.988192873,25.69741839,8.56580613,6.852644904,5.996064291,3.426322452,1.713161226,3.426322452,1.713161226,0.856580613,0.856580613,-0.0,1.713161226,-0.0,0.856580613,-0.0,1.713161226,0.856580613,-0.0,0.856580613,-0.0,11.942161379574998,Feeder 1,13243,12951,13246,790,1:19:06,79.1,15:00:00,16:30:00,1.3667219558533337,0.4006893756366667,0.3521498075666667
12961,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Feeder 1,12978,12961,12975,790,1:09:03,69.05,15:30:00,16:30:00,0.0,0.0,0.0
12975,-0.0,-0.0,-0.0,-0.0,1.490128198,0.745064099,1.490128198,4.470384594,5.215448693,4.470384594,8.940769188,28.312435762,30.547628059,81.211986791,195.951858037,433.627305618,344.964677837,318.14237027300004,343.47454963900003,327.82820356,357.63076752,326.33807536200004,344.964677837,255.556985957,224.264293799,182.540704255,139.326986513,119.21025584,112.504678949,105.054037959,93.878076474,85.68237138500001,93.878076474,93.878076474,104.30897386,116.229999444,127.405960929,121.445448137,149.01281980000002,136.346730117,137.091794216,160.933845384,167.63942227500002,219.048845106,233.950127086,275.67371663,300.260831897,333.788716352,424.6865364300001,509.623843716,587.855574111,654.2982148230001,712.281278644,711.873176308,618.40320217,564.4930486659999,891.80551029,443.313138905,462.684805479,464.919997776,445.548331202,489.507113043,458.446241519,368.061664906,403.824741658,368.061664906,383.708010985,344.964677837,409.78525445,411.275382648,390.262395579,386.688267381,387.43333148,383.708010985,332.298588154,318.88743437200003,303.241088293,277.16384482800004,264.497755145,195.951858037,178.81538376,143.052307008,122.190512236,91.642884177,55.134743326000006,32.782820356,23.842051168,11.175961485,8.195705089,2.235192297,3.725320495,1.490128198,-0.0,0.745064099,-0.0,1.490128198,-0.0,-0.0,-0.0,0.745064099,-0.0,-0.0,-0.0,-0.0,-0.0,6.19320718608,Feeder 2,12978,12961,12975,790,1:09:03,69.05,15:30:00,16:30:00,0.9124198461266667,0.40452737748777773,0.2516660956622222
12978,-0.0,0.940396024,-0.0,1.880792048,3.761584096,4.70198012,14.10594036,15.046336384,20.688712528,47.0198012,82.754850112,108.14554276,170.211680344,277.41682708,486.184744408,781.469095944,735.389690768,623.482563912,643.230880416,599.972663312,583.04553488,594.330287168,555.774050184,465.49603188,445.747715376,351.708112976,295.284351536,263.31088672,250.145342384,256.728114552,232.277817928,225.69504576,233.218213952,239.80098612,246.383758288,284.939995272,272.71484696,275.536035032,321.615440208,334.780984544,330.079004424,373.337221528,374.277617552,425.999398872,432.58217104,523.800585368,566.118406448,615.018999696,751.376423176,835.071669312,933.813251832,985.535033152,1082.395823624,1040.078002544,1030.674042304,900.899390992,875.508698344,816.263748832,852.939193768,786.171076064,836.95246136,837.892857384,742.91285896,728.8069186,778.647907872,709.99899812,738.21087884,708.118206072,741.032066912,715.641374264,725.985730528,716.581770288,735.389690768,641.350088368,554.83365416,536.966129704,489.946328504,452.330487544,399.6683102,334.780984544,302.807519728,232.277817928,193.721580944,134.476631432,100.622374568,82.754850112,46.079405176,23.5099006,17.867524455999998,5.642376144,4.70198012,-0.0,1.880792048,2.821188072,0.940396024,3.761584096,-0.0,1.880792048,-0.0,1.880792048,-0.0,-0.0,-0.0,-0.0,-0.0,11.155709055817786,Incident Link,12978,12961,12975,790,1:09:03,69.05,15:30:00,16:30:00,1.4090267092933333,0.49344669148222225,0.4636674840555555
13065,-0.0,0.594733435,0.594733435,1.784200305,2.973667175,7.13680122,6.542067785,16.65253618,27.952471445,52.931275715,61.85227724,99.320483645,135.004489745,176.63583019499998,242.056508045,359.21899474,637.55424232,633.9858417099999,589.97556752,563.80729638,561.4283626399999,546.560026765,545.96529333,514.444421275,488.276150135,342.56645856,302.12458498,258.11431079,251.572243005,251.572243005,270.00897949,269.414246055,265.25111201,259.898511095,274.172113535,292.014116585,280.71418132,255.140643615,283.687848495,275.361580405,268.81951262,297.961450935,284.877315365,287.85098254,287.85098254,289.04044941,294.98778376,303.908785285,324.129722075,319.96658803,377.06099779,369.329463135,371.708396875,398.47140145,426.423872895,438.318541595,441.29220877,460.32367869,489.465617005,444.265875945,424.044939155,372.897863745,338.403324515,297.3667175,271.793179795,271.19844636,251.572243005,236.109173695,193.88309981,184.36736485,199.83043416,187.93576546,202.2093679,162.362227755,140.35709065999998,117.75722013,122.51508761,102.888884255,93.373149295,80.88374716,73.152212505,52.33654228,42.226073885,29.73667175,24.97880427,17.84200305,14.27360244,7.731534655,2.973667175,3.56840061,1.18946687,-0.0,-0.0,-0.0,-0.0,-0.0,1.18946687,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,6.13996190144722,Incident Link,13065,13068,13569,790,0:59:54,59.9,07:45:00,08:45:00,0.7589459445527778,0.2307896135263889,0.15562191549166668
13068,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Feeder 1,13065,13068,13569,790,0:59:54,59.9,07:45:00,08:45:00,0.0,0.0,0.0
13104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Incident Link,13104,13107,13473,790,1:45:09,105.15,15:30:00,17:15:00,0.0,0.0,0.0
13107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Feeder 1,13104,13107,13473,790,1:45:09,105.15,15:30:00,17:15:00,0.0,0.0,0.0
